# AV             Temperature    H              H2             C              CO
  0.0000000E+00  0.1564062E+03  0.9997198E+03  0.1238551E+00  0.6121959E-04  0.2918145E-07
  0.1000026E-04  0.1564048E+03  0.9997178E+03  0.1248508E+00  0.6124042E-04  0.2918585E-07
  0.1047156E-04  0.1564048E+03  0.9997177E+03  0.1248967E+00  0.6124085E-04  0.2918606E-07
  0.1096507E-04  0.1564047E+03  0.9997176E+03  0.1249449E+00  0.6124130E-04  0.2918627E-07
  0.1148183E-04  0.1564046E+03  0.9997175E+03  0.1249954E+00  0.6124174E-04  0.2918650E-07
  0.1202295E-04  0.1564045E+03  0.9997174E+03  0.1250483E+00  0.6124220E-04  0.2918674E-07
  0.1258958E-04  0.1564044E+03  0.9997173E+03  0.1251038E+00  0.6124267E-04  0.2918698E-07
  0.1318291E-04  0.1564044E+03  0.9997172E+03  0.1251620E+00  0.6124315E-04  0.2918724E-07
  0.1380420E-04  0.1564043E+03  0.9997170E+03  0.1252230E+00  0.6124363E-04  0.2918752E-07
  0.1445477E-04  0.1564042E+03  0.9997169E+03  0.1252870E+00  0.6124413E-04  0.2918780E-07
  0.1513600E-04  0.1564041E+03  0.9997168E+03  0.1253541E+00  0.6124464E-04  0.2918810E-07
  0.1584934E-04  0.1564040E+03  0.9997166E+03  0.1254245E+00  0.6124515E-04  0.2918842E-07
  0.1659629E-04  0.1564039E+03  0.9997165E+03  0.1254983E+00  0.6124568E-04  0.2918875E-07
  0.1737845E-04  0.1564038E+03  0.9997163E+03  0.1255757E+00  0.6124621E-04  0.2918909E-07
  0.1819749E-04  0.1564036E+03  0.9997162E+03  0.1256570E+00  0.6124676E-04  0.2918945E-07
  0.1905511E-04  0.1564035E+03  0.9997160E+03  0.1257352E+00  0.6124733E-04  0.2918981E-07
  0.1995315E-04  0.1564034E+03  0.9997159E+03  0.1258055E+00  0.6124795E-04  0.2919015E-07
  0.2089351E-04  0.1564033E+03  0.9997157E+03  0.1258793E+00  0.6124858E-04  0.2919051E-07
  0.2187819E-04  0.1564031E+03  0.9997156E+03  0.1259567E+00  0.6124922E-04  0.2919088E-07
  0.2290928E-04  0.1564030E+03  0.9997154E+03  0.1260379E+00  0.6124987E-04  0.2919127E-07
  0.2398896E-04  0.1564028E+03  0.9997153E+03  0.1261231E+00  0.6125054E-04  0.2919168E-07
  0.2511952E-04  0.1564027E+03  0.9997151E+03  0.1262125E+00  0.6125123E-04  0.2919211E-07
  0.2630338E-04  0.1564025E+03  0.9997149E+03  0.1263063E+00  0.6125193E-04  0.2919257E-07
  0.2754300E-04  0.1564023E+03  0.9997147E+03  0.1264047E+00  0.6125264E-04  0.2919304E-07
  0.2884106E-04  0.1564021E+03  0.9997145E+03  0.1265080E+00  0.6125337E-04  0.2919354E-07
  0.3020030E-04  0.1564019E+03  0.9997143E+03  0.1266165E+00  0.6125411E-04  0.2919406E-07
  0.3162361E-04  0.1564017E+03  0.9997140E+03  0.1267304E+00  0.6125487E-04  0.2919461E-07
  0.3311398E-04  0.1564015E+03  0.9997138E+03  0.1268500E+00  0.6125565E-04  0.2919518E-07
  0.3467459E-04  0.1564013E+03  0.9997136E+03  0.1269756E+00  0.6125644E-04  0.2919578E-07
  0.3630874E-04  0.1564011E+03  0.9997133E+03  0.1271075E+00  0.6125725E-04  0.2919642E-07
  0.3801993E-04  0.1564008E+03  0.9997130E+03  0.1272460E+00  0.6125807E-04  0.2919708E-07
  0.3981175E-04  0.1564006E+03  0.9997127E+03  0.1273916E+00  0.6125892E-04  0.2919778E-07
  0.4168802E-04  0.1564003E+03  0.9997124E+03  0.1275445E+00  0.6125978E-04  0.2919851E-07
  0.4365271E-04  0.1564000E+03  0.9997121E+03  0.1277053E+00  0.6126066E-04  0.2919929E-07
  0.4571000E-04  0.1563997E+03  0.9997118E+03  0.1278743E+00  0.6126156E-04  0.2920010E-07
  0.4786424E-04  0.1563994E+03  0.9997114E+03  0.1280519E+00  0.6126247E-04  0.2920095E-07
  0.5012001E-04  0.1563991E+03  0.9997110E+03  0.1282388E+00  0.6126341E-04  0.2920184E-07
  0.5248215E-04  0.1563987E+03  0.9997106E+03  0.1284353E+00  0.6126436E-04  0.2920278E-07
  0.5495548E-04  0.1563984E+03  0.9997102E+03  0.1286420E+00  0.6126533E-04  0.2920377E-07
  0.5754552E-04  0.1563980E+03  0.9997098E+03  0.1288596E+00  0.6126632E-04  0.2920481E-07
  0.6025749E-04  0.1563976E+03  0.9997093E+03  0.1290886E+00  0.6126733E-04  0.2920590E-07
  0.6309740E-04  0.1563972E+03  0.9997089E+03  0.1293297E+00  0.6126837E-04  0.2920705E-07
  0.6607109E-04  0.1563968E+03  0.9997084E+03  0.1295835E+00  0.6126942E-04  0.2920826E-07
  0.6918494E-04  0.1563963E+03  0.9997078E+03  0.1298510E+00  0.6127049E-04  0.2920953E-07
  0.7244551E-04  0.1563959E+03  0.9997073E+03  0.1301329E+00  0.6127158E-04  0.2921087E-07
  0.7585975E-04  0.1563954E+03  0.9997067E+03  0.1304299E+00  0.6127269E-04  0.2921229E-07
  0.7943491E-04  0.1563949E+03  0.9997060E+03  0.1307432E+00  0.6127382E-04  0.2921377E-07
  0.8317855E-04  0.1563943E+03  0.9997054E+03  0.1310737E+00  0.6127497E-04  0.2921534E-07
  0.8709862E-04  0.1563938E+03  0.9997047E+03  0.1314224E+00  0.6127613E-04  0.2921700E-07
  0.9120345E-04  0.1563932E+03  0.9997040E+03  0.1317906E+00  0.6127732E-04  0.2921874E-07
  0.9550176E-04  0.1563926E+03  0.9997032E+03  0.1321794E+00  0.6127853E-04  0.2922058E-07
  0.1000026E-03  0.1563919E+03  0.9997024E+03  0.1325902E+00  0.6127975E-04  0.2922253E-07
  0.1047156E-03  0.1563913E+03  0.9997015E+03  0.1330245E+00  0.6128099E-04  0.2922458E-07
  0.1096507E-03  0.1563906E+03  0.9997006E+03  0.1334839E+00  0.6128225E-04  0.2922675E-07
  0.1148183E-03  0.1563898E+03  0.9996996E+03  0.1339700E+00  0.6128352E-04  0.2922904E-07
  0.1202296E-03  0.1563890E+03  0.9996986E+03  0.1344848E+00  0.6128481E-04  0.2923146E-07
  0.1258958E-03  0.1563882E+03  0.9996975E+03  0.1350302E+00  0.6128611E-04  0.2923403E-07
  0.1318291E-03  0.1563874E+03  0.9996963E+03  0.1356084E+00  0.6128742E-04  0.2923675E-07
  0.1380420E-03  0.1563865E+03  0.9996951E+03  0.1362219E+00  0.6128874E-04  0.2923963E-07
  0.1445477E-03  0.1563856E+03  0.9996938E+03  0.1368733E+00  0.6129007E-04  0.2924268E-07
  0.1513600E-03  0.1563846E+03  0.9996924E+03  0.1375655E+00  0.6129140E-04  0.2924593E-07
  0.1584935E-03  0.1563836E+03  0.9996910E+03  0.1383016E+00  0.6129273E-04  0.2924937E-07
  0.1659630E-03  0.1563825E+03  0.9996894E+03  0.1390852E+00  0.6129405E-04  0.2925304E-07
  0.1737846E-03  0.1563814E+03  0.9996877E+03  0.1399201E+00  0.6129537E-04  0.2925694E-07
  0.1819748E-03  0.1563802E+03  0.9996860E+03  0.1408106E+00  0.6129667E-04  0.2926110E-07
  0.1905510E-03  0.1563790E+03  0.9996843E+03  0.1416372E+00  0.6129826E-04  0.2926511E-07
  0.1995315E-03  0.1563777E+03  0.9996831E+03  0.1422549E+00  0.6130048E-04  0.2926845E-07
  0.2089351E-03  0.1563763E+03  0.9996818E+03  0.1429103E+00  0.6130274E-04  0.2927200E-07
