#  J   Flux (erg s**-1 cm**-2)
   1   6.4805e-07
   2   5.7856e-06
   3   1.7618e-05
   4   3.2936e-05
   5   4.2562e-05
   6   3.4922e-05
   7   1.7103e-05
   8   5.8408e-06
   9   1.6399e-06
  10   4.1431e-07
  11   1.0042e-07
  12   2.6528e-08
  13   8.6293e-09
  14   3.4696e-09
  15   1.5808e-09
  16   7.7974e-10
  17   3.8654e-10
  18   1.9025e-10
  19   9.3117e-11
  20   4.4422e-11
  21   2.0747e-11
  22   9.4826e-12
  23   4.2474e-12
  24   1.8611e-12
  25   7.9633e-13
  26   3.3188e-13
  27   1.3534e-13
  28   5.4098e-14
  29   2.1325e-14
  30   8.2360e-15
