# NH                 T_gas  H            H2           C            CO
  1.2468e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5869e-13
  1.2937e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5877e-13
  1.3423e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5885e-13
  1.3928e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5892e-13
  1.4452e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5900e-13
  1.4995e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5908e-13
  1.5559e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5915e-13
  1.6144e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5923e-13
  1.6751e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5931e-13
  1.7381e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5939e-13
  1.8035e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5946e-13
  1.8713e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5954e-13
  1.9417e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5962e-13
  2.0147e+14    2872.6830   1.0000e+00   6.7749e-07   7.1563e-09   7.5969e-13
  2.0905e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.5977e-13
  2.1691e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.5985e-13
  2.2507e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.5993e-13
  2.3353e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6000e-13
  2.4231e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6008e-13
  2.5142e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6016e-13
  2.6088e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6023e-13
  2.7069e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6031e-13
  2.8087e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6039e-13
  2.9143e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6047e-13
  3.0239e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6054e-13
  3.1376e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6062e-13
  3.2556e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6070e-13
  3.3780e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6077e-13
  3.5051e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6085e-13
  3.6369e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6093e-13
  3.7736e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6101e-13
  3.9155e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6108e-13
  4.0628e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6116e-13
  4.2156e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6124e-13
  4.3741e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6132e-13
  4.5386e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6139e-13
  4.7092e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6147e-13
  4.8863e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6155e-13
  5.0701e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6162e-13
  5.2607e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6170e-13
  5.4586e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6178e-13
  5.6638e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6186e-13
  5.8768e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6193e-13
  6.0978e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6201e-13
  6.3271e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6209e-13
  6.5651e+14    2872.6820   1.0000e+00   6.7749e-07   7.1563e-09   7.6217e-13
  6.8120e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6224e-13
  7.0681e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6232e-13
  7.3339e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6240e-13
  7.6097e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6248e-13
  7.8959e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6255e-13
  8.1928e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6263e-13
  8.5009e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6271e-13
  8.8206e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6279e-13
  9.1523e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6286e-13
  9.4964e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6294e-13
  9.8535e+14    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6302e-13
  1.0224e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6310e-13
  1.0609e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6317e-13
  1.1008e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6325e-13
  1.1421e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6333e-13
  1.1851e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6341e-13
  1.2297e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6348e-13
  1.2759e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6356e-13
  1.3239e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6364e-13
  1.3737e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6372e-13
  1.4253e+15    2872.6820   1.0000e+00   6.7750e-07   7.1563e-09   7.6380e-13
  1.4789e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6387e-13
  1.5345e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6395e-13
  1.5922e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6403e-13
  1.6521e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6411e-13
  1.7142e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6418e-13
  1.7787e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6426e-13
  1.8456e+15    2872.6810   1.0000e+00   6.7750e-07   7.1563e-09   7.6434e-13
  1.9150e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6442e-13
  1.9870e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6450e-13
  2.0617e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6457e-13
  2.1393e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6465e-13
  2.2197e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6473e-13
  2.3032e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6481e-13
  2.3898e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6488e-13
  2.4797e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6496e-13
  2.5729e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6504e-13
  2.6697e+15    2872.6810   1.0000e+00   6.7750e-07   7.1564e-09   7.6512e-13
  2.7701e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6520e-13
  2.8742e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6528e-13
  2.9823e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6535e-13
  3.0945e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6543e-13
  3.2108e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6551e-13
  3.3316e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6559e-13
  3.4569e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6567e-13
  3.5869e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6574e-13
  3.7217e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6582e-13
  3.8617e+15    2872.6800   1.0000e+00   6.7750e-07   7.1564e-09   7.6590e-13
  4.0069e+15    2872.6790   1.0000e+00   6.7750e-07   7.1564e-09   7.6598e-13
  4.1576e+15    2872.6790   1.0000e+00   6.7750e-07   7.1564e-09   7.6606e-13
  4.3139e+15    2872.6790   1.0000e+00   6.7750e-07   7.1564e-09   7.6614e-13
  4.4762e+15    2872.6790   1.0000e+00   6.7750e-07   7.1564e-09   7.6622e-13
  4.6445e+15    2872.6790   1.0000e+00   6.7751e-07   7.1564e-09   7.6629e-13
  4.8192e+15    2872.6790   1.0000e+00   6.7751e-07   7.1564e-09   7.6637e-13
  5.0004e+15    2872.6790   1.0000e+00   6.7751e-07   7.1565e-09   7.6645e-13
  5.1884e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6653e-13
  5.3835e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6661e-13
  5.5860e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6669e-13
  5.7960e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6677e-13
  6.0140e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6684e-13
  6.2402e+15    2872.6780   1.0000e+00   6.7751e-07   7.1565e-09   7.6692e-13
  6.4748e+15    2872.6770   1.0000e+00   6.7751e-07   7.1565e-09   7.6700e-13
  6.7183e+15    2872.6770   1.0000e+00   6.7751e-07   7.1565e-09   7.6708e-13
  6.9709e+15    2872.6770   1.0000e+00   6.7751e-07   7.1565e-09   7.6716e-13
  7.2331e+15    2872.6770   1.0000e+00   6.7751e-07   7.1565e-09   7.6724e-13
  7.5051e+15    2872.6770   1.0000e+00   6.7751e-07   7.1565e-09   7.6732e-13
  7.7873e+15    2872.6760   1.0000e+00   6.7751e-07   7.1565e-09   7.6740e-13
  8.0802e+15    2872.6760   1.0000e+00   6.7751e-07   7.1565e-09   7.6748e-13
  8.3840e+15    2872.6760   1.0000e+00   6.7751e-07   7.1566e-09   7.6756e-13
  8.6993e+15    2872.6760   1.0000e+00   6.7752e-07   7.1566e-09   7.6763e-13
  9.0264e+15    2872.6750   1.0000e+00   6.7752e-07   7.1566e-09   7.6771e-13
  9.3659e+15    2872.6750   1.0000e+00   6.7752e-07   7.1566e-09   7.6779e-13
  9.7181e+15    2872.6750   1.0000e+00   6.7752e-07   7.1566e-09   7.6787e-13
  1.0084e+16    2872.6750   1.0000e+00   6.7752e-07   7.1566e-09   7.6795e-13
  1.0463e+16    2872.6740   1.0000e+00   6.7752e-07   7.1566e-09   7.6803e-13
  1.0856e+16    2872.6740   1.0000e+00   6.7752e-07   7.1566e-09   7.6811e-13
  1.1264e+16    2872.6740   1.0000e+00   6.7752e-07   7.1566e-09   7.6819e-13
  1.1688e+16    2872.6730   1.0000e+00   6.7752e-07   7.1566e-09   7.6827e-13
  1.2128e+16    2872.6730   1.0000e+00   6.7752e-07   7.1567e-09   7.6835e-13
  1.2584e+16    2872.6720   1.0000e+00   6.7753e-07   7.1567e-09   7.6843e-13
  1.3057e+16    2872.6720   1.0000e+00   6.7753e-07   7.1567e-09   7.6851e-13
  1.3548e+16    2872.6720   1.0000e+00   6.7753e-07   7.1567e-09   7.6859e-13
  1.4057e+16    2872.6710   1.0000e+00   6.7753e-07   7.1567e-09   7.6867e-13
  1.4586e+16    2872.6710   1.0000e+00   6.7753e-07   7.1567e-09   7.6875e-13
  1.5134e+16    2872.6700   1.0000e+00   6.7753e-07   7.1567e-09   7.6883e-13
  1.5704e+16    2872.6700   1.0000e+00   6.7753e-07   7.1567e-09   7.6891e-13
  1.6294e+16    2872.6690   1.0000e+00   6.7753e-07   7.1568e-09   7.6899e-13
  1.6907e+16    2872.6690   1.0000e+00   6.7754e-07   7.1568e-09   7.6908e-13
  1.7543e+16    2872.6680   1.0000e+00   6.7754e-07   7.1568e-09   7.6916e-13
  1.8202e+16    2872.6680   1.0000e+00   6.7754e-07   7.1568e-09   7.6924e-13
  1.8887e+16    2872.6670   1.0000e+00   6.7754e-07   7.1568e-09   7.6932e-13
