# NH                 T_gas  H            H2           C            CO
  1.5900e+14      71.6319   9.9987e-01   6.2352e-05   4.5960e-06   2.0807e-11
  1.6498e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0809e-11
  1.7118e+14      71.6307   9.9987e-01   6.2353e-05   4.5959e-06   2.0811e-11
  1.7762e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0813e-11
  1.8430e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0815e-11
  1.9123e+14      71.6306   9.9987e-01   6.2368e-05   4.5942e-06   2.0812e-11
  1.9842e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0820e-11
  2.0588e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0822e-11
  2.1363e+14      71.6321   9.9987e-01   6.2352e-05   4.5960e-06   2.0824e-11
  2.2166e+14      71.6321   9.9987e-01   6.2353e-05   4.5960e-06   2.0826e-11
  2.2999e+14      71.6321   9.9987e-01   6.2353e-05   4.5960e-06   2.0828e-11
  2.3864e+14      71.6311   9.9987e-01   6.2354e-05   4.5960e-06   2.0830e-11
  2.4762e+14      71.6321   9.9987e-01   6.2353e-05   4.5960e-06   2.0832e-11
  2.5693e+14      71.6321   9.9987e-01   6.2353e-05   4.5960e-06   2.0834e-11
  2.6659e+14      71.6321   9.9987e-01   6.2353e-05   4.5961e-06   2.0837e-11
  2.7662e+14      71.6321   9.9987e-01   6.2353e-05   4.5961e-06   2.0839e-11
  2.8702e+14      71.6314   9.9987e-01   6.2370e-05   4.5941e-06   2.0835e-11
  2.9781e+14      71.6321   9.9987e-01   6.2354e-05   4.5961e-06   2.0843e-11
  3.0901e+14      71.6321   9.9987e-01   6.2354e-05   4.5961e-06   2.0845e-11
  3.2063e+14      71.6321   9.9987e-01   6.2354e-05   4.5961e-06   2.0847e-11
  3.3269e+14      71.6321   9.9987e-01   6.2354e-05   4.5961e-06   2.0849e-11
  3.4520e+14      71.6321   9.9987e-01   6.2354e-05   4.5961e-06   2.0851e-11
  3.5818e+14      71.6321   9.9987e-01   6.2355e-05   4.5961e-06   2.0853e-11
  3.7165e+14      71.6321   9.9987e-01   6.2355e-05   4.5961e-06   2.0856e-11
  3.8563e+14      71.6321   9.9987e-01   6.2355e-05   4.5961e-06   2.0858e-11
  4.0013e+14      71.6321   9.9987e-01   6.2355e-05   4.5961e-06   2.0860e-11
  4.1517e+14      71.6321   9.9987e-01   6.2355e-05   4.5961e-06   2.0862e-11
  4.3079e+14      71.6321   9.9987e-01   6.2356e-05   4.5961e-06   2.0864e-11
  4.4699e+14      71.6321   9.9987e-01   6.2356e-05   4.5961e-06   2.0866e-11
  4.6380e+14      71.6321   9.9987e-01   6.2356e-05   4.5961e-06   2.0868e-11
  4.8124e+14      71.6321   9.9987e-01   6.2356e-05   4.5961e-06   2.0870e-11
  4.9933e+14      71.6321   9.9987e-01   6.2357e-05   4.5961e-06   2.0873e-11
  5.1811e+14      71.6321   9.9987e-01   6.2357e-05   4.5961e-06   2.0875e-11
  5.3760e+14      71.6321   9.9987e-01   6.2357e-05   4.5961e-06   2.0877e-11
  5.5781e+14      71.6321   9.9987e-01   6.2358e-05   4.5961e-06   2.0879e-11
  5.7879e+14      71.6301   9.9987e-01   6.2387e-05   4.5928e-06   2.0872e-11
  6.0055e+14      71.6321   9.9987e-01   6.2358e-05   4.5961e-06   2.0883e-11
  6.2314e+14      71.6321   9.9987e-01   6.2359e-05   4.5961e-06   2.0885e-11
  6.4657e+14      71.6321   9.9987e-01   6.2359e-05   4.5961e-06   2.0887e-11
  6.7088e+14      71.6321   9.9987e-01   6.2359e-05   4.5961e-06   2.0890e-11
  6.9611e+14      71.6321   9.9987e-01   6.2360e-05   4.5961e-06   2.0892e-11
  7.2229e+14      71.6321   9.9987e-01   6.2360e-05   4.5961e-06   2.0894e-11
  7.4945e+14      71.6321   9.9987e-01   6.2361e-05   4.5961e-06   2.0896e-11
  7.7764e+14      71.6321   9.9987e-01   6.2361e-05   4.5961e-06   2.0898e-11
  8.0688e+14      71.6321   9.9987e-01   6.2361e-05   4.5961e-06   2.0900e-11
  8.3722e+14      71.6321   9.9987e-01   6.2362e-05   4.5961e-06   2.0902e-11
  8.6870e+14      71.6321   9.9987e-01   6.2362e-05   4.5961e-06   2.0904e-11
  9.0137e+14      71.6321   9.9987e-01   6.2363e-05   4.5961e-06   2.0906e-11
  9.3527e+14      71.6321   9.9987e-01   6.2363e-05   4.5961e-06   2.0909e-11
  9.7044e+14      71.6321   9.9987e-01   6.2364e-05   4.5961e-06   2.0911e-11
  1.0069e+15      71.6321   9.9987e-01   6.2365e-05   4.5961e-06   2.0913e-11
  1.0448e+15      71.6321   9.9987e-01   6.2365e-05   4.5961e-06   2.0915e-11
  1.0841e+15      71.6321   9.9987e-01   6.2365e-05   4.5961e-06   2.0917e-11
  1.1249e+15      71.6312   9.9987e-01   6.2371e-05   4.5956e-06   2.0918e-11
  1.1672e+15      71.6321   9.9987e-01   6.2367e-05   4.5961e-06   2.0921e-11
  1.2110e+15      71.6319   9.9987e-01   6.2368e-05   4.5961e-06   2.0923e-11
  1.2566e+15      71.6320   9.9987e-01   6.2368e-05   4.5961e-06   2.0926e-11
  1.3038e+15      71.6320   9.9987e-01   6.2369e-05   4.5961e-06   2.0928e-11
  1.3529e+15      71.6320   9.9987e-01   6.2370e-05   4.5961e-06   2.0930e-11
  1.4037e+15      71.6320   9.9987e-01   6.2371e-05   4.5961e-06   2.0932e-11
  1.4565e+15      71.6320   9.9987e-01   6.2371e-05   4.5961e-06   2.0934e-11
  1.5113e+15      71.6320   9.9987e-01   6.2372e-05   4.5961e-06   2.0936e-11
  1.5681e+15      71.6320   9.9987e-01   6.2373e-05   4.5961e-06   2.0938e-11
  1.6271e+15      71.6320   9.9987e-01   6.2374e-05   4.5961e-06   2.0941e-11
  1.6883e+15      71.6313   9.9987e-01   6.2375e-05   4.5962e-06   2.0943e-11
  1.7518e+15      71.6320   9.9987e-01   6.2376e-05   4.5961e-06   2.0945e-11
  1.8177e+15      71.6320   9.9987e-01   6.2377e-05   4.5962e-06   2.0947e-11
  1.8860e+15      71.6320   9.9987e-01   6.2378e-05   4.5962e-06   2.0949e-11
  1.9569e+15      71.6320   9.9987e-01   6.2379e-05   4.5962e-06   2.0951e-11
  2.0305e+15      71.6313   9.9987e-01   6.2380e-05   4.5962e-06   2.0953e-11
  2.1069e+15      71.6320   9.9987e-01   6.2381e-05   4.5962e-06   2.0955e-11
  2.1861e+15      71.6320   9.9987e-01   6.2382e-05   4.5962e-06   2.0958e-11
  2.2683e+15      71.6320   9.9987e-01   6.2384e-05   4.5962e-06   2.0960e-11
  2.3536e+15      71.6320   9.9987e-01   6.2385e-05   4.5962e-06   2.0962e-11
  2.4421e+15      71.6320   9.9987e-01   6.2386e-05   4.5962e-06   2.0964e-11
  2.5340e+15      71.6320   9.9987e-01   6.2388e-05   4.5962e-06   2.0966e-11
  2.6293e+15      71.6320   9.9987e-01   6.2389e-05   4.5962e-06   2.0968e-11
  2.7281e+15      71.6320   9.9987e-01   6.2391e-05   4.5962e-06   2.0970e-11
  2.8307e+15      71.6320   9.9987e-01   6.2392e-05   4.5962e-06   2.0973e-11
