#  J   Flux (erg s**-1 cm**-2)
   1   6.6539e-07
   2   5.7328e-06
   3   1.8674e-05
   4   4.1614e-05
   5   7.5147e-05
   6   1.1800e-04
   7   1.6606e-04
   8   2.1080e-04
   9   2.3493e-04
  10   2.0358e-04
  11   1.1008e-04
  12   3.5902e-05
  13   8.3315e-06
  14   1.5852e-06
  15   2.8299e-07
  16   6.8738e-08
  17   3.0467e-08
  18   1.9095e-08
  19   1.2893e-08
  20   8.7148e-09
  21   5.8119e-09
  22   3.8290e-09
  23   2.4932e-09
  24   1.6041e-09
  25   1.0172e-09
  26   6.3774e-10
  27   3.9509e-10
  28   2.4153e-10
  29   1.4615e-10
  30   8.7336e-11
  31   5.1692e-11
  32   3.0228e-11
  33   1.7511e-11
  34   1.0015e-11
  35   5.6762e-12
  36   3.1818e-12
  37   1.7618e-12
  38   9.6384e-13
  39   5.1949e-13
  40   2.7168e-13
  41   1.3490e-13
  42   7.3765e-14
  43   4.0332e-14
