# NH                 T_gas  H            H2           C            CO
  1.5900e+14     640.8888   9.7175e-01   1.3621e-02   8.0471e-06   4.7984e-07
  1.6498e+14     640.8844   9.7174e-01   1.3625e-02   8.0472e-06   4.7993e-07
  1.7118e+14     640.8773   9.7173e-01   1.3629e-02   8.0473e-06   4.8002e-07
  1.7762e+14     640.8731   9.7172e-01   1.3634e-02   8.0477e-06   4.8015e-07
  1.8430e+14     640.8666   9.7171e-01   1.3639e-02   8.0474e-06   4.8022e-07
  1.9123e+14     640.8606   9.7170e-01   1.3644e-02   8.0475e-06   4.8032e-07
  1.9842e+14     640.8543   9.7169e-01   1.3649e-02   8.0475e-06   4.8042e-07
  2.0588e+14     640.8476   9.7168e-01   1.3654e-02   8.0476e-06   4.8052e-07
  2.1363e+14     640.8408   9.7167e-01   1.3660e-02   8.0477e-06   4.8063e-07
  2.2166e+14     640.8339   9.7166e-01   1.3665e-02   8.0478e-06   4.8073e-07
  2.2999e+14     640.8267   9.7164e-01   1.3671e-02   8.0479e-06   4.8084e-07
  2.3864e+14     640.8191   9.7163e-01   1.3677e-02   8.0480e-06   4.8096e-07
  2.4762e+14     640.8111   9.7162e-01   1.3684e-02   8.0480e-06   4.8107e-07
  2.5693e+14     640.8031   9.7160e-01   1.3691e-02   8.0481e-06   4.8119e-07
  2.6659e+14     640.7937   9.7159e-01   1.3698e-02   8.0483e-06   4.8131e-07
  2.7662e+14     640.7857   9.7158e-01   1.3705e-02   8.0484e-06   4.8144e-07
  2.8702e+14     640.7768   9.7156e-01   1.3712e-02   8.0484e-06   4.8155e-07
  2.9781e+14     640.7673   9.7155e-01   1.3720e-02   8.0486e-06   4.8169e-07
  3.0901e+14     640.7573   9.7153e-01   1.3728e-02   8.0487e-06   4.8182e-07
  3.2063e+14     640.7475   9.7151e-01   1.3736e-02   8.0485e-06   4.8193e-07
  3.3269e+14     640.7365   9.7150e-01   1.3745e-02   8.0489e-06   4.8209e-07
  3.4520e+14     640.7252   9.7148e-01   1.3754e-02   8.0491e-06   4.8224e-07
  3.5818e+14     640.7133   9.7146e-01   1.3764e-02   8.0492e-06   4.8238e-07
  3.7165e+14     640.7021   9.7144e-01   1.3773e-02   8.0494e-06   4.8254e-07
  3.8563e+14     640.6896   9.7142e-01   1.3783e-02   8.0495e-06   4.8269e-07
  4.0013e+14     640.6770   9.7140e-01   1.3794e-02   8.0497e-06   4.8284e-07
  4.1517e+14     640.6638   9.7138e-01   1.3805e-02   8.0499e-06   4.8301e-07
  4.3079e+14     640.6493   9.7135e-01   1.3816e-02   8.0500e-06   4.8317e-07
  4.4699e+14     640.6362   9.7133e-01   1.3828e-02   8.0501e-06   4.8334e-07
  4.6380e+14     640.6207   9.7131e-01   1.3840e-02   8.0503e-06   4.8352e-07
  4.8124e+14     640.6052   9.7128e-01   1.3853e-02   8.0505e-06   4.8370e-07
  4.9933e+14     640.5886   9.7125e-01   1.3866e-02   8.0507e-06   4.8389e-07
  5.1811e+14     640.5724   9.7123e-01   1.3880e-02   8.0509e-06   4.8408e-07
  5.3760e+14     640.5551   9.7120e-01   1.3894e-02   8.0511e-06   4.8427e-07
  5.5781e+14     640.5372   9.7117e-01   1.3909e-02   8.0515e-06   4.8449e-07
  5.7879e+14     640.5183   9.7114e-01   1.3925e-02   8.0515e-06   4.8469e-07
  6.0055e+14     640.4988   9.7111e-01   1.3941e-02   8.0518e-06   4.8490e-07
  6.2314e+14     640.4786   9.7107e-01   1.3957e-02   8.0520e-06   4.8512e-07
  6.4657e+14     640.4574   9.7104e-01   1.3975e-02   8.0523e-06   4.8535e-07
  6.7088e+14     640.4346   9.7100e-01   1.3993e-02   8.0527e-06   4.8559e-07
  6.9611e+14     640.4135   9.7096e-01   1.4011e-02   8.0534e-06   4.8588e-07
  7.2229e+14     640.3894   9.7092e-01   1.4031e-02   8.0531e-06   4.8608e-07
  7.4945e+14     640.3648   9.7088e-01   1.4051e-02   8.0534e-06   4.8635e-07
  7.7764e+14     640.3395   9.7084e-01   1.4072e-02   8.0540e-06   4.8664e-07
  8.0688e+14     640.3117   9.7080e-01   1.4094e-02   8.0538e-06   4.8689e-07
  8.3722e+14     640.2853   9.7075e-01   1.4117e-02   8.0544e-06   4.8718e-07
  8.6870e+14     640.2568   9.7071e-01   1.4140e-02   8.0547e-06   4.8747e-07
  9.0137e+14     640.2266   9.7066e-01   1.4165e-02   8.0551e-06   4.8778e-07
  9.3527e+14     640.1961   9.7061e-01   1.4191e-02   8.0556e-06   4.8811e-07
  9.7044e+14     640.1636   9.7055e-01   1.4217e-02   8.0558e-06   4.8842e-07
