#  J   Flux (erg s**-1 cm**-2)
   1   6.4654e-07
   2   5.6253e-06
   3   1.8378e-05
   4   4.1029e-05
   5   7.4267e-05
   6   1.1680e-04
   7   1.6493e-04
   8   2.1042e-04
   9   2.3713e-04
  10   2.1105e-04
  11   1.2070e-04
  12   4.2550e-05
  13   1.0744e-05
  14   2.2142e-06
  15   4.1268e-07
  16   9.1672e-08
  17   3.3873e-08
  18   1.9534e-08
  19   1.2943e-08
  20   8.7211e-09
  21   5.8126e-09
  22   3.8290e-09
  23   2.4932e-09
  24   1.6041e-09
  25   1.0172e-09
  26   6.3774e-10
  27   3.9509e-10
  28   2.4153e-10
  29   1.4615e-10
  30   8.7336e-11
  31   5.1692e-11
  32   3.0228e-11
  33   1.7511e-11
  34   1.0015e-11
  35   5.6762e-12
  36   3.1818e-12
  37   1.7618e-12
  38   9.6384e-13
  39   5.1949e-13
  40   2.7168e-13
  41   1.3490e-13
  42   7.3765e-14
  43   4.0325e-14
