#  J   Flux (erg s**-1 cm**-2)
   1   4.3725e-07
   2   3.6003e-06
   3   1.1643e-05
   4   2.5309e-05
   5   4.3574e-05
   6   6.4088e-05
   7   8.4320e-05
   8   9.5944e-05
   9   7.4644e-05
  10   3.1925e-05
  11   1.1329e-05
  12   7.3513e-06
  13   7.3073e-06
  14   7.5084e-06
  15   7.3513e-06
  16   6.8612e-06
  17   6.1173e-06
  18   5.2471e-06
  19   4.3530e-06
  20   3.5079e-06
  21   2.7458e-06
  22   2.0992e-06
  23   1.5727e-06
  24   1.1567e-06
  25   8.3504e-07
  26   5.9357e-07
  27   4.1588e-07
  28   2.8739e-07
  29   1.9635e-07
  30   1.3251e-07
  31   8.8467e-08
  32   5.8402e-08
  33   3.8195e-08
  34   2.4724e-08
  35   1.5846e-08
  36   1.0053e-08
  37   6.3083e-09
  38   3.9100e-09
  39   2.3845e-09
  40   1.4187e-09
  41   8.0802e-10
  42   4.9826e-10
  43   3.0662e-10
  44   1.8818e-10
  45   1.1555e-10
  46   7.0874e-11
  47   4.3542e-11
  48   2.6766e-11
  49   1.6493e-11
  50   1.0191e-11
  51   6.3209e-12
  52   3.9326e-12
  53   2.4592e-12
  54   1.5444e-12
  55   9.7515e-13
  56   6.1808e-13
  57   3.9389e-13
  58   2.5302e-13
  59   1.6324e-13
  60   1.0619e-13
  61   6.9429e-14
  62   4.5748e-14
  63   3.0423e-14
  64   2.0427e-14
  65   1.3836e-14
