# NH                 T_gas  H            H2           C            CO
  1.5900e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.2984e-11
  1.6498e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.2988e-11
  1.7118e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.2991e-11
  1.7762e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.2995e-11
  1.8430e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.2998e-11
  1.9123e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3001e-11
  1.9842e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3005e-11
  2.0588e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3008e-11
  2.1363e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3011e-11
  2.2166e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3015e-11
  2.2999e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3018e-11
  2.3864e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3021e-11
  2.4762e+14    8421.7750   9.9996e-01   8.4719e-06   1.9330e-10   3.3025e-11
  2.5693e+14    8421.7750   9.9996e-01   8.4718e-06   1.9330e-10   3.3028e-11
  2.6659e+14    8421.7760   9.9996e-01   8.4718e-06   1.9330e-10   3.3031e-11
  2.7662e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3035e-11
  2.8702e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3038e-11
  2.9781e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3041e-11
  3.0901e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3045e-11
  3.2063e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3048e-11
  3.3269e+14    8421.7750   9.9996e-01   8.4719e-06   1.9330e-10   3.3051e-11
  3.4520e+14    8421.7750   9.9996e-01   8.4719e-06   1.9330e-10   3.3055e-11
  3.5818e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3058e-11
  3.7165e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3061e-11
  3.8563e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3065e-11
  4.0013e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3068e-11
  4.1517e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3072e-11
  4.3079e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3075e-11
  4.4699e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3078e-11
  4.6380e+14    8421.7750   9.9996e-01   8.4719e-06   1.9330e-10   3.3082e-11
  4.8124e+14    8421.7750   9.9996e-01   8.4719e-06   1.9330e-10   3.3085e-11
  4.9933e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3088e-11
  5.1811e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3092e-11
  5.3760e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3095e-11
  5.5781e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3098e-11
  5.7879e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3102e-11
  6.0055e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3105e-11
  6.2314e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3108e-11
  6.4657e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3112e-11
  6.7088e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3115e-11
  6.9611e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3119e-11
  7.2229e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3122e-11
  7.4945e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3125e-11
  7.7764e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3129e-11
  8.0688e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3132e-11
  8.3722e+14    8421.7740   9.9996e-01   8.4719e-06   1.9330e-10   3.3135e-11
