# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  1.2468e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4713e-30  -9.8430e-25
  1.2937e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4716e-30  -9.8430e-25
  1.3423e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4718e-30  -9.8430e-25
  1.3928e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4721e-30  -9.8430e-25
  1.4452e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4723e-30  -9.8430e-25
  1.4995e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4726e-30  -9.8430e-25
  1.5559e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4728e-30  -9.8430e-25
  1.6144e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4731e-30  -9.8430e-25
  1.6751e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4733e-30  -9.8430e-25
  1.7381e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4736e-30  -9.8430e-25
  1.8035e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4738e-30  -9.8430e-25
  1.8713e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4741e-30  -9.8430e-25
  1.9417e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4744e-30  -9.8430e-25
  2.0147e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4746e-30  -9.8430e-25
  2.0905e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4749e-30  -9.8430e-25
  2.1691e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4751e-30  -9.8430e-25
  2.2507e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4754e-30  -9.8430e-25
  2.3353e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4756e-30  -9.8430e-25
  2.4231e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4759e-30  -9.8430e-25
  2.5142e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4761e-30  -9.8430e-25
  2.6088e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4764e-30  -9.8430e-25
  2.7069e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4766e-30  -9.8430e-25
  2.8087e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4769e-30  -9.8430e-25
  2.9143e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4771e-30  -9.8430e-25
  3.0239e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4774e-30  -9.8430e-25
  3.1376e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4776e-30  -9.8430e-25
  3.2556e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4779e-30  -9.8430e-25
  3.3780e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4781e-30  -9.8430e-25
  3.5051e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4784e-30  -9.8430e-25
