#  J   Flux (erg s**-1 cm**-2)
   1   3.4042e-07
   2   2.9763e-06
   3   9.0038e-06
   4   1.7084e-05
   5   2.3317e-05
   6   2.1520e-05
   7   1.2083e-05
   8   4.5239e-06
   9   1.3465e-06
  10   3.7473e-07
  11   1.1649e-07
  12   5.0454e-08
  13   3.3873e-08
  14   3.0335e-08
  15   3.0115e-08
  16   3.0379e-08
  17   3.0147e-08
  18   2.9148e-08
  19   2.7363e-08
  20   2.4907e-08
  21   2.1997e-08
  22   1.8843e-08
  23   1.5677e-08
  24   1.2667e-08
  25   9.9400e-09
  26   7.5712e-09
  27   5.6090e-09
  28   4.0363e-09
  29   2.8274e-09
  30   1.9271e-09
  31   1.2767e-09
  32   8.2498e-10
  33   5.1767e-10
  34   3.1705e-10
  35   1.8919e-10
  36   1.1008e-10
  37   6.2417e-11
  38   3.4463e-11
  39   1.8561e-11
  40   9.8143e-12
  41   5.0002e-12
  42   2.5290e-12
  43   1.2535e-12
  44   6.1022e-13
  45   2.9116e-13
  46   1.3635e-13
  47   6.2650e-14
  48   2.8306e-14
  49   1.2598e-14
  50   5.5443e-15
  51   2.4303e-15
