# NH                 T_gas  H            H2           C            CO
  1.5900e+14     403.2034   1.4432e-01   4.2774e-01   1.2556e-05   8.7411e-05
  1.6498e+14     402.8426   1.4331e-01   4.2825e-01   1.2551e-05   8.7415e-05
  1.7118e+14     402.4733   1.4226e-01   4.2877e-01   1.2547e-05   8.7419e-05
  1.7762e+14     402.0955   1.4119e-01   4.2931e-01   1.2544e-05   8.7422e-05
  1.8430e+14     401.7088   1.4008e-01   4.2986e-01   1.2541e-05   8.7424e-05
  1.9123e+14     401.3134   1.3895e-01   4.3043e-01   1.2539e-05   8.7426e-05
  1.9842e+14     400.9094   1.3779e-01   4.3101e-01   1.2539e-05   8.7426e-05
  2.0588e+14     400.4962   1.3659e-01   4.3161e-01   1.2539e-05   8.7426e-05
  2.1363e+14     400.0743   1.3537e-01   4.3222e-01   1.2540e-05   8.7424e-05
  2.2166e+14     399.6469   1.3411e-01   4.3285e-01   1.2543e-05   8.7421e-05
  2.2999e+14     399.2113   1.3282e-01   4.3350e-01   1.2546e-05   8.7417e-05
  2.3864e+14     398.7667   1.3150e-01   4.3416e-01   1.2551e-05   8.7412e-05
  2.4762e+14     398.3129   1.3015e-01   4.3483e-01   1.2558e-05   8.7405e-05
  2.5693e+14     397.8501   1.2877e-01   4.3553e-01   1.2566e-05   8.7397e-05
  2.6659e+14     397.3781   1.2735e-01   4.3623e-01   1.2575e-05   8.7387e-05
  2.7662e+14     396.8971   1.2591e-01   4.3696e-01   1.2586e-05   8.7375e-05
  2.8702e+14     396.4069   1.2443e-01   4.3770e-01   1.2599e-05   8.7361e-05
  2.9781e+14     395.9076   1.2292e-01   4.3845e-01   1.2614e-05   8.7346e-05
  3.0901e+14     395.3992   1.2138e-01   4.3923e-01   1.2631e-05   8.7328e-05
  3.2063e+14     394.8818   1.1981e-01   4.4001e-01   1.2651e-05   8.7308e-05
  3.3269e+14     394.3553   1.1821e-01   4.4082e-01   1.2672e-05   8.7286e-05
  3.4520e+14     393.8199   1.1658e-01   4.4163e-01   1.2696e-05   8.7262e-05
  3.5818e+14     393.2755   1.1492e-01   4.4246e-01   1.2722e-05   8.7234e-05
  3.7165e+14     392.7223   1.1323e-01   4.4331e-01   1.2752e-05   8.7204e-05
  3.8563e+14     392.1603   1.1151e-01   4.4417e-01   1.2784e-05   8.7172e-05
  4.0013e+14     391.5896   1.0976e-01   4.4504e-01   1.2819e-05   8.7136e-05
  4.1517e+14     391.0102   1.0799e-01   4.4593e-01   1.2857e-05   8.7096e-05
  4.3079e+14     390.4224   1.0620e-01   4.4683e-01   1.2898e-05   8.7054e-05
  4.4699e+14     389.8261   1.0438e-01   4.4774e-01   1.2943e-05   8.7008e-05
  4.6380e+14     389.2215   1.0253e-01   4.4867e-01   1.2991e-05   8.6959e-05
  4.8124e+14     388.6086   1.0067e-01   4.4960e-01   1.3043e-05   8.6905e-05
  4.9933e+14     387.9877   9.8780e-02   4.5055e-01   1.3099e-05   8.6848e-05
  5.1811e+14     387.3589   9.6875e-02   4.5150e-01   1.3159e-05   8.6787e-05
  5.3760e+14     386.7224   9.4952e-02   4.5246e-01   1.3223e-05   8.6721e-05
  5.5781e+14     386.0784   9.3013e-02   4.5343e-01   1.3292e-05   8.6651e-05
  5.7879e+14     385.4268   9.1060e-02   4.5441e-01   1.3365e-05   8.6576e-05
  6.0055e+14     384.7683   8.9095e-02   4.5540e-01   1.3443e-05   8.6497e-05
  6.2314e+14     384.1026   8.7119e-02   4.5639e-01   1.3526e-05   8.6412e-05
  6.4657e+14     383.4302   8.5135e-02   4.5738e-01   1.3613e-05   8.6322e-05
  6.7088e+14     382.7510   8.3143e-02   4.5838e-01   1.3706e-05   8.6227e-05
  6.9611e+14     382.0656   8.1147e-02   4.5938e-01   1.3804e-05   8.6127e-05
  7.2229e+14     381.3738   7.9149e-02   4.6038e-01   1.3908e-05   8.6021e-05
  7.4945e+14     380.6759   7.7150e-02   4.6138e-01   1.4017e-05   8.5909e-05
  7.7764e+14     379.9722   7.5153e-02   4.6238e-01   1.4132e-05   8.5791e-05
  8.0688e+14     379.2629   7.3160e-02   4.6338e-01   1.4252e-05   8.5668e-05
  8.3722e+14     378.5481   7.1173e-02   4.6437e-01   1.4379e-05   8.5538e-05
  8.6870e+14     377.8282   6.9194e-02   4.6536e-01   1.4512e-05   8.5401e-05
