#  J   Flux (erg s**-1 cm**-2)
   1   3.1856e-07
   2   2.7495e-06
   3   8.1744e-06
   4   1.4979e-05
   5   1.8925e-05
   6   1.4615e-05
   7   6.1757e-06
   8   1.7122e-06
   9   3.9615e-07
  10   9.1106e-08
  11   2.4460e-08
  12   8.8970e-09
  13   4.2380e-09
  14   2.2663e-09
  15   1.2478e-09
  16   7.0560e-10
  17   3.9245e-10
  18   2.1551e-10
  19   1.1693e-10
  20   6.2084e-11
  21   3.2302e-11
  22   1.6506e-11
  23   8.2687e-12
  24   4.0602e-12
  25   1.9572e-12
  26   9.2237e-13
  27   4.2694e-13
  28   1.9352e-13
  29   8.6771e-14
  30   3.8082e-14
  31   1.6336e-14
  32   6.9241e-15
  33   2.8922e-15
