# NH                 T_gas  H            H2           C            CO
  1.5900e+14     402.3207   9.6493e-01   1.7467e-02   4.6051e-05   2.0978e-05
  1.6498e+14     402.3163   9.6492e-01   1.7474e-02   4.6050e-05   2.0981e-05
  1.7118e+14     402.3117   9.6490e-01   1.7481e-02   4.6050e-05   2.0983e-05
  1.7762e+14     402.3067   9.6489e-01   1.7489e-02   4.6049e-05   2.0986e-05
  1.8430e+14     402.3015   9.6487e-01   1.7496e-02   4.6049e-05   2.0989e-05
  1.9123e+14     402.2961   9.6486e-01   1.7504e-02   4.6048e-05   2.0992e-05
  1.9842e+14     402.2903   9.6484e-01   1.7513e-02   4.6047e-05   2.0994e-05
  2.0588e+14     402.2843   9.6482e-01   1.7521e-02   4.6047e-05   2.0997e-05
  2.1363e+14     402.2779   9.6480e-01   1.7530e-02   4.6046e-05   2.1000e-05
  2.2166e+14     402.2712   9.6479e-01   1.7540e-02   4.6046e-05   2.1003e-05
  2.2999e+14     402.2641   9.6477e-01   1.7549e-02   4.6045e-05   2.1006e-05
  2.3864e+14     402.2567   9.6475e-01   1.7559e-02   4.6045e-05   2.1009e-05
  2.4762e+14     402.2489   9.6473e-01   1.7570e-02   4.6044e-05   2.1012e-05
  2.5693e+14     402.2408   9.6470e-01   1.7581e-02   4.6044e-05   2.1015e-05
  2.6659e+14     402.2321   9.6468e-01   1.7592e-02   4.6044e-05   2.1019e-05
  2.7662e+14     402.2233   9.6466e-01   1.7604e-02   4.6043e-05   2.1022e-05
  2.8702e+14     402.2139   9.6463e-01   1.7616e-02   4.6043e-05   2.1025e-05
  2.9781e+14     402.2040   9.6461e-01   1.7628e-02   4.6042e-05   2.1029e-05
  3.0901e+14     402.1937   9.6458e-01   1.7642e-02   4.6042e-05   2.1032e-05
  3.2063e+14     402.1829   9.6455e-01   1.7655e-02   4.6042e-05   2.1036e-05
  3.3269e+14     402.1716   9.6453e-01   1.7669e-02   4.6041e-05   2.1039e-05
  3.4520e+14     402.1598   9.6450e-01   1.7684e-02   4.6041e-05   2.1043e-05
  3.5818e+14     402.1474   9.6447e-01   1.7699e-02   4.6041e-05   2.1046e-05
  3.7165e+14     402.1345   9.6443e-01   1.7715e-02   4.6041e-05   2.1050e-05
  3.8563e+14     402.1209   9.6440e-01   1.7732e-02   4.6040e-05   2.1054e-05
  4.0013e+14     402.1059   9.6437e-01   1.7749e-02   4.6040e-05   2.1058e-05
  4.1517e+14     402.0913   9.6433e-01   1.7767e-02   4.6040e-05   2.1062e-05
  4.3079e+14     402.0763   9.6429e-01   1.7785e-02   4.6040e-05   2.1066e-05
  4.4699e+14     402.0604   9.6426e-01   1.7804e-02   4.6040e-05   2.1070e-05
  4.6380e+14     402.0435   9.6422e-01   1.7824e-02   4.6040e-05   2.1075e-05
  4.8124e+14     402.0258   9.6417e-01   1.7845e-02   4.6040e-05   2.1079e-05
  4.9933e+14     402.0075   9.6413e-01   1.7867e-02   4.6040e-05   2.1084e-05
  5.1811e+14     401.9886   9.6409e-01   1.7889e-02   4.6039e-05   2.1088e-05
  5.3760e+14     401.9687   9.6404e-01   1.7912e-02   4.6039e-05   2.1093e-05
  5.5781e+14     401.9475   9.6399e-01   1.7937e-02   4.6039e-05   2.1098e-05
  5.7879e+14     401.9264   9.6394e-01   1.7962e-02   4.6039e-05   2.1103e-05
  6.0055e+14     401.9038   9.6389e-01   1.7988e-02   4.6039e-05   2.1109e-05
  6.2314e+14     401.8802   9.6383e-01   1.8015e-02   4.6040e-05   2.1114e-05
  6.4657e+14     401.8551   9.6378e-01   1.8044e-02   4.6040e-05   2.1119e-05
  6.7088e+14     401.8297   9.6372e-01   1.8073e-02   4.6040e-05   2.1125e-05
  6.9611e+14     401.8028   9.6366e-01   1.8104e-02   4.6040e-05   2.1131e-05
  7.2229e+14     401.7739   9.6359e-01   1.8136e-02   4.6040e-05   2.1137e-05
  7.4945e+14     401.7456   9.6353e-01   1.8169e-02   4.6041e-05   2.1143e-05
  7.7764e+14     401.7150   9.6346e-01   1.8204e-02   4.6041e-05   2.1149e-05
  8.0688e+14     401.6831   9.6338e-01   1.8240e-02   4.6042e-05   2.1155e-05
  8.3722e+14     401.6497   9.6331e-01   1.8277e-02   4.6042e-05   2.1162e-05
  8.6870e+14     401.6150   9.6323e-01   1.8316e-02   4.6043e-05   2.1169e-05
  9.0137e+14     401.5786   9.6315e-01   1.8357e-02   4.6043e-05   2.1176e-05
  9.3527e+14     401.5405   9.6307e-01   1.8399e-02   4.6044e-05   2.1183e-05
  9.7044e+14     401.5012   9.6298e-01   1.8443e-02   4.6045e-05   2.1190e-05
  1.0069e+15     401.4599   9.6289e-01   1.8489e-02   4.6045e-05   2.1198e-05
  1.0448e+15     401.4168   9.6279e-01   1.8536e-02   4.6046e-05   2.1206e-05
  1.0841e+15     401.3718   9.6269e-01   1.8586e-02   4.6047e-05   2.1214e-05
  1.1249e+15     401.3248   9.6259e-01   1.8638e-02   4.6048e-05   2.1222e-05
  1.1672e+15     401.2758   9.6248e-01   1.8691e-02   4.6049e-05   2.1230e-05
  1.2110e+15     401.2245   9.6237e-01   1.8748e-02   4.6050e-05   2.1239e-05
  1.2566e+15     401.1710   9.6225e-01   1.8806e-02   4.6052e-05   2.1248e-05
  1.3038e+15     401.1151   9.6213e-01   1.8867e-02   4.6053e-05   2.1258e-05
  1.3529e+15     401.0568   9.6200e-01   1.8931e-02   4.6054e-05   2.1267e-05
  1.4037e+15     400.9958   9.6187e-01   1.8997e-02   4.6056e-05   2.1277e-05
  1.4565e+15     400.9321   9.6173e-01   1.9066e-02   4.6058e-05   2.1288e-05
  1.5113e+15     400.8655   9.6159e-01   1.9138e-02   4.6059e-05   2.1298e-05
  1.5681e+15     400.7959   9.6144e-01   1.9214e-02   4.6061e-05   2.1309e-05
  1.6271e+15     400.7231   9.6128e-01   1.9292e-02   4.6063e-05   2.1321e-05
  1.6883e+15     400.6468   9.6112e-01   1.9374e-02   4.6065e-05   2.1333e-05
  1.7518e+15     400.5674   9.6094e-01   1.9460e-02   4.6067e-05   2.1345e-05
  1.8177e+15     400.4842   9.6076e-01   1.9549e-02   4.6070e-05   2.1357e-05
  1.8860e+15     400.3971   9.6058e-01   1.9643e-02   4.6072e-05   2.1371e-05
  1.9569e+15     400.3063   9.6038e-01   1.9741e-02   4.6075e-05   2.1384e-05
  2.0305e+15     400.2113   9.6018e-01   1.9843e-02   4.6077e-05   2.1399e-05
  2.1069e+15     400.1117   9.5996e-01   1.9949e-02   4.6080e-05   2.1414e-05
  2.1861e+15     400.0074   9.5974e-01   2.0061e-02   4.6083e-05   2.1429e-05
  2.2683e+15     399.8995   9.5951e-01   2.0178e-02   4.6086e-05   2.1445e-05
  2.3536e+15     399.7865   9.5926e-01   2.0300e-02   4.6089e-05   2.1461e-05
  2.4421e+15     399.6681   9.5901e-01   2.0428e-02   4.6092e-05   2.1478e-05
  2.5340e+15     399.5438   9.5874e-01   2.0562e-02   4.6096e-05   2.1496e-05
