#  J   Flux (erg s**-1 cm**-2)
   1   4.7513e-06
   2   3.5110e-05
   3   1.1120e-04
   4   2.4806e-04
   5   4.5402e-04
   6   7.3023e-04
   7   1.0654e-03
   8   1.4414e-03
   9   1.8297e-03
  10   2.1941e-03
  11   2.5045e-03
  12   2.7018e-03
  13   2.7219e-03
  14   2.4919e-03
  15   1.9842e-03
  16   1.2868e-03
  17   6.3510e-04
  18   2.6515e-04
  19   1.0918e-04
  20   4.4749e-05
  21   1.8133e-05
  22   7.2923e-06
  23   2.9053e-06
  24   1.1462e-06
  25   4.4824e-07
  26   1.7316e-07
  27   6.6941e-08
  28   2.5836e-08
  29   1.0095e-08
  30   3.9559e-09
  31   1.5507e-09
  32   6.2028e-10
  33   2.5472e-10
  34   1.0856e-10
  35   4.8971e-11
  36   2.4127e-11
  37   1.3283e-11
  38   8.2084e-12
  39   5.5757e-12
  40   4.0476e-12
  41   3.0775e-12
  42   2.3964e-12
  43   1.9000e-12
  44   1.5180e-12
  45   1.2154e-12
  46   9.7691e-13
  47   7.8402e-13
  48   6.2907e-13
  49   5.0580e-13
  50   4.0702e-13
  51   3.2761e-13
