# NH                 T_gas  H            H2           C            CO
  3.1800e+16      96.4579   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.2996e+16      96.4579   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.4237e+16      96.4580   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.5524e+16      96.4580   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.6860e+16      96.4581   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.8246e+16      96.4581   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  3.9684e+16      96.4582   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.1177e+16      96.4583   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.2725e+16      96.4583   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.4332e+16      96.4584   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.5999e+16      96.4584   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.7729e+16      96.4585   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  4.9524e+16      96.4586   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  5.1386e+16      96.4587   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  5.3318e+16      96.4588   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  5.5323e+16      96.4588   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  5.7404e+16      96.4589   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  5.9562e+16      96.4590   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  6.1802e+16      96.4591   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  6.4126e+16      96.4592   2.0692e-01   3.9653e-01   4.3153e-05   5.3809e-05
  6.6538e+16      96.4593   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  6.9040e+16      96.4594   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  7.1636e+16      96.4595   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  7.4330e+16      96.4596   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  7.7125e+16      96.4598   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  8.0026e+16      96.4599   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  8.3035e+16      96.4600   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  8.6157e+16      96.4601   2.0692e-01   3.9653e-01   4.3153e-05   5.3810e-05
  8.9397e+16      96.4603   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  9.2759e+16      96.4604   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  9.6247e+16      96.4605   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  9.9867e+16      96.4607   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.0362e+17      96.4608   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.0752e+17      96.4610   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.1156e+17      96.4612   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.1576e+17      96.4614   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.2011e+17      96.4615   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.2463e+17      96.4617   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.2931e+17      96.4619   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.3418e+17      96.4621   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.3922e+17      96.4623   2.0692e-01   3.9653e-01   4.3152e-05   5.3810e-05
  1.4446e+17      96.4625   2.0692e-01   3.9653e-01   4.3152e-05   5.3811e-05
  1.4989e+17      96.4628   2.0692e-01   3.9653e-01   4.3152e-05   5.3811e-05
  1.5553e+17      96.4630   2.0692e-01   3.9653e-01   4.3152e-05   5.3811e-05
  1.6138e+17      96.4633   2.0692e-01   3.9653e-01   4.3151e-05   5.3811e-05
  1.6744e+17      96.4635   2.0692e-01   3.9653e-01   4.3151e-05   5.3811e-05
  1.7374e+17      96.4638   2.0692e-01   3.9653e-01   4.3151e-05   5.3811e-05
