#  J   Flux (erg s**-1 cm**-2)
   1   1.2736e-05
   2   1.1486e-04
   3   3.6958e-04
   4   8.2624e-04
   5   1.5312e-03
   6   2.5277e-03
   7   3.8453e-03
   8   5.5166e-03
   9   7.5587e-03
  10   9.9651e-03
  11   1.2749e-02
  12   1.5884e-02
  13   1.9340e-02
  14   2.3015e-02
  15   2.6917e-02
  16   3.1014e-02
  17   3.5192e-02
  18   3.9358e-02
  19   4.3423e-02
  20   4.7268e-02
  21   5.0762e-02
  22   5.3746e-02
  23   5.6178e-02
  24   5.7900e-02
  25   5.8710e-02
  26   5.8377e-02
  27   5.6762e-02
  28   5.3640e-02
  29   4.8494e-02
  30   4.0809e-02
  31   3.0367e-02
  32   1.8674e-02
  33   9.7955e-03
  34   4.9851e-03
  35   2.5158e-03
  36   1.2661e-03
  37   6.2756e-04
  38   3.0656e-04
  39   1.4740e-04
  40   6.8173e-05
  41   2.9361e-05
  42   1.3861e-05
  43   6.4654e-06
  44   2.9864e-06
  45   1.3735e-06
  46   6.2712e-07
  47   2.8639e-07
  48   1.3094e-07
  49   6.0614e-08
  50   2.8758e-08
  51   1.4131e-08
  52   7.3262e-09
  53   4.0709e-09
  54   2.4278e-09
  55   1.5507e-09
  56   1.0480e-09
  57   7.3827e-10
  58   5.3696e-10
  59   3.9791e-10
  60   2.9902e-10
  61   2.2645e-10
  62   1.7216e-10
  63   1.3195e-10
  64   1.0110e-10
  65   7.7660e-11
  66   5.9602e-11
  67   4.5729e-11
  68   3.5098e-11
  69   2.6917e-11
  70   2.0577e-11
  71   1.5695e-11
  72   1.1900e-11
  73   8.9473e-12
  74   6.6602e-12
