NH	T	H	H2	C	CO
921060000000	88.5	0.9881030809	0.0118969147	4.83492148721774E-005	3.37900535440234E-005
4604810000000	88.52	0.9880999192	0.0119000764	4.8349060163942E-005	3.37899454223182E-005
19340200000000	88.51	0.9880967575	0.0119032381	4.83489054568514E-005	3.3789837301413E-005
78282300000000	88.52	0.9880904341	0.0119095615	4.83485960456404E-005	3.37896210616785E-005
154946000000000	88.51	0.9880714644	0.0119285312	4.83476678359227E-005	0.000033789
254538000000000	88.48	0.9880430114	0.0119569842	4.83462755879374E-005	0.000033788
383992000000000	88.46	0.9879980753	0.0120019203	4.83597373450376E-005	3.37974074363731E-005
552322000000000	88.43	0.9879379991	0.0120619965	4.83567967813161E-005	3.37953523501454E-005
771180000000000	88.38	0.9878519139	0.0121480817	4.83682515196903E-005	3.38033577794791E-005
1055770000000000	88.27	0.9877412497	0.0122587459	4.8362833062119E-005	3.37675637859269E-005
1425360000000000	88.19	0.9875823876	0.012417608	4.84027413289352E-005	3.37730767870546E-005
1905430000000000	88.05	0.9873593618	0.0126406338	4.8423203213189E-005	3.37553281658077E-005
2530510000000000	87.85	0.9870570854	0.0129429102	4.84718393470477E-005	3.37348624140391E-005
3341360000000000	87.57	0.9866344475	0.0133655482	4.85146006324575E-005	3.36782333320428E-005
4396090000000000	87.2	0.9860225251	0.0139774705	4.85796463599722E-005	0.000033637
5582740000000000	86.7	0.9851268268	0.0148731689	4.86787425497085E-005	3.3564907519443E-005
6539100000000000	86.12	0.9839458048	0.0160541909	4.88116811745254E-005	3.34837207266988E-005
7171000000000000	85.68	0.9828270633	0.0171729325	4.89322410230276E-005	3.34257714812134E-005
7644500000000000	85.39	0.9819925069	0.0180074888	4.89708394437688E-005	3.33877452354952E-005
8147900000000000	85.17	0.9813049446	0.0186950512	0.000049033	0.000033376
8801600000000000	84.95	0.9805280817	0.0194719141	4.90747694930667E-005	3.33721329995558E-005
9614300000000000	84.67	0.9794271843	0.0205728115	4.9148850136689E-005	0.000033336
10364800000000000	84.38	0.9779081902	0.0220918056	4.92185781114933E-005	3.33186828844055E-005
10887400000000000	84.06	0.9763898785	0.0236101173	4.93050989725853E-005	3.33448798041778E-005
11297500000000000	83.88	0.9751750025	0.0248249934	4.93583093635475E-005	0.000033316
11718200000000000	83.72	0.9741713178	0.0258286781	4.93735846051165E-005	3.33482555677134E-005
12242500000000000	83.56	0.9730961757	0.0269038202	4.94178304786028E-005	3.33456714201873E-005
12911400000000000	83.34	0.9716441168	0.0283558792	4.94927157197389E-005	3.33636835272353E-005
13561000000000000	83.09	0.9696685298	0.0303314662	4.95586637687289E-005	3.33975216061454E-005
14047000000000000	82.83	0.9675839742	0.0324160218	4.96196909839606E-005	3.33953578135471E-005
14429900000000000	82.64	0.9658217459	0.0341782501	4.96811118217119E-005	3.3458707961561E-005
14803100000000000	82.47	0.9643722537	0.0356277423	4.97413057168545E-005	3.34665006205565E-005
15249900000000000	82.32	0.9628755045	0.0371244915	4.97835495871389E-005	3.34841924429966E-005
15822200000000000	82.13	0.960893851	0.0391061451	4.98521194233533E-005	3.35524152480183E-005
16396300000000000	81.9	0.9582948968	0.0417050993	4.99407034557255E-005	3.36012648580739E-005
16856800000000000	81.66	0.9554329475	0.0445670486	5.00181702123584E-005	3.36648054467591E-005
17223700000000000	81.47	0.9528854713	0.0471145249	5.00943612953707E-005	3.37383702313171E-005
17560400000000000	81.3	0.9508327215	0.0491672747	5.01625636731578E-005	3.38066484014205E-005
17971400000000000	81.14	0.9487401068	0.0512598894	5.02293728564866E-005	3.38408349225038E-005
18489600000000000	80.95	0.9461125702	0.0538874261	5.02882658818751E-005	3.39254172748501E-005
19030900000000000	80.71	0.9425064348	0.0574935614	0.000050403	0.000034048
19478100000000000	80.44	0.9384754773	0.061524519	5.05152215093536E-005	3.41355350664535E-005
19820500000000000	80.2	0.9349319648	0.0650680316	5.06533744600785E-005	3.42516501501994E-005
20152700000000000	80.03	0.9320230946	0.0679769018	0.000050721	0.000034343
20540600000000000	79.84	0.9290746478	0.0709253486	0.00005084	3.44465518324224E-005
21037500000000000	79.59	0.9253721166	0.0746278798	5.09413442052924E-005	3.45612722193345E-005
21558700000000000	79.32	0.9204192381	0.0795807583	5.1107848644252E-005	3.47205625058145E-005
21985300000000000	78.98	0.9149541976	0.0850457989	5.12539021815533E-005	3.4855398002984E-005
22336800000000000	78.68	0.9099996521	0.0900003444	5.14287682166659E-005	3.50211987319923E-005
22668300000000000	78.44	0.9057883233	0.0942116732	5.15863403373056E-005	3.51520602164336E-005
23067100000000000	78.2	0.9016080266	0.0983919699	0.000051714	3.52863541990665E-005
23558800000000000	77.91	0.8963350754	0.1036649211	5.1902268580871E-005	3.54624780619804E-005
24086800000000000	77.48	0.8894585263	0.1105414702	5.21455156573221E-005	3.56766625642015E-005
24529500000000000	77.04	0.8816976097	0.1183023869	5.24491598561958E-005	3.59328027066048E-005
24895000000000000	76.63	0.8747019649	0.1252980317	5.26671646908342E-005	3.61552968418159E-005
25252000000000000	76.29	0.8686319375	0.1313680591	5.29121349100466E-005	0.000036348
25669000000000000	75.94	0.86249685	0.1375031467	5.31237634440738E-005	3.6542818997413E-005
26184000000000000	75.54	0.8549391628	0.1450608338	5.34110658700568E-005	3.67902663891374E-005
26739000000000000	74.97	0.8452915589	0.1547084378	5.37846421698273E-005	3.70613793634587E-005
27219000000000000	74.36	0.834439036	0.1655609607	5.4216423232387E-005	3.74097005988258E-005
27631000000000000	73.8	0.8244433679	0.1755566288	5.46035756298874E-005	3.77281342847758E-005
28036000000000000	73.3	0.8155085195	0.1844914772	5.49541110767864E-005	3.79846411941795E-005
28509000000000000	72.8	0.8064759578	0.1935240389	5.53249300028493E-005	0.000038267
29099000000000000	72.18	0.7953679694	0.2046320274	5.57671794621253E-005	3.85875360622493E-005
29726000000000000	71.41	0.7814426608	0.2185573359	5.633477170411E-005	3.8995067691217E-005
30299000000000000	70.56	0.7661699281	0.2338300687	5.6994616340986E-005	3.94398063796967E-005
30806000000000000	69.77	0.7518648592	0.2481351375	5.76232385562714E-005	3.98626513300234E-005
31334000000000000	69.03	0.7387315493	0.2612684475	0.000058197	4.02074190969641E-005
31969000000000000	68.28	0.7249123067	0.2750876901	5.87832115197036E-005	4.0559609594528E-005
32744000000000000	67.31	0.7079826761	0.2920173207	5.95636896531664E-005	4.09755697682619E-005
33558000000000000	66.19	0.6873936303	0.3126063665	6.05205261439487E-005	4.14553151302891E-005
34325000000000000	65.04	0.6654569985	0.3345429983	6.15663767125447E-005	4.19107096304999E-005
35056000000000000	63.93	0.6448710237	0.3551289731	6.26017651609994E-005	4.22915415564041E-005
35871000000000000	62.85	0.6251902071	0.3748097897	6.36494063438998E-005	4.26068430444138E-005
36895000000000000	61.76	0.6036386097	0.3963613871	6.48238097368882E-005	4.28905765650133E-005
38129000000000000	60.41	0.5775718573	0.4224281395	6.63038097827581E-005	4.31334621442922E-005
39476000000000000	58.86	0.547158541	0.4528414558	6.8130656280177E-005	4.32581429220598E-005
40833000000000000	57.3	0.5157203174	0.4842796794	7.01548566501848E-005	4.32144531700035E-005
42282000000000000	55.85	0.4861111096	0.5138888872	7.2174329271186E-005	4.30268197858218E-005
43941000000000000	54.44	0.4567286557	0.5432713411	0.000074291	4.26319127846082E-005
45819000000000000	53.01	0.4262254279	0.573774569	7.65862152339033E-005	4.20253793145103E-005
47564000000000000	51.58	0.395230846	0.6047691508	7.90461692087606E-005	4.12024351825638E-005
48890000000000000	50.42	0.36952263	0.6304773668	8.12454889727174E-005	0.000040365
49940000000000000	49.62	0.3516781311	0.6483218658	8.27600581140899E-005	3.96862621246092E-005
51040000000000000	49.06	0.3384477947	0.6615522023	8.39157162050152E-005	3.91466553367165E-005
52470000000000000	48.48	0.325461957	0.67453804	0.000085085	3.8550325503291E-005
54290000000000000	47.81	0.3101052735	0.6898947235	8.65173940635797E-005	3.78025970108563E-005
56170000000000000	47.06	0.2921930668	0.7078069302	8.81654246372695E-005	3.68372744825529E-005
57730000000000000	46.37	0.275899672	0.724100325	8.97491818513383E-005	3.58887676151585E-005
59060000000000000	45.86	0.2635509905	0.7364490066	9.08891204997112E-005	3.51035201349942E-005
60510000000000000	45.46	0.2537972928	0.7462027043	9.1853078994638E-005	0.000034449
62360000000000000	45.07	0.2440988607	0.7559011364	9.28075531919655E-005	3.37628435579867E-005
64730000000000000	44.61	0.2325750371	0.7674249601	0.000093902	3.29048123825941E-005
67180000000000000	44.1	0.2195067006	0.7804932966	9.5224687199797E-005	3.18673273130486E-005
69290000000000000	43.63	0.2074380628	0.7925619344	9.63773453902824E-005	3.08464197805016E-005
71170000000000000	43.27	0.19815353	0.8018464673	9.73385761311618E-005	3.0016526960353E-005
73260000000000000	42.99	0.1904571195	0.8095428779	9.80605295158662E-005	2.92922935309939E-005
75940000000000000	42.71	0.1828525452	0.8171474521	9.87817489624288E-005	2.85541890979819E-005
79280000000000000	42.37	0.1738352285	0.8261647689	9.96478260775326E-005	0.000027637
82680000000000000	42.02	0.164054336	0.8359456614	0.0001006037	2.65935213526864E-005
85680000000000000	41.72	0.1552418175	0.84475818	0.0001013943	2.56169417704302E-005
88500000000000000	41.47	0.1483629118	0.8516370857	0.0001020324	0.000024817
91720000000000000	41.27	0.1424375914	0.8575624061	0.0001025551	2.40998530974562E-005
95870000000000000	41.07	0.1364065076	0.86359349	0.0001031007	2.33612355004878E-005
100870000000000000	40.83	0.1294061979	0.8705937997	0.0001036196	2.24745681975226E-005
105930000000000000	40.6	0.1222235417	0.8777764559	0.0001042285	2.15227461182754E-005
110550000000000000	40.39	0.1158245946	0.8841754031	0.000104683	2.0662535699987E-005
115160000000000000	40.23	0.1107392575	0.8892607402	0.0001050619	1.99605569370541E-005
120970000000000000	40.09	0.106265724	0.8937342737	0.0001053672	1.93183179143892E-005
128520000000000000	39.93	0.1011708193	0.8988291784	0.0001056139	0.000018583
137200000000000000	39.75	0.0955621122	0.9044378856	0.0001059192	1.77455289544001E-005
145590000000000000	39.58	0.0900857382	0.9099142596	0.000106207	1.69182465516078E-005
153450000000000000	39.43	0.0856796849	0.9143203129	0.0001064487	1.62337268799125E-005
161850000000000000	39.34	0.0820845718	0.9179154261	0.0001065947	1.56706909815769E-005
172380000000000000	39.22	0.078755469	0.9212445289	0.0001067088	1.51312590833098E-005
185890000000000000	39.13	0.0750776349	0.9249223631	0.0001068623	1.45466723194696E-005
201180000000000000	39.01	0.0711149059	0.928885092	0.0001069163	1.38936325648096E-005
