#Leid  depth	A_V(extentd)	A_V(point)	Te	H0	H2	Co	C+	Oo	CO	O2	CH	OH	e	He+	H+	H3+	N(H0)	N(H2)	N(Co)	N(C+)	N(Oo)	N(CO)	N(O2)	N(CH)	(OH)	N(e)	N(He+)	N(H+)	N(H3+)	H2(Sol)	H2(FrmGrn)	H2(photodiss)	G0(DB96)	rate(CO)	rate(C)	heat	cool	GrnP	Gr-Gas-Cool	Gr-Gas-Heat	COds	H2dH	H2vH	ChaT	CR H	MgI	SI	Si	Fe	Na	Al	C	C610	C370	C157	C63	C146
1.75196e+12	0.000e+00	2.223e-06	5.972e+01	9.999e+02	2.886e-02	2.688e-04	9.973e-02	3.162e-01	1.984e-07	1.031e-09	6.736e-09	2.103e-07	1.592e-01	4.726e-04	5.751e-03	6.898e-12	3.504e+15	1.011e+11	9.419e+08	3.495e+11	1.108e+12	6.950e+05	3.613e+03	2.360e+04	7.370e+05	5.580e+11	1.656e+09	2.015e+10	2.417e+01	3.031e-10	2.318e-14	0.000e+00	5.009e+00	0.000e+00	1.689e-09	2.975e-22	2.975e-22	2.913e-22	1.111e-24	-0.000e+00	0.000e+00	4.742e-24	2.464e-25	1.067e-26	2.592e-25	0.000e+00	7.366e-26	1.932e-25	0.000e+00	0.000e+00	0.000e+00	5.888e-25	3.289e-26	9.921e-26	2.831e-22	9.082e-24	1.068e-25
1.05118e+13	0.000e+00	1.112e-05	5.972e+01	9.999e+02	2.872e-02	2.688e-04	9.973e-02	3.162e-01	1.984e-07	1.031e-09	6.705e-09	2.103e-07	1.592e-01	4.725e-04	5.753e-03	6.864e-12	1.752e+16	5.036e+11	4.709e+09	1.747e+12	5.540e+12	3.475e+06	1.807e+04	1.176e+05	3.685e+06	2.790e+12	8.279e+09	1.008e+11	1.204e+02	3.031e-10	2.318e-14	5.874e-23	5.009e+00	0.000e+00	1.689e-09	2.975e-22	2.975e-22	2.914e-22	1.111e-24	-0.000e+00	0.000e+00	4.772e-24	2.476e-25	1.067e-26	2.592e-25	0.000e+00	7.366e-26	1.932e-25	0.000e+00	0.000e+00	0.000e+00	5.888e-25	3.289e-26	9.920e-26	2.831e-22	9.080e-24	1.068e-25
4.55511e+13	0.000e+00	4.669e-05	5.972e+01	9.999e+02	2.873e-02	2.688e-04	9.973e-02	3.162e-01	1.984e-07	1.031e-09	6.707e-09	2.104e-07	1.593e-01	4.725e-04	5.760e-03	6.868e-12	7.358e+16	2.114e+12	1.978e+10	7.338e+12	2.327e+13	1.460e+07	7.588e+04	4.936e+05	1.548e+07	1.172e+13	3.477e+10	4.237e+11	5.054e+02	3.029e-10	2.318e-14	2.743e-22	5.009e+00	0.000e+00	1.689e-09	2.975e-22	2.975e-22	2.914e-22	1.111e-24	-0.000e+00	0.000e+00	4.770e-24	2.476e-25	1.067e-26	2.592e-25	0.000e+00	7.366e-26	1.932e-25	0.000e+00	0.000e+00	0.000e+00	5.889e-25	3.289e-26	9.920e-26	2.831e-22	9.076e-24	1.067e-25
1.85708e+14	0.000e+00	1.890e-04	5.967e+01	9.999e+02	2.880e-02	2.690e-04	9.973e-02	3.162e-01	1.985e-07	1.032e-09	6.712e-09	2.104e-07	1.593e-01	4.724e-04	5.781e-03	6.880e-12	2.978e+17	8.572e+12	8.011e+10	2.970e+13	9.418e+13	5.912e+07	3.073e+05	1.999e+06	6.266e+07	4.744e+13	1.407e+11	1.720e+12	2.048e+03	3.023e-10	2.317e-14	8.769e-22	5.008e+00	0.000e+00	1.689e-09	2.975e-22	2.973e-22	2.914e-22	1.109e-24	-0.000e+00	0.000e+00	4.766e-24	2.475e-25	1.066e-26	2.592e-25	0.000e+00	7.370e-26	1.933e-25	0.000e+00	0.000e+00	0.000e+00	5.893e-25	3.292e-26	9.923e-26	2.829e-22	9.045e-24	1.063e-25
4.43598e+14	0.000e+00	3.739e-04	5.968e+01	9.999e+02	2.944e-02	2.692e-04	9.973e-02	3.162e-01	1.986e-07	1.032e-09	6.766e-09	2.104e-07	1.593e-01	4.724e-04	5.819e-03	7.037e-12	5.893e+17	1.716e+13	1.586e+11	5.878e+13	1.864e+14	1.170e+08	6.081e+05	3.971e+06	1.240e+08	9.388e+13	2.784e+11	3.416e+12	4.100e+03	2.989e-10	2.318e-14	1.193e-21	5.006e+00	0.000e+00	1.688e-09	2.974e-22	2.974e-22	2.913e-22	1.109e-24	-0.000e+00	0.000e+00	4.708e-24	2.455e-25	1.066e-26	2.592e-25	0.000e+00	7.370e-26	1.933e-25	0.000e+00	0.000e+00	0.000e+00	5.894e-25	3.294e-26	9.930e-26	2.830e-22	9.052e-24	1.064e-25
7.78854e+14	0.000e+00	6.144e-04	5.967e+01	9.999e+02	2.978e-02	2.695e-04	9.973e-02	3.162e-01	1.988e-07	1.033e-09	6.703e-09	2.105e-07	1.593e-01	4.723e-04	5.854e-03	7.118e-12	9.683e+17	2.844e+13	2.607e+11	9.657e+13	3.062e+14	1.923e+08	9.996e+05	6.512e+06	2.038e+08	1.543e+14	4.574e+11	5.635e+12	6.798e+03	2.936e-10	2.317e-14	5.742e-22	5.003e+00	0.000e+00	1.687e-09	2.973e-22	2.973e-22	2.912e-22	1.109e-24	-0.000e+00	0.000e+00	4.757e-24	2.477e-25	1.065e-26	2.592e-25	0.000e+00	7.371e-26	1.934e-25	0.000e+00	0.000e+00	0.000e+00	5.896e-25	3.298e-26	9.940e-26	2.829e-22	9.041e-24	1.062e-25
1.21469e+15	0.000e+00	9.270e-04	5.965e+01	9.999e+02	3.057e-02	2.698e-04	9.973e-02	3.162e-01	1.990e-07	1.034e-09	6.670e-09	2.106e-07	1.594e-01	4.723e-04	5.861e-03	7.308e-12	1.461e+18	4.350e+13	3.936e+11	1.457e+14	4.620e+14	2.904e+08	1.509e+06	9.798e+06	3.075e+08	2.328e+14	6.901e+11	8.522e+12	1.040e+04	2.862e-10	2.317e-14	1.511e-22	4.999e+00	0.000e+00	1.685e-09	2.972e-22	2.971e-22	2.910e-22	1.108e-24	-0.000e+00	0.000e+00	4.774e-24	2.485e-25	1.064e-26	2.592e-25	0.000e+00	7.372e-26	1.934e-25	0.000e+00	0.000e+00	0.000e+00	5.896e-25	3.302e-26	9.950e-26	2.827e-22	9.030e-24	1.060e-25
1.78127e+15	0.000e+00	1.333e-03	5.962e+01	9.999e+02	3.165e-02	2.702e-04	9.973e-02	3.162e-01	1.992e-07	1.035e-09	6.605e-09	2.107e-07	1.593e-01	4.722e-04	5.853e-03	7.564e-12	2.101e+18	6.377e+13	5.667e+11	2.096e+14	6.646e+14	4.180e+08	2.172e+06	1.403e+07	4.425e+08	3.348e+14	9.925e+11	1.227e+13	1.524e+04	2.761e-10	2.316e-14	2.131e-23	4.995e+00	0.000e+00	1.683e-09	2.970e-22	2.969e-22	2.908e-22	1.107e-24	-0.000e+00	0.000e+00	4.815e-24	2.503e-25	1.064e-26	2.592e-25	0.000e+00	7.372e-26	1.935e-25	0.000e+00	0.000e+00	0.000e+00	5.898e-25	3.307e-26	9.962e-26	2.825e-22	9.012e-24	1.057e-25
2.51783e+15	0.000e+00	1.862e-03	5.961e+01	9.999e+02	3.369e-02	2.707e-04	9.973e-02	3.162e-01	1.996e-07	1.037e-09	6.600e-09	2.109e-07	1.593e-01	4.721e-04	5.838e-03	8.056e-12	2.934e+18	9.183e+13	7.921e+11	2.926e+14	9.279e+14	5.842e+08	3.035e+06	1.952e+07	6.181e+08	4.675e+14	1.386e+12	1.713e+13	2.195e+04	2.623e-10	2.316e-14	1.430e-24	4.989e+00	0.000e+00	1.680e-09	2.966e-22	2.966e-22	2.904e-22	1.106e-24	-0.000e+00	0.000e+00	4.791e-24	2.495e-25	1.063e-26	2.592e-25	0.000e+00	7.372e-26	1.934e-25	0.000e+00	0.000e+00	0.000e+00	5.898e-25	3.312e-26	9.978e-26	2.823e-22	9.000e-24	1.055e-25
3.47535e+15	0.000e+00	2.548e-03	5.957e+01	9.999e+02	3.590e-02	2.714e-04	9.973e-02	3.162e-01	2.001e-07	1.039e-09	6.451e-09	2.111e-07	1.593e-01	4.720e-04	5.824e-03	8.585e-12	4.016e+18	1.307e+14	1.086e+12	4.006e+14	1.270e+15	8.008e+08	4.160e+06	2.651e+07	8.465e+08	6.399e+14	1.897e+12	2.344e+13	3.124e+04	2.439e-10	2.316e-14	3.816e-26	4.981e+00	0.000e+00	1.677e-09	2.963e-22	2.963e-22	2.900e-22	1.104e-24	-0.000e+00	0.000e+00	4.916e-24	2.550e-25	1.063e-26	2.592e-25	0.000e+00	7.372e-26	1.935e-25	0.000e+00	0.000e+00	0.000e+00	5.899e-25	3.321e-26	9.999e-26	2.820e-22	8.977e-24	1.052e-25
