#Leid  depth	A_V(extentd)	A_V(point)	Te	H0	H2	Co	C+	Oo	CO	O2	CH	OH	e	He+	H+	H3+	N(H0)	N(H2)	N(Co)	N(C+)	N(Oo)	N(CO)	N(O2)	N(CH)	(OH)	N(e)	N(He+)	N(H+)	N(H3+)	H2(Sol)	H2(FrmGrn)	H2(photodiss)	G0(DB96)	rate(CO)	rate(C)	heat	cool	GrnP	Gr-Gas-Cool	Gr-Gas-Heat	COds	H2dH	H2vH	ChaT	CR H	MgI	SI	Si	Fe	Na	Al	C	C610	C370	C157	C63	C146
1.29616e+08	0.000e+00	1.397e-10	1.631e+02	1.479e+01	4.923e+02	8.972e-02	6.305e-04	1.418e-02	3.981e-03	2.141e-05	3.677e-04	8.717e-04	2.900e-02	1.655e-03	1.134e-02	3.575e-05	3.834e+09	1.276e+11	2.326e+07	1.635e+05	3.675e+06	1.032e+06	5.550e+03	9.531e+04	2.260e+05	7.519e+06	4.290e+05	2.940e+06	9.267e+03	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.120e-16	4.036e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.501e-31	1.405e-24	2.491e-25	0.000e+00	2.304e-23	1.263e-25	0.000e+00	0.000e+00	0.000e+00	2.779e-24	1.117e-23	3.502e-23	2.670e-24	7.638e-24	7.538e-25
7.77697e+08	0.000e+00	6.987e-10	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.670e-04	8.707e-04	2.903e-02	1.654e-03	1.133e-02	3.572e-05	1.915e+10	6.381e+11	1.163e+08	8.169e+05	1.839e+07	5.157e+06	2.777e+04	4.759e+05	1.129e+06	3.762e+07	2.145e+06	1.468e+07	4.631e+04	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.545e-25
3.37002e+09	0.000e+00	2.935e-09	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.144e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	8.044e+10	2.680e+12	4.884e+08	3.431e+06	7.725e+07	2.166e+07	1.167e+05	1.998e+06	4.741e+06	1.580e+08	9.007e+06	6.166e+07	1.945e+05	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.647e-24	7.546e-25
1.37393e+10	0.000e+00	1.188e-08	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.670e-04	8.708e-04	2.903e-02	1.654e-03	1.133e-02	3.572e-05	3.256e+11	1.085e+13	1.977e+09	1.389e+07	3.127e+08	8.765e+07	4.723e+05	8.088e+06	1.919e+07	6.397e+08	3.646e+07	2.495e+08	7.871e+05	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.545e-25
3.28188e+10	0.000e+00	2.351e-08	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.144e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	6.442e+11	2.147e+13	3.911e+09	2.748e+07	6.188e+08	1.734e+08	9.346e+05	1.600e+07	3.797e+07	1.266e+09	7.214e+07	4.938e+08	1.558e+06	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.546e-25
5.76222e+10	0.000e+00	3.862e-08	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	1.058e+12	3.527e+13	6.427e+09	4.515e+07	1.017e+09	2.850e+08	1.536e+06	2.630e+07	6.238e+07	2.080e+09	1.185e+08	8.113e+08	2.559e+06	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.545e-25
8.98665e+10	0.000e+00	5.827e-08	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	1.597e+12	5.322e+13	9.696e+09	6.812e+07	1.534e+09	4.300e+08	2.317e+06	3.968e+07	9.412e+07	3.138e+09	1.788e+08	1.224e+09	3.861e+06	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.546e-25
1.31784e+11	0.000e+00	8.381e-08	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	2.297e+12	7.654e+13	1.395e+10	9.798e+07	2.206e+09	6.184e+08	3.333e+06	5.707e+07	1.354e+08	4.513e+09	2.572e+08	1.761e+09	5.554e+06	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.115e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.546e-25
1.86277e+11	0.000e+00	1.170e-07	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	3.207e+12	1.069e+14	1.947e+10	1.368e+08	3.081e+09	8.635e+08	4.653e+06	7.968e+07	1.890e+08	6.302e+09	3.591e+08	2.458e+09	7.755e+06	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.116e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.546e-25
2.57118e+11	0.000e+00	1.602e-07	1.631e+02	1.477e+01	4.923e+02	8.971e-02	6.302e-04	1.419e-02	3.978e-03	2.143e-05	3.671e-04	8.708e-04	2.903e-02	1.654e-03	1.132e-02	3.572e-05	4.390e+12	1.463e+14	2.666e+10	1.873e+08	4.217e+09	1.182e+09	6.369e+06	1.091e+08	2.588e+08	8.626e+09	4.916e+08	3.365e+09	1.062e+07	1.145e-24	3.831e-14	2.472e-52	2.472e-31	0.000e+00	2.116e-16	4.035e-22	4.035e-22	3.243e-22	7.429e-25	-0.000e+00	0.000e+00	1.536e-25	1.500e-31	1.406e-24	2.491e-25	0.000e+00	2.302e-23	1.261e-25	0.000e+00	0.000e+00	0.000e+00	2.778e-24	1.117e-23	3.502e-23	2.669e-24	7.646e-24	7.546e-25
