#J	flux
1	0.019964
2	0.16051
3	0.30258
4	0.36261
5	0.29618
6	0.19447
7	0.11515
8	0.065909
9	0.034969
10	0.017966
11	0.0087499
12	0.004122
13	0.0019197
14	0.00080564
15	0.00030523
16	0.00011946
17	0.000042492
18	0.000014458
19	4.6791E-006
20	1.4634E-006
21	4.3612E-007
22	1.241E-007
23	0.000000034
24	8.9473E-009
25	2.2688E-009
26	5.542E-010
27	1.3232E-010
28	3.1125E-011
29	7.3966E-012
30	1.8172E-012
31	4.6168E-013
32	1.2457E-013
33	3.5397E-014
34	1.0457E-014
35	3.1326E-015
36	9.3493E-016
37	2.7378E-016
38	7.7518E-017
39	2.055E-017
40	4.4385E-018
 
