 NH	T	H	H2	C	CO
131457000000	164.4	0.0293380994	0.9706415533	0.0001726768	9.12872311916363E-006
657380000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
2760950000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009125
11177600000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
22108300000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
36335000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
54817000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
78852000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
110128000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
150718000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
203466000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
272179000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
361390000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
477400000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
628120000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
824160000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
1078640000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
1410350000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
1840980000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
2400400000000000	164.4	0.0293189586	0.9706606147	0.0001726802	0.000009123
2641440000000000	164.4	0.0293189586	0.9706606147	0.0001726999	0.000009121
2905180000000000	164.4	0.0293189586	0.9706606147	0.0001726999	0.000009121
3195700000000000	164.4	0.0293189586	0.9706606147	0.0001726999	0.000009121
3515100000000000	164.4	0.0293189586	0.9706606147	0.0001726999	0.000009121
3866400000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.120835813993E-006
4253700000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.120835813993E-006
4678200000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.120835813993E-006
5146900000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11886416768647E-006
5661000000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11886416768647E-006
6227600000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11886416768647E-006
6849900000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11886416768647E-006
7535000000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11886416768647E-006
8288100000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11689252137994E-006
9117400000000000	164.4	0.029338097	0.9706414767	0.0001726965	9.11689252137994E-006
10029200000000000	164.4	0.0293572347	0.9706223395	0.0001726931	9.1167127720493E-006
11033700000000000	164.4	0.0293572347	0.9706223395	0.0001726931	9.11474116461589E-006
12136000000000000	164.4	0.0293572347	0.9706223395	0.0001726931	9.11474116461589E-006
13351700000000000	164.4	0.0293572347	0.9706223395	0.0001727128	9.11276955718249E-006
14680900000000000	164.4	0.0293572347	0.9706223395	0.0001727128	9.11276955718249E-006
16154000000000000	164.4	0.0293763716	0.970603203	0.0001727094	9.11061832412098E-006
17771400000000000	164.4	0.0293763716	0.970603203	0.0001727094	9.11061832412098E-006
19543600000000000	164.4	0.0293763716	0.970603203	0.0001727094	9.10864675555917E-006
21501100000000000	164.4	0.0293763716	0.970603203	0.0001727094	9.10667518699736E-006
