NH	T	H	H2	C	CO
36505720000	15.85	0.0012528588	0.99874714	2.26361614459338E-007	0.0001920376
182528600000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
766660200000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
3102886000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
6140691000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
10092640000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
15219070000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
21897420000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
30568290000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
41852410000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
56510770000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
75564650000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
100325700000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
132566000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
174418500000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
228886600000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
299675300000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
391590500000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
511240300000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
666635000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
733318500000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
806710000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
887311000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
976123000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1073345000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1181479000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1299627000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1428790000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1571969000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1729166000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
1902382000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
2092621000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
2301883000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
2532171000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
2784488000000000	15.85	0.0012528588	0.99874714	2.26298402615175E-007	0.0001920376
3063837000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
3370221000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
3706643000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
4077107000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
4484618000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
4933180000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
5426798000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
5969478000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
6566226000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
7223049000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
7945954000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
8739950000000000	15.86	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
9614040000000000	15.85	0.0012528588	0.99874714	2.26361614459481E-007	0.0001920376
10573250000000000	15.86	0.0012534901	0.9987465087	2.2636147137222E-007	0.0001920375
11634570000000000	15.86	0.0012534901	0.9987465087	2.2636147137222E-007	0.0001920375
12796030000000000	15.86	0.0012534901	0.9987465087	2.2636147137222E-007	0.0001920375
14077640000000000	15.86	0.0012534901	0.9987465087	2.2636147137222E-007	0.0001920375
15479400000000000	15.86	0.0012534901	0.9987465087	2.2636147137222E-007	0.0001920375
17031340000000000	15.86	0.0012534901	0.9987465087	2.26424683176569E-007	0.0001920375
18733480000000000	15.86	0.0012534901	0.9987465087	2.26424683176569E-007	0.0001920375
20605830000000000	15.86	0.0012534901	0.9987465087	2.26424683176569E-007	0.0001920375
22668410000000000	15.86	0.0012541214	0.9987458774	2.26424540049388E-007	0.0001920373
24941250000000000	15.86	0.0012541214	0.9987458774	2.26424540049388E-007	0.0001920373
27434380000000000	15.86	0.0012541214	0.9987458774	2.26424540049388E-007	0.0001920373
30177820000000000	15.86	0.0012541214	0.9987458774	2.26487751813779E-007	0.0001920373
33191600000000000	15.86	0.0012547527	0.9987452461	2.26487608646966E-007	0.0001920372
36505770000000000	15.87	0.0012547527	0.9987452461	2.26487608646966E-007	0.0001920372
40160350000000000	15.87	0.0012547527	0.9987452461	2.26487608646966E-007	0.0001920372
44175390000000000	15.87	0.0012547527	0.9987452461	2.265508203714E-007	0.0001920372
48590930000000000	15.87	0.0012553841	0.9987446147	2.2655067716481E-007	0.0001920371
53457030000000000	15.87	0.0012553841	0.9987446147	2.26613888849144E-007	0.0001920371
58803750000000000	15.87	0.0012560154	0.9987439834	2.26613745602921E-007	0.000192037
64681130000000000	15.88	0.0012560154	0.9987439834	2.26676957247297E-007	0.000192037
71149250000000000	15.88	0.0012560154	0.9987439834	2.26676957247297E-007	0.000192037
78258190000000000	15.88	0.0012566467	0.9987433521	2.26740025565718E-007	0.0001920369
86088000000000000	15.89	0.0012566467	0.9987433521	2.26803237170137E-007	0.0001920369
94698900000000000	15.89	0.001257278	0.9987427208	2.26866305368868E-007	0.0001920367
104130800000000000	15.89	0.001257278	0.9987427208	2.26866305368868E-007	0.0001920367
114543900000000000	15.9	0.0012579093	0.9987420894	0.000000227	0.0001920366
126058300000000000	15.9	0.0012579093	0.9987420894	2.27055796537019E-007	0.0001920366
138674100000000000	15.9	0.0012585407	0.9987414581	2.27182075980918E-007	0.0001920365
152491600000000000	15.92	0.0012585407	0.9987414581	2.2724528746561E-007	0.0001920365
167810800000000000	15.91	0.001259172	0.9987408268	2.27371566709906E-007	0.0001920364
184531900000000000	15.92	0.0012598033	0.9987401955	2.27497845794556E-007	0.0001920362
202955200000000000	15.93	0.0012598033	0.9987401955	2.27624268603967E-007	0.0001920362
223280800000000000	15.94	0.0012604346	0.9987395642	2.27750547449058E-007	0.0001920361
245608900000000000	15.95	0.0012604346	0.9987395642	2.27940181543376E-007	0.0001920993
270139900000000000	15.96	0.0012610659	0.9987389328	2.28066460108951E-007	0.0001920992
297173900000000000	15.97	0.0012610659	0.9987389328	2.28256094083398E-007	0.0001920992
326911400000000000	15.98	0.0012616972	0.9987383015	2.28445583654221E-007	0.0001920991
359652700000000000	16	0.0012616972	0.9987383015	2.28635217508798E-007	0.0001920991
395598000000000000	16.01	0.0012616972	0.9987383015	2.2882485136323E-007	0.0001920991
435147900000000000	16.03	0.0012616972	0.9987383015	0.000000229	0.0001920991
478602800000000000	16.04	0.0012616972	0.9987383015	2.29267330357144E-007	0.0001920991
526563200000000000	16.07	0.0012610659	0.9987389328	2.29457109254361E-007	0.0001920992
579129600000000000	16.08	0.0012610659	0.9987389328	2.29709954553525E-007	0.0001920992
637102600000000000	16.1	0.0012610659	0.9987389328	2.29836377203106E-007	0.0001920992
700782900000000000	16.13	0.0012604346	0.9987395642	2.30089367944661E-007	0.0001920993
770871200000000000	16.15	0.0012598033	0.9987401955	2.30279147601567E-007	0.0001920995
847968000000000000	16.18	0.001259172	0.9987408268	2.30468927498253E-007	0.0001921628
932775000000000000	16.2	0.0012585407	0.9987414581	2.30658707634863E-007	0.0001921629
1026292000000000000	16.23	0.001257278	0.9987427207	2.30722210805278E-007	0.0001921632
1128421000000000000	16.26	0.0012566467	0.9987433521	2.3084877985732E-007	0.0001921633
1241563000000000000	16.3	0.0012553841	0.9987446147	0.000000231	0.0001921635
1365719000000000000	16.33	0.0012541214	0.9987458774	0.000000231	0.0001921638
1501890000000000000	16.37	0.0012522274	0.9987477713	2.31102648860828E-007	0.0001921641
1652077000000000000	16.41	0.0012509648	0.998749034	2.31166152993759E-007	0.0001921644
1817284000000000000	16.45	0.0012490708	0.998750928	2.31103379284539E-007	0.0001921647
1999510000000000000	16.5	0.0012471768	0.998752822	2.31103817541011E-007	0.0001922283
2199759000000000000	16.54	0.0012446514	0.9987553473	0.000000231	0.0001922288
2419032000000000000	16.6	0.0012427574	0.9987572413	0.000000231	0.0001922292
2661332000000000000	16.65	0.0012402321	0.9987597667	2.30915786565342E-007	0.0001922296
2927662000000000000	16.71	0.0012370753	0.9987629234	2.30790090720859E-007	0.0001922303
3220023000000000000	16.77	0.00123455	0.9987654488	2.30664248271923E-007	0.0001922307
3542420000000000000	16.83	0.0012313932	0.9987686056	2.30475337714568E-007	0.0001922946
3895855000000000000	16.9	0.0012282364	0.9987717623	2.30349639365579E-007	0.0001922952
4286332000000000000	16.98	0.0012250796	0.9987749191	2.30097513017051E-007	0.0001922958
4714855000000000000	17.05	0.0012219228	0.998778076	2.29845385074883E-007	0.0001922964
5186430000000000000	17.13	0.0012181346	0.9987818642	2.29656614716125E-007	0.0001922971
5704059000000000000	17.22	0.0012143464	0.9987856524	2.2934141436167E-007	0.0001923611
6274750000000000000	17.31	0.0012105581	0.9987894407	0.000000229	0.0001923618
6902507000000000000	17.41	0.0012061384	0.9987938603	2.28647936257856E-007	0.0001923626
7592336000000000000	17.51	0.0012023501	0.9987976487	2.283327282919E-007	0.0001923634
8352250000000000000	17.61	0.0011979303	0.9988020684	0.000000228	0.0001924274
9187240000000000000	17.73	0.0011935105	0.9988064882	2.27639377472854E-007	0.0001924283
10102330000000000000	17.84	0.0011884593	0.9988115395	2.27324449106235E-007	0.0001924293
11113530000000000000	17.97	0.0011840394	0.9988159593	2.26946157847494E-007	0.0001924301
12224840000000000000	18.1	0.0011789881	0.9988210107	2.26568006469221E-007	0.0001924943
13446280000000000000	18.24	0.0011739367	0.998826062	2.2625306810529E-007	0.0001924953
14797850000000000000	18.38	0.0011688853	0.9988311135	2.25874909396756E-007	0.0001924962
16279570000000000000	18.54	0.0011638338	0.998836165	2.2555996434202E-007	0.0001925604
17901460000000000000	18.7	0.0011581508	0.998841848	2.25245158496693E-007	0.0001925615
19693520000000000000	18.87	0.0011530992	0.9988468995	2.24930206872138E-007	0.0001925625
21665780000000000000	19.04	0.0011474161	0.9988525826	2.24678612578185E-007	0.0001926268
23828250000000000000	19.23	0.0011417329	0.9988582658	2.2442701542124E-007	0.0001926279
26210960000000000000	19.42	0.0011360497	0.9988639491	2.24175415401256E-007	0.0001926922
28833920000000000000	19.62	0.0011297349	0.9988702638	0.000000224	0.0001926935
