# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	3.1213e-9
2	1.1466e-8
3	8.8037e-9
4	2.032e-9
5	3.2491e-10
6	7.5229e-11
7	2.8023e-11
8	1.3048e-11
9	6.1153e-12
10	3.0406e-12
11	1.5429e-12
12	7.6209e-13
13	3.7379e-13
14	1.7952e-13
15	7.7759e-14
16	4.0068e-14
17	1.8514e-14
18	8.6922e-15
19	4.2329e-15
20	2.3461e-15
21	1.4959e-15
22	1.0318e-15
23	7.2335e-16
24	5.0335e-16
25	3.4634e-16
26	2.3375e-16
27	1.5486e-16
28	1.0007e-16
29	6.3836e-17
30	3.9047e-17
31	2.2728e-17
32	1.2613e-17
33	5.7546e-18
34	1.7746e-18
35	5.0444e-19
36	1.4008e-19
37	0.
38	0.
39	0.
40	0.
41	0.
42	0.
43	0.
44	0.
45	0.
46	0.
47	0.
48	0.
49	0.
