# N(H) (cm^-2)	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	371.29962188157623	0.9998625967256958	1.7276003215001198e-8	5.5827237464008705e-12	6.3560582548626e-19	0.
9.998626341466792e8	371.3295360220445	0.9998625950804484	1.7275840819233704e-8	5.58432718634505e-12	6.377347981504232e-19	8.019968115140474e-13
2.9995878974661756e9	371.32105349781546	0.9998625966134412	1.727650570389504e-8	5.584368784602506e-12	6.3836981683244e-19	2.4059904305525724e-12
6.999038423919294e9	371.3187045505129	0.9998625970393386	1.727654736478247e-8	5.584380207520842e-12	6.389031397151135e-19	5.6139776684805325e-12
1.4997939477848894e10	371.31706469587755	0.9998625973366678	1.7276576235016898e-8	5.584388182341385e-12	6.3941943274414585e-19	1.2029952145157298e-11
3.0995741587134502e10	371.3168085628451	0.9998625973831082	1.7276580802480634e-8	5.584389429190113e-12	6.399485121164033e-19	2.4861901099654957e-11
6.299134580761739e10	371.31731726332896	0.9998625972908693	1.7276572264449998e-8	5.584386958355669e-12	6.405038417312387e-19	5.052579901018366e-11
1.2698255424774031e11	371.3171649553714	0.9998625973184885	1.7276574573466597e-8	5.584387703867938e-12	6.410936223528678e-19	1.0185359483056497e-10
2.549649711246418e11	371.317226129785	0.9998625973073939	1.7276573797714645e-8	5.5843874168798784e-12	6.417237365128652e-19	2.045091864686451e-10
5.109298048807965e11	371.31726699905295	0.9998625972999824	1.7276573225118507e-8	5.584387238794955e-12	6.423989612048049e-19	4.098203697466917e-10
1.0228594723911675e12	371.31724885808006	0.9998625973032695	1.727657382402e-8	5.584387368311907e-12	6.431236044005708e-19	8.2044273630123e-10
2.046718807412929e12	371.3172494053195	0.999862597303164	1.72765745547725e-8	5.584387448372374e-12	6.439018022814426e-19	1.6416874694111242e-9
4.094437477455318e12	371.3172454604521	0.999862597303874	1.7276575385295157e-8	5.584387632516637e-12	6.447376795082858e-19	3.2841769356300033e-9
8.189874817540676e12	371.31725096409485	0.9998625973028614	1.7276577163199404e-8	5.584387935915508e-12	6.456354343309419e-19	6.569155868068227e-9
1.6380749497707697e13	371.31725573136845	0.9998625973019719	1.7276580451713196e-8	5.584388572801957e-12	6.465994005087144e-19	1.313911373294171e-8
3.276249885801821e13	371.3172687963093	0.9998625972995508	1.72765871271192e-8	5.584389829524564e-12	6.476341081819086e-19	2.6279029462669807e-8
6.552599757855154e13	371.3172958450279	0.9998625972945453	1.7276600155800727e-8	5.584392338303329e-12	6.487443562573464e-19	5.255886092205565e-8
1.3105299501928173e14	371.3173479258649	0.9998625972849136	1.7276624799751107e-8	5.584397364711909e-12	6.499353354896715e-19	1.0511852384055745e-7
2.6210698989940606e14	371.3174514989351	0.999862597265778	1.727667193143181e-8	5.5844074189873434e-12	6.5121284873024e-19	2.1023784967648942e-7
5.242149796543161e14	371.3176587250627	0.9998625972275239	1.7276762831991776e-8	5.5844275250541586e-12	6.525837197811227e-19	4.2047650134407117e-7
1.0484309591428978e15	371.31807175530605	0.9998625971513456	1.727693715029006e-8	5.584467739613502e-12	6.540565648756367e-19	8.409538046621992e-7
2.0968629180355135e15	371.3188954319166	0.9998625969995603	1.7277271368986772e-8	5.584548172641938e-12	6.556432578093173e-19	1.681908411230639e-6
4.193726835485049e15	371.32053556958095	0.9998625966975939	1.7277909106598754e-8	5.584709060835531e-12	6.5736170842511135e-19	3.3638176240982553e-6
8.38745466904904e15	371.3237018537347	0.9998625961147725	1.7279127586047286e-8	5.58501972024079e-12	6.592400898392844e-19	6.727636048762609e-6
1.6774910331009566e16	371.3299444603169	0.9998625949664204	1.7281454948173677e-8	5.585632750577842e-12	6.6132806518843245e-19	0.000013455272893946467
3.3549821634600704e16	371.34167599387814	0.9998625928077817	1.7285888328165274e-8	5.586781763738837e-12	6.637076719879063e-19	0.00002691054656800741
6.709964416549258e16	371.36394300914577	0.9998625887110777	1.72942656071693e-8	5.588965170803725e-12	6.665301374811194e-19	0.00005382109385493624
1.3419928893873032e17	371.405838421759	0.9998625810040789	1.7309982525420988e-8	5.593084909108893e-12	6.700631263097987e-19	0.00010764218819734913
2.6839857739565878e17	371.483419847484	0.9998625667290872	1.7339551987283618e-8	5.6007020529504476e-12	6.747736566644938e-19	0.00021528437600824163
5.367971502804676e17	371.62485252390275	0.9998625406978269	1.7394725198127858e-8	5.614593236384368e-12	6.81480545052363e-19	0.00043056874839829894
1.0735942813636745e18	371.88175560079054	0.9998624934097438	1.7496990317007392e-8	5.639902208617297e-12	6.916399968628599e-19	0.0008611374813983408
2.1471884901378785e18	372.3440375402118	0.9998624083229316	1.7685735507051017e-8	5.685694636332207e-12	7.078264294559364e-19	0.0017222749045721596
4.2943767155506755e18	373.15811190429554	0.9998622585041937	1.8032705414910247e-8	5.767143498316151e-12	7.346350573595476e-19	0.00344454959680648
8.588752489300934e18	374.5824473638754	0.9998619964398698	1.8684225649767354e-8	5.912650228510168e-12	7.813216338319488e-19	0.006889098438188258
1.5514895178197088e19	376.62068430962444	0.9998616216244011	1.9707708004356743e-8	6.1269726226566535e-12	8.517774013898184e-19	0.012444605927801246
2.244103526312374e19	378.471866180429	0.9998612815350125	2.0713887010885783e-8	6.325488721566663e-12	9.199216821717075e-19	0.018000111328752084
2.9367173022666682e19	380.1729445248649	0.9998609694182566	2.1694220563530146e-8	6.514692793507938e-12	9.876330756522154e-19	0.023555614864496383
3.6293308644596556e19	381.84072038960215	0.9998606642403415	2.266042044350354e-8	6.708174067833367e-12	1.0571454575133276e-18	0.029111116685646293
4.3219442170597335e19	383.3260824413363	0.9998603921241691	2.3627341646934678e-8	6.8840439395712094e-12	1.1260742349378473e-18	0.03466661682563682
5.0145573835298234e19	384.8232958376408	0.9998601186613414	2.4589763713030063e-8	7.069094504025462e-12	1.1980578779858416e-18	0.040222115472665694
5.707170362043229e19	386.2710483530285	0.9998598545099895	2.555979938497692e-8	7.2534613830146415e-12	1.2720710846261291e-18	0.045777612612080854
6.399783159306682e19	387.5925736871877	0.9998596130394843	2.6539860691843806e-8	7.425081803915309e-12	1.3465207811706833e-18	0.051333108297677475
7.092395791310529e19	388.92918839794356	0.999859369433173	2.75253204529616e-8	7.605448360970179e-12	1.4245924361996058e-18	0.05688860265771523
7.785008255977857e19	390.28702836068845	0.9998591225649421	2.8523068235113822e-8	7.795222356419737e-12	1.5066657057305512e-18	0.06244409567553507
8.477620551046678e19	391.5771406384177	0.9998588879022298	2.9537394514615434e-8	7.97977096447708e-12	1.5906625427835865e-18	0.06799958733299342
9.170232685316224e19	392.7416617282653	0.9998586754230576	3.05682106741822e-8	8.148640226678274e-12	1.6748837107606622e-18	0.07355507770066955
9.862844674360713e19	393.91749273878395	0.9998584613177758	3.161006084931243e-8	8.325177632901708e-12	1.7631862955283543e-18	0.07911056690348534
1.0555456516536731e20	395.10982728672815	0.9998582446331613	3.2669192373203955e-8	8.509893550512847e-12	1.855907961148196e-18	0.08466605492825884
1.1248068210070828e20	396.319448139456	0.9998580252449573	3.374653373010012e-8	8.703373569196137e-12	1.9534030498003167e-18	0.0902215417607651
