# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.472646557100754e-6	0.00001006653777797383
0.	116.564	1.360617594886982e-21	2.8127750143360227e-25	1.0266162682704069e-22	-1.718239705651784e-24	-7.920642112255083e-22	-6.94998333180078e-22	0.	-3.1691790159397636e-30
9.998626341466792e8	116.55594645297526	1.3606677843169815e-21	2.8127940758388126e-25	1.026603549742587e-22	-1.718349102596727e-24	-7.919819777331296e-22	-6.95001918802966e-22	0.	-3.1700977086259945e-30
2.9995878974661756e9	116.55594645226003	1.36068795030637e-21	2.812870379572486e-25	1.0266430570393608e-22	-1.7183265824532697e-24	-7.920096294643667e-22	-6.949994004290008e-22	0.	-3.170115382307889e-30
6.999038423919294e9	116.55594992440939	1.3606935274382212e-21	2.812868314623115e-25	1.026645531016459e-22	-1.7183053044424297e-24	-7.920162468872925e-22	-6.949987030296464e-22	0.	-3.170120221706359e-30
1.4997939477848894e10	116.55594992154838	1.3606974210048615e-21	2.8128668381591545e-25	1.0266472449702292e-22	-1.7182904263963608e-24	-7.920208604595868e-22	-6.949982161511814e-22	0.	-3.170123600310827e-30
3.0995741587134502e10	116.55594296830893	1.360698029212477e-21	2.8128666171240493e-25	1.0266475147465105e-22	-1.7182881062375886e-24	-7.9202158188349335e-22	-6.949981400963687e-22	0.	-3.1701241287272045e-30
6.299134580761739e10	116.5559499040246	1.3606968215443717e-21	2.812867143122343e-25	1.0266470053686031e-22	-1.7182927611935355e-24	-7.920201534382972e-22	-6.949982911143944e-22	0.	-3.170123082375694e-30
1.2698255424774031e11	116.55594640702009	1.3606971834108641e-21	2.812866944771204e-25	1.0266471394519093e-22	-1.718291334733568e-24	-7.920205788617814e-22	-6.949982458623671e-22	0.	-3.170123398912314e-30
2.549649711246418e11	116.55594636034965	1.3606970386911557e-21	2.812867049074172e-25	1.0266470882977532e-22	-1.718291912467809e-24	-7.920204091257596e-22	-6.949982639639004e-22	0.	-3.1701232788411706e-30
5.109298048807965e11	116.55594626700878	1.3606969426892814e-21	2.8128671088865876e-25	1.0266470454304328e-22	-1.7182922829965638e-24	-7.920202951414519e-22	-6.949982759790686e-22	0.	-3.1701232063704785e-30
