# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4725993714201345e-6	9.833298702938061e-6
0.	116.313	3.291004233907303e-17	4.568767385077965e-18	2.914712827785296e-18	-2.175937834909753e-18	-3.833244256823248e-17	-5.286794426137164e-19	0.	-9.484058378847601e-26
3.162243014816688e11	116.26674479350633	3.29100594588249e-17	4.5687610621257165e-18	2.9147387250326894e-18	-2.175912801476132e-18	-3.833239841428341e-17	-5.286793653546351e-19	0.	-9.498324998509717e-26
9.486729097174691e11	116.26674307516217	3.2909465108557724e-17	4.569342217156481e-18	2.9150815088504063e-18	-2.1761006230790457e-18	-3.833261529198093e-17	-5.286797275474019e-19	0.	-9.498271092912875e-26
2.2135701260796484e12	116.2667464602636	3.2909464932299975e-17	4.569342485617898e-18	2.9150814834332752e-18	-2.1761006669729532e-18	-3.833261531393862e-17	-5.286797276382068e-19	0.	-9.498271215090745e-26
4.743364558802885e12	116.26674630041327	3.290946467777228e-17	4.569342920756663e-18	2.915081384530713e-18	-2.176100724641823e-18	-3.833261532533979e-17	-5.286797277663315e-19	0.	-9.498271467850658e-26
9.80295342424441e12	116.26674587244912	3.290946409867935e-17	4.569343848453055e-18	2.9150812427387163e-18	-2.1761008636276715e-18	-3.833261537957173e-17	-5.286797280718138e-19	0.	-9.498271965932305e-26
1.9922131155108215e13	116.26673830299453	3.290946297536304e-17	4.569345648534873e-18	2.9150809688651307e-18	-2.1761011334202824e-18	-3.833261548650322e-17	-5.28679728669515e-19	0.	-9.498272963027197e-26
4.0160486616758836e13	116.2667369159283	3.2909460713292714e-17	4.569349222251315e-18	2.915080488318873e-18	-2.176101683396925e-18	-3.833261572789057e-17	-5.286797298853968e-19	0.	-9.498274951307563e-26
8.0637197539774e13	116.26672038995287	3.29094565059262e-17	4.5693559775146435e-18	2.915079459828726e-18	-2.176102694090656e-18	-3.833261613831546e-17	-5.28679732141187e-19	0.	-9.498278947534459e-26
1.615906193846827e14	116.26669415979181	3.290944819376541e-17	4.569369223462549e-18	2.9150775736747935e-18	-2.176104704668674e-18	-3.8332617007729615e-17	-5.286797366191472e-19	0.	-9.498286931034393e-26
3.234974630702062e14	116.2666418077331	3.290943221686094e-17	4.569394751790124e-18	2.9150738889380365e-18	-2.176108564476439e-18	-3.83326186815812e-17	-5.2867974523242195e-19	0.	-9.498302920017338e-26
6.47311150424783e14	116.2665371036157	3.2909401391147096e-17	4.5694440368857714e-18	2.915066796839873e-18	-2.1761160145309818e-18	-3.833262195900508e-17	-5.28679761868288e-19	0.	-9.498334926096964e-26
1.2949385250708852e15	116.26633462543413	3.290934201795176e-17	4.569539018735511e-18	2.9150531753952476e-18	-2.176130370254643e-18	-3.8332628362785233e-17	-5.286797939356785e-19	0.	-9.498398994596708e-26
2.590193274122564e15	116.2659153759107	3.290922798917562e-17	4.5697215778451954e-18	2.915027025362716e-18	-2.1761579468423603e-18	-3.833264080301772e-17	-5.286798555470394e-19	0.	-9.498527253787152e-26
5.180702771310076e15	116.26509160307795	3.290900920508426e-17	4.5700718516010726e-18	2.914977171828268e-18	-2.176210894789408e-18	-3.8332664990797617e-17	-5.286799737865461e-19	0.	-9.498783989318777e-26
1.0361721762216586e16	116.26342933119834	3.290859127485907e-17	4.57074112018122e-18	2.91488217750944e-18	-2.1763120703532325e-18	-3.833271153580176e-17	-5.286801995482266e-19	0.	-9.499297965732249e-26
2.0723759730955948e16	116.26011171749234	3.290779550413704e-17	4.5720149335100855e-18	2.9147023107828113e-18	-2.1765048110095197e-18	-3.833280053844307e-17	-5.286806289151366e-19	0.	-9.500326955193088e-26
4.144783561950785e16	116.25348342013359	3.2906288031757705e-17	4.574425840870072e-18	2.914363484976438e-18	-2.176870047585238e-18	-3.83329685975945e-17	-5.286814403605117e-19	0.	-9.502387351246879e-26
8.289598721513173e16	116.24044416764379	3.290344998225706e-17	4.578957937333763e-18	2.913729777945877e-18	-2.177558142061111e-18	-3.833328129323608e-17	-5.286829627788133e-19	0.	-9.506344591346623e-26
1.6579228973214458e17	116.21506291000546	3.289814738485879e-17	4.587404911411932e-18	2.9125537264246246e-18	-2.178844241439051e-18	-3.8333850366713845e-17	-5.286857907356583e-19	0.	-9.513917410740278e-26
3.315848922896823e17	116.16840606576204	3.288832310081433e-17	4.6029953153957175e-18	2.9103921039747204e-18	-2.1812268371931687e-18	-3.8334858115208195e-17	-5.286909828458765e-19	0.	-9.528416151343259e-26
6.631700884572402e17	116.08151798820495	3.287031263200794e-17	4.63144394922054e-18	2.9064435425101736e-18	-2.1855917465504275e-18	-3.833657685893583e-17	-5.287003784990983e-19	0.	-9.555173148559824e-26
1.3263404485093356e18	115.9227167305574	3.283751457429542e-17	4.6829058969529166e-18	2.899316684806777e-18	-2.193531240326711e-18	-3.8339417591916086e-17	-5.287171835978237e-19	0.	-9.604657683295332e-26
2.6526810536066396e18	115.63918357771635	3.277804840829174e-17	4.7755283208215395e-18	2.886525266121121e-18	-2.207914663666934e-18	-3.8344008005037815e-17	-5.287469822881125e-19	0.	-9.693299517724625e-26
5.30536184991546e18	115.13986902445554	3.266972995499298e-17	4.943232332981929e-18	2.8634779684971654e-18	-2.2341340181388256e-18	-3.835162056690794e-17	-5.2879994753450905e-19	0.	-9.852384706790699e-26
1.0610721924616501e19	114.2680381410122	3.2468410443752154e-17	5.254777162096215e-18	2.8211467448040304e-18	-2.2831869014930376e-18	-3.836602107562791e-17	-5.288963585786338e-19	0.	-1.0137910171237509e-25
2.1221436153919295e19	112.80090441679954	3.207537784871467e-17	5.871198130095258e-18	2.7392824893765317e-18	-2.3813248274274e-18	-3.840167796960035e-17	-5.290838642200729e-19	0.	-1.0641666936189776e-25
4.2442836398355735e19	110.3420829142332	3.119842737825652e-17	7.31817616327542e-18	2.5537696035596483e-18	-2.620846536863734e-18	-3.853490469227063e-17	-5.295254208976683e-19	0.	-1.1571771078610712e-25
8.488531215440101e19	106.26742259541155	3.248773972307061e-17	9.681873549072532e-18	1.7505386067813035e-18	-4.1788289866652e-18	-3.964506252232189e-17	-5.316541240276506e-19	-3.577240911865168e-23	-2.0026452581900769e-25
1.0504464248585085e20	104.6060627937317	3.674259565499677e-17	6.174405767790181e-18	1.654687295055615e-18	-4.544962041197829e-18	-3.97343980764515e-17	-5.319216694118211e-19	-1.229562063562494e-22	-3.3508560929725774e-25
1.319228019286375e20	102.48488456022739	4.322069134056554e-17	-9.436747320459099e-19	1.803878161063653e-18	-4.141071935497939e-18	-3.9304406282139624e-17	-5.314167984556015e-19	-3.761221246365054e-22	-7.265662251868887e-25
1.6776026557759898e20	99.90996833086014	4.493716691880107e-17	-4.1715776397564534e-18	2.0841010380122675e-18	-3.526254042758421e-18	-3.8613371535342e-17	-5.3053288570991945e-19	-5.748836489468963e-22	-1.0827843187071152e-24
2.3943631251394006e20	95.31524974530936	4.384614928802536e-17	-6.6449133365931214e-18	2.8294378097045773e-18	-2.4466315286509267e-18	-3.6973102886181965e-17	-5.2822589688443295e-19	-9.305703368069229e-22	-1.999547934753213e-24
3.4110779562292235e20	89.65255445083974	4.039762531034007e-17	-8.164213339940717e-18	4.0374487457139764e-18	-1.5193259959390015e-18	-3.440208260675599e-17	-5.242353508640682e-19	-1.5977863599071673e-21	-4.820273860291899e-24
