# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	1.8776e-13
2	1.3962e-12
3	2.1101e-12
4	1.9994e-12
5	1.6249e-12
6	1.2757e-12
7	9.116e-13
8	6.5603e-13
9	4.5053e-13
10	3.7146e-13
11	3.7613e-13
12	4.1868e-13
13	4.6626e-13
14	5.042e-13
15	5.2643e-13
16	5.3148e-13
17	5.1913e-13
18	4.9168e-13
19	4.5258e-13
20	4.0556e-13
21	3.5411e-13
22	3.0229e-13
23	2.5223e-13
24	2.0598e-13
25	1.6471e-13
26	1.2909e-13
27	9.9206e-14
28	7.484e-14
29	5.5427e-14
30	4.0307e-14
31	2.8793e-14
32	2.0207e-14
33	1.3941e-14
34	9.4508e-15
35	6.2979e-15
36	4.1249e-15
37	2.6568e-15
38	1.6803e-15
39	1.0449e-15
40	6.3304e-16
41	3.7683e-16
42	2.2e-16
43	1.2033e-16
44	6.4641e-17
45	3.1004e-17
46	9.6456e-18
47	3.005e-18
48	7.7246e-19
49	0.
