     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   5.61282370E+16  1.07439386E+002  9.99782358E+002  1.01737425E-001  1.50121780E-004  3.09409872E-008
   7.24612424E+16  1.07435197E+002  9.99781964E+002  1.01934939E-001  1.50139979E-004  3.09426399E-008
   9.35470617E+16  1.07429790E+002  9.99781453E+002  1.02191013E-001  1.50163472E-004  3.09447749E-008
   1.30965887E+17  1.07420197E+002  9.99780541E+002  1.02648324E-001  1.50205155E-004  3.09485663E-008
   1.87094124E+17  1.07405819E+002  9.99779159E+002  1.03341172E-001  1.50267674E-004  3.09542791E-008
   2.25842586E+17  1.07395905E+002  9.99778195E+002  1.03824355E-001  1.50310835E-004  3.09582469E-008
   2.64591048E+17  1.07385993E+002  9.99777224E+002  1.04311562E-001  1.50353991E-004  3.09622383E-008
   3.19389649E+17  1.07371985E+002  9.99775835E+002  1.05007550E-001  1.50415015E-004  3.09679239E-008
   3.74188250E+17  1.07357990E+002  9.99774430E+002  1.05711838E-001  1.50476034E-004  3.09736549E-008
   4.67735314E+17  1.07334123E+002  9.99771993E+002  1.06933710E-001  1.50580185E-004  3.09835546E-008
   5.61282379E+17  1.07310295E+002  9.99769505E+002  1.08180858E-001  1.50684324E-004  3.09935920E-008
   6.42947409E+17  1.07289523E+002  9.99767291E+002  1.09290835E-001  1.50775224E-004  3.10024712E-008
   7.24612440E+17  1.07268776E+002  9.99765036E+002  1.10421166E-001  1.50866109E-004  3.10114636E-008
   9.35470644E+17  1.07215314E+002  9.99759016E+002  1.13437945E-001  1.51100683E-004  3.10352186E-008
   1.30965892E+18  1.07120850E+002  9.99747582E+002  1.19167816E-001  1.51516739E-004  3.10793063E-008
   1.87094135E+18  1.06980129E+002  9.99728362E+002  1.28797466E-001  1.52140196E-004  3.11505466E-008
   2.64591070E+18  1.06787723E+002  9.99696739E+002  1.44636193E-001  1.52999787E-004  3.12621325E-008
   3.74188294E+18  1.06521418E+002  9.99637923E+002  1.74083553E-001  1.54218323E-004  3.14901681E-008
   4.67735383E+18  1.06298424E+002  9.99570944E+002  2.07608291E-001  1.55260468E-004  3.17577626E-008
   5.61282479E+18  1.06077895E+002  9.99483896E+002  2.51169997E-001  1.56299921E-004  3.20893093E-008
   6.42947542E+18  1.05888338E+002  9.99384755E+002  3.00775987E-001  1.57202660E-004  3.24547673E-008
   7.24612611E+18  1.05702962E+002  9.99255375E+002  3.65504883E-001  1.58097715E-004  3.29270879E-008
   8.30041772E+18  1.05469911E+002  9.99026045E+002  4.80227649E-001  1.59234845E-004  3.37684628E-008
   9.35470946E+18  1.05244654E+002  9.98688053E+002  6.49293903E-001  1.60338134E-004  3.50532650E-008
   1.02901809E+19  1.05050534E+002  9.98238200E+002  8.74300537E-001  1.61272337E-004  3.68812681E-008
   1.09917846E+19  1.04909981E+002  9.97742317E+002  1.12231999E+000  1.61930046E-004  3.90676296E-008
   1.13425865E+19  1.04841364E+002  9.97418004E+002  1.28452408E+000  1.62238790E-004  4.05797051E-008
   1.16933884E+19  1.04774078E+002  9.97020713E+002  1.48322565E+000  1.62529272E-004  4.25088335E-008
   1.20441904E+19  1.04707801E+002  9.96529667E+002  1.72881446E+000  1.62796269E-004  4.49857264E-008
   1.23949924E+19  1.04642745E+002  9.95913325E+002  2.03706460E+000  1.63033687E-004  4.82153899E-008
   1.27457945E+19  1.04579066E+002  9.95132094E+002  2.42777560E+000  1.63233474E-004  5.24559097E-008
   1.30965967E+19  1.04516465E+002  9.94145320E+002  2.92127748E+000  1.63388713E-004  5.79788842E-008
   1.34473989E+19  1.04455717E+002  9.92891928E+002  3.54811153E+000  1.63490577E-004  6.51782070E-008
   1.37982013E+19  1.04397163E+002  9.91296975E+002  4.34575380E+000  1.63529872E-004  7.45161046E-008
