# J_up  J_(erg_cm-2_s-1_ster-1)
01     2.65748E-07
02     1.82253E-06
03     5.94718E-06
04     1.45589E-05
05     2.66103E-05
06     3.19078E-05
07     2.28435E-05
08     1.10328E-05
09    4.02529E-06
10    1.20096E-06
11    3.02472E-07
12    6.47174E-08
13    1.19082E-08
14    2.04562E-09
15    5.06641E-10
16    3.09426E-10
17    2.90790E-10
18    2.90577E-10
19    2.90360E-10
20    2.88238E-10
21    2.83915E-10
22    2.77234E-10
23    2.73631E-10
24    2.68309E-10
25    2.65917E-10
26    2.62143E-10
27    2.56835E-10
28    2.49949E-10
29    2.41439E-10
30    2.31264E-10
