     NH               Temp.Gaz         Td.01            Td.02            Td.03            Td.04            Td.05            Td.06            Td.07            Td.08            Td.09            Td.10            Td.11            Td.12            Ionisation       Pd.h2            Pd.co            FH2chi           DH2chi           FH2grain         DH2phot          FH2.ElRi         Cho.Ph.Gr        Cho.H2.Gr        Cho.photons      Cho.RC           Cho.ph.sec       Cho.eq.chi       Cho.total        Ref.C.tot        Ref.O.tot        Ref.S.tot        Ref.C+.tot       Ref.CO.tot       Ref.C*O.tot      Ref.H2O.tot      Ref.CS.tot       Ref.total        Cho.casc.H2      Ref.casc.H2      Cho.gas.gr       Ref.gas.gr    
   8.14603133E+14  1.27000956E+003  7.50008777E+001  7.59080167E+001  7.76060269E+001  8.02312388E+001  8.39679082E+001  8.91633394E+001  9.61544127E+001  1.05172543E+002  1.15272791E+002  1.22540472E+002  1.22180981E+002  1.20634142E+002  1.02487618E-004  1.56791708E-005  1.15908024E-005  3.31516258E-008  3.59001573E-008  1.59321789E-020  1.38258424E-005  1.38285903E-005  3.56325669E-017  1.57182625E-017  7.29130690E-018  1.88322198E-022  1.53030973E-033  4.17188540E-019  7.20727736E-017  1.14007228E-024  4.04694630E-017  1.79388316E-023  5.18563711E-019  8.89584496E-025  9.47606468E-027  1.07469842E-031  3.88256617E-039  7.20786416E-017  1.30132604E-017  0.00000000E+000  0.00000000E+000  2.50244292E-017
   1.15202280E+15  1.27004136E+003  7.50008437E+001  7.59079823E+001  7.76059918E+001  8.02312026E+001  8.39678704E+001  8.91632995E+001  9.61543699E+001  1.05172496E+002  1.15272739E+002  1.22540412E+002  1.22180919E+002  1.20634081E+002  1.02487642E-004  1.56789638E-005  1.15907559E-005  3.31515407E-008  3.59000720E-008  1.59322440E-020  1.38257148E-005  1.38284628E-005  3.56319270E-017  1.57181782E-017  7.29128173E-018  1.88322198E-022  1.53030946E-033  4.17184577E-019  7.20739721E-017  1.14025109E-024  4.04696000E-017  1.79428709E-023  5.18564038E-019  8.89706446E-025  9.47734665E-027  1.07265600E-031  3.88520145E-039  7.20798397E-017  1.30152123E-017  0.00000000E+000  0.00000000E+000  2.50254325E-017
   1.62920627E+15  1.27004288E+003  7.50007955E+001  7.59079336E+001  7.76059421E+001  8.02311513E+001  8.39678170E+001  8.91632431E+001  9.61543093E+001  1.05172429E+002  1.15272664E+002  1.22540327E+002  1.22180832E+002  1.20633995E+002  1.02487651E-004  1.56788872E-005  1.15906860E-005  3.31516729E-008  3.59002108E-008  1.59323361E-020  1.38257066E-005  1.38284546E-005  3.56319370E-017  1.57181717E-017  7.29128016E-018  1.88322198E-022  1.53032417E-033  4.17184637E-019  7.20740300E-017  1.14025735E-024  4.04696052E-017  1.79429673E-023  5.18564053E-019  8.89716803E-025  9.47745598E-027  1.07268856E-031  3.88525866E-039  7.20798974E-017  1.30152682E-017  0.00000000E+000  0.00000000E+000  2.50254823E-017
   2.44380940E+15  1.27004570E+003  7.50007133E+001  7.59078505E+001  7.76058573E+001  8.02310639E+001  8.39677259E+001  8.91631467E+001  9.61542058E+001  1.05172316E+002  1.15272537E+002  1.22540183E+002  1.22180682E+002  1.20633848E+002  1.02487667E-004  1.56787556E-005  1.15905669E-005  3.31519063E-008  3.59004583E-008  1.59324933E-020  1.38256954E-005  1.38284434E-005  3.56319494E-017  1.57181644E-017  7.29127804E-018  1.88322198E-022  1.53035001E-033  4.17184721E-019  7.20741365E-017  1.14026859E-024  4.04696149E-017  1.79431451E-023  5.18564081E-019  8.89734897E-025  9.47764690E-027  1.07273778E-031  3.88536436E-039  7.20800039E-017  1.30153716E-017  0.00000000E+000  0.00000000E+000  2.50255739E-017
   3.15494437E+15  1.27004815E+003  7.50006416E+001  7.59077779E+001  7.76057833E+001  8.02309875E+001  8.39676463E+001  8.91630626E+001  9.61541155E+001  1.05172217E+002  1.15272426E+002  1.22540056E+002  1.22180552E+002  1.20633720E+002  1.02487681E-004  1.56786407E-005  1.15904629E-005  3.31521098E-008  3.59006740E-008  1.59326305E-020  1.38256855E-005  1.38284335E-005  3.56319604E-017  1.57181579E-017  7.29127618E-018  1.88322198E-022  1.53037255E-033  4.17184796E-019  7.20742294E-017  1.14027839E-024  4.04696234E-017  1.79433001E-023  5.18564107E-019  8.89750684E-025  9.47781349E-027  1.07278085E-031  3.88545651E-039  7.20800966E-017  1.30154618E-017  0.00000000E+000  0.00000000E+000  2.50256537E-017
   4.07301566E+15  1.27005132E+003  7.50005490E+001  7.59076843E+001  7.76056877E+001  8.02308890E+001  8.39675435E+001  8.91629540E+001  9.61539989E+001  1.05172089E+002  1.15272283E+002  1.22539893E+002  1.22180384E+002  1.20633554E+002  1.02487699E-004  1.56784924E-005  1.15903286E-005  3.31523726E-008  3.59009528E-008  1.59328077E-020  1.38256729E-005  1.38284209E-005  3.56319745E-017  1.57181495E-017  7.29127378E-018  1.88322198E-022  1.53040166E-033  4.17184891E-019  7.20743493E-017  1.14029105E-024  4.04696344E-017  1.79435005E-023  5.18564139E-019  8.89771072E-025  9.47802863E-027  1.07283638E-031  3.88557557E-039  7.20802165E-017  1.30155783E-017  0.00000000E+000  0.00000000E+000  2.50257569E-017
   5.70222193E+15  1.27005695E+003  7.50003846E+001  7.59075181E+001  7.76055180E+001  8.02307141E+001  8.39673612E+001  8.91627613E+001  9.61537919E+001  1.05171863E+002  1.15272028E+002  1.22539604E+002  1.22180085E+002  1.20633261E+002  1.02487731E-004  1.56782293E-005  1.15900904E-005  3.31528393E-008  3.59014476E-008  1.59331221E-020  1.38256505E-005  1.38283985E-005  3.56319994E-017  1.57181348E-017  7.29126955E-018  1.88322198E-022  1.53045334E-033  4.17185060E-019  7.20745623E-017  1.14031353E-024  4.04696538E-017  1.79438561E-023  5.18564195E-019  8.89807259E-025  9.47841047E-027  1.07293484E-031  3.88578697E-039  7.20804295E-017  1.30157851E-017  0.00000000E+000  0.00000000E+000  2.50259401E-017
   8.14603133E+15  1.27006539E+003  7.50001381E+001  7.59072688E+001  7.76052636E+001  8.02304517E+001  8.39670877E+001  8.91624723E+001  9.61534816E+001  1.05171523E+002  1.15271646E+002  1.22539171E+002  1.22179637E+002  1.20632820E+002  1.02487779E-004  1.56778346E-005  1.15897331E-005  3.31535391E-008  3.59021898E-008  1.59335937E-020  1.38256168E-005  1.38283648E-005  3.56320368E-017  1.57181127E-017  7.29126318E-018  1.88322198E-022  1.53053085E-033  4.17185315E-019  7.20748817E-017  1.14034723E-024  4.04696830E-017  1.79443894E-023  5.18564281E-019  8.89861536E-025  9.47898320E-027  1.07308261E-031  3.88610400E-039  7.20807488E-017  1.30160953E-017  0.00000000E+000  0.00000000E+000  2.50262149E-017
   1.15202280E+16  1.27007704E+003  7.49997977E+001  7.59069246E+001  7.76049123E+001  8.02300895E+001  8.39667101E+001  8.91620733E+001  9.61530530E+001  1.05171054E+002  1.15271120E+002  1.22538572E+002  1.22179018E+002  1.20632212E+002  1.02487846E-004  1.56772896E-005  1.15892397E-005  3.31545053E-008  3.59032143E-008  1.59342448E-020  1.38255703E-005  1.38283184E-005  3.56320885E-017  1.57180821E-017  7.29125439E-018  1.88322198E-022  1.53063786E-033  4.17185666E-019  7.20753226E-017  1.14039376E-024  4.04697234E-017  1.79451257E-023  5.18564399E-019  8.89936474E-025  9.47977396E-027  1.07328670E-031  3.88654170E-039  7.20811895E-017  1.30165236E-017  0.00000000E+000  0.00000000E+000  2.50265941E-017
   1.62920626E+16  1.27009351E+003  7.49993164E+001  7.59064379E+001  7.76044155E+001  8.02295773E+001  8.39661761E+001  8.91615090E+001  9.61524470E+001  1.05170390E+002  1.15270375E+002  1.22537725E+002  1.22178144E+002  1.20631352E+002  1.02487939E-004  1.56765190E-005  1.15885421E-005  3.31558717E-008  3.59046632E-008  1.59351657E-020  1.38255045E-005  1.38282527E-005  3.56321616E-017  1.57180389E-017  7.29124196E-018  1.88322198E-022  1.53078920E-033  4.17186162E-019  7.20759461E-017  1.14045956E-024  4.04697804E-017  1.79461669E-023  5.18564565E-019  8.90042457E-025  9.48089229E-027  1.07357537E-031  3.88716077E-039  7.20818128E-017  1.30171292E-017  0.00000000E+000  0.00000000E+000  2.50271304E-017
