# J_up  J_(erg_cm-2_s-1_ster-1)
01     1.83930E-07
02     1.38791E-06
03     3.57374E-06
04     5.04846E-06
05     3.92102E-06
06     1.58143E-06
07     6.13403E-07
08     2.08741E-07
09    6.22635E-08
10    2.00564E-08
11    1.13063E-08
12    1.12524E-08
13    1.27064E-08
14    1.38815E-08
15    1.42103E-08
16    1.37559E-08
17    1.26236E-08
18    1.10308E-08
19    9.22380E-09
20    7.41690E-09
21    5.75932E-09
22    4.34045E-09
23    3.19316E-09
24    2.30244E-09
25    1.63838E-09
26    1.15698E-09
27    8.17093E-10
28    5.81843E-10
29    4.21445E-10
30    3.12800E-10
