     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   5.26161873E+16  1.11276184E+002  7.10148747E+004  1.22492543E+005  2.74332343E+001  5.06322198E-001
   5.61242514E+16  1.04184175E+002  6.33717278E+004  1.26314118E+005  2.71268396E+001  4.73385329E-001
   6.42908689E+16  9.29913338E+001  5.04231528E+004  1.32788407E+005  2.64340085E+001  4.17120975E-001
   7.24574865E+16  8.60196873E+001  4.19680594E+004  1.37015955E+005  2.58108813E+001  3.80255522E-001
   8.30005446E+16  8.01308565E+001  3.47050189E+004  1.40647477E+005  2.51256149E+001  3.49514575E-001
   9.35436027E+16  7.61381975E+001  2.97773954E+004  1.43111289E+005  2.45598396E+001  3.29827747E-001
   1.12253279E+17  7.15445479E+001  2.41638277E+004  1.45918074E+005  2.37930393E+001  3.09545374E-001
   1.30962955E+17  6.85982848E+001  2.06197209E+004  1.47690128E+005  2.32384547E+001  2.98846962E-001
   1.59027469E+17  6.57358080E+001  1.72639558E+004  1.49368011E+005  2.26537616E+001  2.90586110E-001
   1.87091983E+17  6.38558534E+001  1.51187379E+004  1.50440620E+005  2.22498650E+001  2.86660249E-001
   2.25840991E+17  6.21146498E+001  1.31791026E+004  1.51410437E+005  2.18623548E+001  2.84146984E-001
   2.64589999E+17  6.09031827E+001  1.18623509E+004  1.52068813E+005  2.15910959E+001  2.83302710E-001
   3.19389371E+17  5.97333236E+001  1.06137177E+004  1.52693130E+005  2.13225022E+001  2.83013700E-001
   3.74188744E+17  5.89113891E+001  9.75381066E+003  1.53123083E+005  2.11327281E+001  2.83196560E-001
   4.67737124E+17  5.79447398E+001  8.76256737E+003  1.53618705E+005  2.09088122E+001  2.83799624E-001
   5.61285505E+17  5.72824104E+001  8.09925060E+003  1.53950364E+005  2.07557533E+001  2.84378622E-001
   7.24617861E+17  5.64951908E+001  7.32930495E+003  1.54335336E+005  2.05748414E+001  2.85159003E-001
   9.35479027E+17  5.58246852E+001  6.69274066E+003  1.54653619E+005  2.04231851E+001  2.85768492E-001
   1.30967255E+18  5.50561399E+001  5.98773686E+003  1.55006120E+005  2.02545353E+001  2.86234216E-001
   1.87096283E+18  5.43262344E+001  5.34396725E+003  1.55328005E+005  2.01041845E+001  2.86425415E-001
   2.64594299E+18  5.36621978E+001  4.77990789E+003  1.55610035E+005  1.99811858E+001  2.86539107E-001
   3.74193044E+18  5.30323139E+001  4.26136294E+003  1.55869308E+005  1.98801800E+001  2.86695684E-001
   5.61289806E+18  5.22852615E+001  3.67951378E+003  1.56160232E+005  1.97992023E+001  2.88020268E-001
   7.24622163E+18  5.18308190E+001  3.34048251E+003  1.56329748E+005  1.97703493E+001  2.89241075E-001
   9.35483329E+18  5.13663434E+001  3.01258513E+003  1.56493697E+005  1.97655993E+001  2.91315447E-001
   1.30967685E+19  5.07430534E+001  2.60474423E+003  1.56697617E+005  1.98018933E+001  2.95501714E-001
   1.87096714E+19  5.00590574E+001  2.20669669E+003  1.56896641E+005  1.99056002E+001  3.02141155E-001
   2.64594730E+19  4.93535653E+001  1.85477184E+003  1.57072604E+005  2.00855250E+001  3.11543209E-001
   3.74193476E+19  4.85887252E+001  1.53848811E+003  1.57230746E+005  2.03588457E+001  3.24815003E-001
   5.61290238E+19  4.75897221E+001  1.21453105E+003  1.57392725E+005  2.08169686E+001  3.47071308E-001
   7.24622596E+19  4.68884369E+001  1.03601761E+003  1.57481981E+005  2.11914718E+001  3.66165714E-001
   9.35483763E+19  4.61168607E+001  8.75682821E+002  1.57562149E+005  2.16385705E+001  3.90924957E-001
   1.30967729E+20  4.49689990E+001  6.90488259E+002  1.57654746E+005  2.23483448E+001  4.36324134E-001
   1.87096758E+20  4.35399696E+001  5.24019329E+002  1.57737981E+005  2.32647666E+001  5.09433487E-001
   2.64594775E+20  4.18547005E+001  3.88762516E+002  1.57805610E+005  2.43192113E+001  6.24362158E-001
   3.74193522E+20  3.97600350E+001  2.74930473E+002  1.57862527E+005  2.54713780E+001  8.26049955E-001
   4.67741905E+20  3.80879654E+001  2.13213689E+002  1.57893386E+005  2.61970846E+001  1.04459926E+000
   5.61290288E+20  3.64522365E+001  1.69526934E+002  1.57915230E+005  2.67129320E+001  1.31443200E+000
   6.42956468E+20  3.50053168E+001  1.40184665E+002  1.57929902E+005  2.70022848E+001  1.60497858E+000
   7.24622649E+20  3.35232899E+001  1.17296385E+002  1.57941346E+005  2.71417077E+001  1.95753236E+000
   8.30053236E+20  3.14936679E+001  9.41203903E+001  1.57952935E+005  2.71086598E+001  2.52239715E+000
   9.35483823E+20  2.93162762E+001  7.64248060E+001  1.57961783E+005  2.68447066E+001  3.21774720E+000
   1.02903221E+21  2.72746993E+001  6.37794195E+001  1.57968107E+005  2.64140789E+001  3.96084330E+000
   1.12258059E+21  2.51916566E+001  5.34530688E+001  1.57973270E+005  2.58060123E+001  4.82477636E+000
   1.21612898E+21  2.31589539E+001  4.50767756E+001  1.57977459E+005  2.50266302E+001  5.81150778E+000
   1.30967736E+21  2.12862727E+001  3.78214066E+001  1.57981087E+005  2.41036102E+001  6.90010620E+000
   1.40322575E+21  1.96423932E+001  3.16734742E+001  1.57984161E+005  2.30806865E+001  8.05346928E+000
   1.52016123E+21  1.79208188E+001  2.53309733E+001  1.57987333E+005  2.17164408E+001  9.54148032E+000
   1.63709671E+21  1.65242752E+001  2.04284191E+001  1.57989784E+005  2.02982281E+001  1.10503455E+001
   1.75403220E+21  1.53935781E+001  1.66467925E+001  1.57991675E+005  1.88278486E+001  1.25873672E+001
   1.87096768E+21  1.44593370E+001  1.37558198E+001  1.57993121E+005  1.72875766E+001  1.41770152E+001
   1.96784021E+21  1.38016025E+001  1.19342055E+001  1.57994031E+005  1.59382760E+001  1.55575960E+001
   2.06471273E+21  1.32297831E+001  1.04532076E+001  1.57994772E+005  1.45058131E+001  1.70147344E+001
   2.16158526E+21  1.27279736E+001  9.27373985E+000  1.57995361E+005  1.29819050E+001  1.85581569E+001
   2.25845778E+21  1.22857654E+001  8.34885408E+000  1.57995823E+005  1.13694637E+001  2.01860230E+001
   2.35533031E+21  1.18965096E+001  7.62438284E+000  1.57996185E+005  9.69011199E+000  2.18774721E+001
   2.45220283E+21  1.15544301E+001  7.06147856E+000  1.57996466E+005  7.98291738E+000  2.35940155E+001
   2.54907536E+21  1.12553118E+001  6.63143311E+000  1.57996680E+005  6.31672672E+000  2.52672280E+001
   2.64594788E+21  1.09952019E+001  6.31268575E+000  1.57996837E+005  4.78266877E+000  2.68063336E+001
   2.69576549E+21  1.08743342E+001  6.17671944E+000  1.57996904E+005  4.07549273E+000  2.75154514E+001
   2.74558310E+21  1.07623747E+001  6.07349565E+000  1.57996955E+005  3.43905833E+000  2.81534469E+001
   2.79540072E+21  1.06579080E+001  5.99118711E+000  1.57996995E+005  2.87967996E+000  2.87140582E+001
   2.84521833E+21  1.05600299E+001  5.92687848E+000  1.57997025E+005  2.39936016E+000  2.91953348E+001
   2.89503594E+21  1.04678262E+001  5.87804301E+000  1.57997048E+005  1.99503035E+000  2.96003959E+001
   2.94485355E+21  1.03804469E+001  5.84218776E+000  1.57997065E+005  1.65980254E+000  2.99361753E+001
   2.99467116E+21  1.02971712E+001  5.81701296E+000  1.57997075E+005  1.38506787E+000  3.02113206E+001
   3.04448877E+21  1.02174106E+001  5.80043641E+000  1.57997082E+005  1.16121096E+000  3.04354792E+001
   3.09430638E+21  1.01407233E+001  5.79070131E+000  1.57997085E+005  9.79305679E-001  3.06176018E+001
   3.14412399E+21  1.00668015E+001  5.78634438E+000  1.57997086E+005  8.31372813E-001  3.07656866E+001
   3.19394160E+21  9.99540576E+000  5.78617820E+000  1.57997084E+005  7.10630558E-001  3.08865298E+001
   3.24375920E+21  9.92638390E+000  5.78926162E+000  1.57997080E+005  6.11666532E-001  3.09855542E+001
   3.29357681E+21  9.85966082E+000  5.79483002E+000  1.57997076E+005  5.30070305E-001  3.10671778E+001
   3.34339442E+21  9.79513808E+000  5.80228216E+000  1.57997070E+005  4.62358830E-001  3.11348893E+001
   3.39321202E+21  9.73277027E+000  5.81113341E+000  1.57997064E+005  4.05792205E-001  3.11914328E+001
   3.44302963E+21  9.67356818E+000  5.82075915E+000  1.57997057E+005  3.58243156E-001  3.12389387E+001
   3.49284723E+21  9.61773721E+000  5.83070730E+000  1.57997050E+005  3.18003811E-001  3.12791171E+001
   3.54266483E+21  9.56370567E+000  5.84103147E+000  1.57997042E+005  2.83668440E-001  3.13133749E+001
   3.64230004E+21  9.46084492E+000  5.85870793E+000  1.57997029E+005  2.28668805E-001  3.13681737E+001
   3.69211764E+21  9.41254922E+000  5.87262972E+000  1.57997019E+005  2.06492621E-001  3.13902276E+001
   3.74193524E+21  9.36578846E+000  5.88318713E+000  1.57997012E+005  1.87085211E-001  3.14094984E+001
   3.83548360E+21  9.28247903E+000  5.89894620E+000  1.57996999E+005  1.56654495E-001  3.14396334E+001
   3.92903195E+21  9.20558653E+000  5.91590285E+000  1.57996985E+005  1.32322535E-001  3.14636169E+001
   4.02258031E+21  9.13457494E+000  5.93109455E+000  1.57996972E+005  1.12579412E-001  3.14829547E+001
   4.11612865E+21  9.07144398E+000  5.94365938E+000  1.57996960E+005  9.63948713E-002  3.14986726E+001
   4.20967700E+21  9.01461468E+000  5.95369458E+000  1.57996948E+005  8.29944815E-002  3.15115375E+001
   4.30322534E+21  8.96220704E+000  5.96176211E+000  1.57996938E+005  7.18117059E-002  3.15221066E+001
   4.39677368E+21  8.91395184E+000  5.96815649E+000  1.57996928E+005  6.24333611E-002  3.15307825E+001
   4.49032201E+21  8.86986118E+000  5.97302717E+000  1.57996918E+005  5.45376032E-002  3.15378750E+001
   4.58387034E+21  8.82932890E+000  5.97666312E+000  1.57996909E+005  4.78600518E-002  3.15436351E+001
   4.67741866E+21  8.79197514E+000  5.97933267E+000  1.57996901E+005  4.21839257E-002  3.15482652E+001
   4.77096698E+21  8.75750521E+000  5.98123870E+000  1.57996892E+005  3.73279066E-002  3.15519322E+001
   4.86451530E+21  8.72564145E+000  5.98253450E+000  1.57996884E+005  3.31399254E-002  3.15547747E+001
   4.91128945E+21  8.71086734E+000  5.98397051E+000  1.57996879E+005  3.12569170E-002  3.15559229E+001
