       #   NH       T       H       H2       C       CO
  0.00000E+00  6.92507E+03  9.97291E-01  2.24142E-08  1.36564E-11  2.72570E-13
  1.94623E+18  6.93286E+03  9.97291E-01  2.29386E-08  1.39570E-11  2.74870E-13
  2.38216E+18  6.93373E+03  9.97292E-01  2.30362E-08  1.40129E-11  2.75271E-13
  2.91573E+18  6.93460E+03  9.97292E-01  2.31515E-08  1.40790E-11  2.75756E-13
  3.56881E+18  6.93546E+03  9.97293E-01  2.32879E-08  1.41571E-11  2.76344E-13
  4.36816E+18  6.93806E+03  9.97293E-01  2.34521E-08  1.42494E-11  2.77094E-13
  5.34657E+18  6.93893E+03  9.97294E-01  2.36430E-08  1.43585E-11  2.77965E-13
  6.54412E+18  6.94153E+03  9.97295E-01  2.38720E-08  1.44874E-11  2.79063E-13
  8.00991E+18  6.94414E+03  9.97296E-01  2.41428E-08  1.46398E-11  2.80397E-13
  9.80400E+18  6.94674E+03  9.97298E-01  2.44634E-08  1.48200E-11  2.82025E-13
  1.20000E+19  6.95108E+03  9.97300E-01  2.48468E-08  1.50333E-11  2.84049E-13
  1.46878E+19  6.95369E+03  9.97302E-01  2.52988E-08  1.52861E-11  2.86488E-13
  1.79776E+19  6.95804E+03  9.97305E-01  2.58402E-08  1.55861E-11  2.89521E-13
  2.20043E+19  6.96238E+03  9.97310E-01  2.64863E-08  1.59428E-11  2.93254E-13
  2.69330E+19  6.96848E+03  9.97314E-01  2.72631E-08  1.63680E-11  2.97901E-13
  3.29655E+19  6.97283E+03  9.97321E-01  2.81931E-08  1.68764E-11  3.03618E-13
  4.03493E+19  6.97893E+03  9.97329E-01  2.93201E-08  1.74867E-11  3.10779E-13
  4.93870E+19  6.98504E+03  9.97339E-01  3.06889E-08  1.82225E-11  3.19740E-13
  6.04489E+19  6.99115E+03  9.97351E-01  3.23629E-08  1.91147E-11  3.31027E-13
  7.39886E+19  6.99727E+03  9.97367E-01  3.44268E-08  2.02036E-11  3.45350E-13
  9.05609E+19  7.00164E+03  9.97386E-01  3.69915E-08  2.15430E-11  3.63650E-13
  1.10845E+20  7.00427E+03  9.97411E-01  4.02160E-08  2.32061E-11  3.87306E-13
  1.35673E+20  7.00514E+03  9.97441E-01  4.43259E-08  2.52938E-11  4.18310E-13
  1.66062E+20  7.00076E+03  9.97479E-01  4.96364E-08  2.79490E-11  4.59508E-13
  2.03257E+20  6.99114E+03  9.97526E-01  5.66310E-08  3.13776E-11  5.15394E-13
  2.48783E+20  6.96952E+03  9.97584E-01  6.60213E-08  3.58852E-11  5.92819E-13
  3.04507E+20  6.93276E+03  9.97656E-01  7.89523E-08  4.19380E-11  7.03255E-13
  3.72712E+20  6.87025E+03  9.97746E-01  9.72587E-08  5.02706E-11  8.66066E-13
  4.56194E+20  6.76670E+03  9.97857E-01  1.24040E-07  6.20843E-11  1.11597E-12
  5.58375E+20  6.60240E+03  9.97995E-01  1.64808E-07  7.94298E-11  1.51903E-12
  6.83443E+20  6.33130E+03  9.98168E-01  2.29623E-07  1.05989E-10  2.20595E-12
  8.36524E+20  5.87778E+03  9.98385E-01  3.38070E-07  1.48818E-10  3.45077E-12
  1.02389E+21  5.08861E+03  9.98666E-01  5.31042E-07  2.23211E-10  5.82488E-12
  1.25323E+21  3.71546E+03  9.99032E-01  1.01864E-06  4.05366E-10  1.01828E-11
  1.53393E+21  2.49993E+03  9.99256E-01  8.57974E-06  2.06986E-09  1.27468E-11
  1.87751E+21  9.24147E+02  9.99293E-01  1.73962E-04  4.84790E-09  2.42129E-13
  2.29805E+21  4.13999E+02  9.81066E-01  9.43812E-03  5.41403E-09  6.05561E-13
  2.81277E+21  2.37887E+02  7.39787E-01  1.30102E-01  1.17424E-08  1.81575E-12
  3.44279E+21  1.45164E+02  2.18767E-01  3.90616E-01  6.27322E-08  5.69732E-12
  4.21393E+21  7.07488E+01  3.61848E-02  4.81907E-01  5.98383E-07  2.80503E-11
  5.15779E+21  3.21008E+01  8.93169E-03  4.95534E-01  7.85164E-06  1.85337E-10
  6.31305E+21  1.63034E+01  6.42918E-03  4.96785E-01  6.08140E-05  7.62654E-09
  7.72708E+21  1.07667E+01  1.88657E-03  4.99057E-01  9.88038E-05  1.11219E-08
  9.45783E+21  1.16126E+01  1.59344E-03  4.99203E-01  9.96651E-05  2.68832E-07
  1.15762E+22  1.18962E+01  1.53503E-03  4.99232E-01  9.65915E-05  3.37848E-06
  1.41692E+22  1.17346E+01  1.52901E-03  4.99235E-01  6.95264E-05  3.04324E-05
  1.73428E+22  1.23386E+01  1.37748E-03  4.99309E-01  1.02296E-06  9.88460E-05
  2.12274E+22  1.31391E+01  1.23242E-03  4.99379E-01  2.22479E-07  9.95985E-05
  2.59820E+22  1.46174E+01  1.16126E-03  4.99415E-01  2.10645E-07  9.96109E-05
  3.18016E+22  1.64604E+01  1.09361E-03  4.99449E-01  2.07209E-07  9.96196E-05
