# J	 flux
       1   7.2087501e-07
       2   4.2171433e-06
       3   9.5859771e-06
       4   1.3072997e-05
       5   1.0712585e-05
       6   2.4998367e-06
       7   1.2486572e-07
       8   3.7642581e-09
       9   8.4040195e-11
      10   1.9529975e-12
      11   4.8851210e-14
      12   9.8382028e-16
      13   1.3763815e-17
      14   1.3294395e-19
      15   8.8082812e-22
      16   3.7924933e-24
      17   1.1915561e-26
      18   2.4962635e-29
      19   3.4353138e-32
      20   2.9876832e-35
      21   3.3915246e-39
      22   9.6399254e-43
      23   1.2777333e-46
      24   1.5324812e-50
      25   1.0084123e-54
      26   5.6569316e-59
      27   1.9515261e-63
      28   5.6431993e-68
      29   1.0358068e-72
      30   1.4973097e-77
      31   1.3963494e-82
      32   9.6301166e-88
      33   7.0062689e-91
      34   7.0062689e-91
      35   7.0062689e-91
      36   7.0062689e-91
      37   7.0062689e-91
      38   7.0062689e-91
