# J	 flux
       1   2.0237135e-06
       2   1.4037856e-05
       3   4.1785534e-05
       4   8.9217761e-05
       5   0.00015685724
       6   0.00023597467
       7   0.00029914294
       8   0.00031551176
       9   0.00013868675
      10   2.6196704e-05
      11   3.4521732e-06
      12   3.6899056e-07
      13   3.4332777e-08
      14   3.2151000e-09
      15   3.5119359e-10
      16   4.5136198e-11
      17   5.7075550e-12
      18   6.4686502e-13
      19   6.3500037e-14
      20   5.3645788e-15
      21   3.8847935e-16
      22   2.4175320e-17
      23   1.2878856e-18
      24   5.8956317e-20
      25   2.3298654e-21
      26   7.8801039e-23
      27   2.2938320e-24
      28   5.7642417e-26
      29   1.2442940e-27
      30   2.3162430e-29
      31   3.7204461e-31
      32   5.1600235e-33
