       #   NH       T       H       H2       C       CO
  0.00000E+00  4.13476E+01  5.39511E-01  2.29785E-01  1.26760E-05  7.47141E-05
  1.94623E+18  1.06912E+01  1.63006E-02  4.91720E-01  6.31673E-06  9.11003E-05
  2.38216E+18  1.07310E+01  1.54315E-02  4.92157E-01  5.89473E-06  9.17031E-05
  2.91573E+18  1.07911E+01  1.47534E-02  4.92497E-01  5.53711E-06  9.21985E-05
  3.56881E+18  1.08718E+01  1.41823E-02  4.92784E-01  5.22572E-06  9.26222E-05
  4.36816E+18  1.09667E+01  1.36344E-02  4.93059E-01  4.79867E-06  9.31820E-05
  5.34657E+18  1.10807E+01  1.31188E-02  4.93318E-01  4.36108E-06  9.37509E-05
  6.54412E+18  1.12115E+01  1.26477E-02  4.93554E-01  3.97728E-06  9.42502E-05
  8.00991E+18  1.13596E+01  1.22100E-02  4.93773E-01  3.63779E-06  9.46927E-05
  9.80400E+18  1.15281E+01  1.17959E-02  4.93981E-01  3.33519E-06  9.50880E-05
  1.20000E+19  1.17170E+01  1.13762E-02  4.94191E-01  2.98745E-06  9.55410E-05
  1.46878E+19  1.30120E+01  1.00193E-02  4.94936E-01  3.03125E-06  9.60743E-05
  1.79776E+19  1.38152E+01  8.59965E-03  4.95668E-01  3.06585E-06  9.62918E-05
  2.20043E+19  1.43959E+01  7.39500E-03  4.96282E-01  3.08439E-06  9.64231E-05
  2.69330E+19  1.48718E+01  6.34981E-03  4.96811E-01  3.10803E-06  9.65031E-05
  3.29655E+19  1.53083E+01  5.43047E-03  4.97275E-01  3.14392E-06  9.65439E-05
  4.03493E+19  1.57036E+01  4.62013E-03  4.97683E-01  2.99765E-06  9.67585E-05
  4.93870E+19  1.61096E+01  3.90225E-03  4.98044E-01  2.85742E-06  9.69520E-05
  6.04489E+19  1.65438E+01  3.26713E-03  4.98363E-01  2.74106E-06  9.71096E-05
  7.39886E+19  1.70118E+01  2.70783E-03  4.98643E-01  2.64714E-06  9.72356E-05
  9.05609E+19  1.75189E+01  2.21824E-03  4.98889E-01  2.57435E-06  9.73335E-05
  1.10845E+20  1.80750E+01  1.79251E-03  4.99102E-01  2.49841E-06  9.74297E-05
  1.35673E+20  1.86923E+01  1.42535E-03  4.99286E-01  2.39122E-06  9.75536E-05
  1.66062E+20  1.93675E+01  1.11234E-03  4.99443E-01  2.30241E-06  9.76555E-05
  2.03257E+20  2.00859E+01  8.47840E-04  4.99576E-01  2.23606E-06  9.77319E-05
  2.48783E+20  2.08747E+01  6.22217E-04  4.99689E-01  2.22040E-06  9.77555E-05
  3.04507E+20  2.17740E+01  4.18944E-04  4.99790E-01  2.38716E-06  9.75948E-05
  3.72712E+20  2.29339E+01  2.11692E-04  4.99894E-01  3.52817E-06  9.64574E-05
  4.56194E+20  2.46294E+01  5.74222E-05  4.99971E-01  1.01439E-05  8.98363E-05
  5.58375E+20  2.56799E+01  2.72186E-05  4.99986E-01  1.23027E-05  8.76778E-05
  6.83443E+20  2.64491E+01  1.62688E-05  4.99992E-01  1.01980E-05  8.97871E-05
  8.36524E+20  2.72014E+01  1.03761E-05  4.99995E-01  7.21781E-06  9.27716E-05
  1.02389E+21  2.79687E+01  7.00104E-06  4.99996E-01  4.55023E-06  9.54423E-05
  1.25323E+21  2.87594E+01  5.10366E-06  4.99997E-01  2.57182E-06  9.74228E-05
  1.53393E+21  2.95528E+01  4.13535E-06  4.99998E-01  1.36134E-06  9.86347E-05
  1.87751E+21  3.02713E+01  3.74522E-06  4.99998E-01  7.28258E-07  9.92682E-05
  2.29805E+21  3.07781E+01  3.73655E-06  4.99998E-01  4.38679E-07  9.95568E-05
  2.81277E+21  3.08051E+01  4.09310E-06  4.99998E-01  3.02529E-07  9.96860E-05
  3.44279E+21  2.78629E+01  5.18286E-06  4.99997E-01  1.29938E-07  9.95667E-05
  4.21393E+21  2.52467E+01  4.19870E-06  4.99997E-01  3.98755E-08  9.88073E-05
  5.15779E+21  2.26599E+01  3.66347E-06  4.99996E-01  1.13384E-08  9.64608E-05
  6.31305E+21  1.96618E+01  3.50529E-06  4.99992E-01  2.73190E-09  9.35705E-05
  7.72708E+21  1.98458E+01  3.11548E-06  4.99982E-01  7.97085E-10  9.42971E-05
  9.45783E+21  2.01244E+01  2.83665E-06  4.99972E-01  4.40886E-10  9.56080E-05
  1.15762E+22  2.02246E+01  2.76536E-06  4.99969E-01  3.96067E-10  9.60161E-05
  1.41692E+22  1.99822E+01  2.77488E-06  4.99968E-01  3.93308E-10  9.60714E-05
  1.73428E+22  1.93789E+01  2.81702E-06  4.99968E-01  3.94581E-10  9.60748E-05
  2.12274E+22  1.84659E+01  2.88536E-06  4.99968E-01  3.96814E-10  9.60740E-05
  2.59820E+22  1.72624E+01  2.98361E-06  4.99968E-01  3.99992E-10  9.60715E-05
  3.18016E+22  1.58447E+01  3.11338E-06  4.99968E-01  4.04177E-10  9.60656E-05
