! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 0.00000E+00 1.31816E+02 9.99751E-01 1.15827E-04 6.64127E-08 6.09238E-11
 1.71000E+15 1.31816E+02 9.99751E-01 1.15827E-04 6.64129E-08 6.09241E-11
 8.77230E+17 1.31816E+02 9.99751E-01 1.16139E-04 6.65301E-08 6.10754E-11
 1.75275E+18 1.31816E+02 9.99674E-01 1.54696E-04 6.67388E-08 6.13089E-11
 2.19051E+18 1.31816E+02 9.99587E-01 1.97819E-04 6.68289E-08 6.15007E-11
 2.62827E+18 1.31816E+02 9.99531E-01 2.25830E-04 6.68965E-08 6.16654E-11
 3.06603E+18 1.31816E+02 9.99468E-01 2.57775E-04 6.69615E-08 6.18553E-11
 3.50379E+18 1.31816E+02 9.99393E-01 2.95057E-04 6.70238E-08 6.20810E-11
 3.94155E+18 1.31816E+02 9.99304E-01 3.39823E-04 6.70826E-08 6.23601E-11
 4.37931E+18 1.31816E+02 9.99197E-01 3.93438E-04 6.71380E-08 6.27119E-11
 4.62852E+18 1.31816E+02 9.99071E-01 4.56460E-04 6.71665E-08 6.31224E-11
 5.12694E+18 1.31816E+02 9.98983E-01 5.00494E-04 6.72252E-08 6.34945E-11
 5.62536E+18 1.31816E+02 9.98781E-01 6.01533E-04 6.72743E-08 6.43151E-11
 6.12378E+18 1.31816E+02 9.98522E-01 7.30843E-04 6.73146E-08 6.54975E-11
 6.37299E+18 1.31816E+02 9.98181E-01 9.01587E-04 6.73106E-08 6.72321E-11
 6.62220E+18 1.31816E+02 9.97956E-01 1.01448E-03 6.73168E-08 6.85381E-11
 6.87141E+18 1.31301E+02 9.97689E-01 1.14769E-03 6.74662E-08 7.02962E-11
 7.12062E+18 1.31301E+02 9.97363E-01 1.31108E-03 6.74600E-08 7.24978E-11
 7.36983E+18 1.31301E+02 9.96962E-01 1.51144E-03 6.74450E-08 7.54347E-11
 7.61904E+18 1.31301E+02 9.96463E-01 1.76148E-03 6.74194E-08 7.94265E-11
 7.86826E+18 1.31301E+02 9.95831E-01 2.07773E-03 6.73815E-08 8.49221E-11
 8.11747E+18 1.31301E+02 9.95022E-01 2.48224E-03 6.73305E-08 9.25490E-11
 8.36668E+18 1.30789E+02 9.93988E-01 2.99969E-03 6.74247E-08 1.02931E-10
 8.61589E+18 1.30789E+02 9.92641E-01 3.67337E-03 6.73533E-08 1.17420E-10
 8.86510E+18 1.30789E+02 9.90901E-01 4.54398E-03 6.72792E-08 1.37048E-10
 9.11431E+18 1.30789E+02 9.88658E-01 5.66584E-03 6.72125E-08 1.63005E-10
 9.25704E+18 1.30789E+02 9.85788E-01 7.10113E-03 6.71530E-08 1.96214E-10
 9.39977E+18 1.30278E+02 9.83717E-01 8.13691E-03 6.73046E-08 2.19225E-10
 9.68524E+18 1.30278E+02 9.81307E-01 9.34246E-03 6.73263E-08 2.46146E-10
 9.97071E+18 1.30278E+02 9.75835E-01 1.20791E-02 6.73886E-08 3.04285E-10
 1.02562E+19 1.30278E+02 9.69098E-01 1.54480E-02 6.75310E-08 3.70559E-10
 1.05416E+19 1.30278E+02 9.61119E-01 1.94381E-02 6.77540E-08 4.42405E-10
 1.08271E+19 1.30278E+02 9.52116E-01 2.39397E-02 6.80480E-08 5.16361E-10
 1.11126E+19 1.30278E+02 9.42179E-01 2.89086E-02 6.84011E-08 5.90936E-10
 1.13980E+19 1.31296E+02 9.31322E-01 3.43374E-02 6.84821E-08 6.67841E-10
 1.19690E+19 1.31296E+02 9.19995E-01 4.00011E-02 6.89576E-08 7.39938E-10
 1.25399E+19 1.32321E+02 8.98096E-01 5.09509E-02 6.95260E-08 8.65574E-10
 1.31108E+19 1.33355E+02 8.76546E-01 6.17257E-02 7.01328E-08 9.73176E-10
 1.36818E+19 1.33355E+02 8.56191E-01 7.19038E-02 7.10586E-08 1.06036E-09
 1.38856E+19 1.34397E+02 8.36660E-01 8.16694E-02 7.16119E-08 1.13535E-09
 1.47007E+19 1.34397E+02 8.29700E-01 8.51492E-02 7.20324E-08 1.16159E-09
 1.55158E+19 1.35447E+02 8.04583E-01 9.77079E-02 7.29742E-08 1.24298E-09
 1.71460E+19 1.36505E+02 7.80901E-01 1.09549E-01 7.40086E-08 1.31178E-09
 1.85141E+19 1.39704E+02 7.40583E-01 1.29708E-01 7.53062E-08 1.40351E-09
 1.98822E+19 1.40796E+02 7.10527E-01 1.44736E-01 7.68429E-08 1.45477E-09
 2.26183E+19 1.41896E+02 6.83984E-01 1.58008E-01 7.85073E-08 1.49658E-09
 2.31426E+19 1.45221E+02 6.39478E-01 1.80261E-01 8.05061E-08 1.57924E-09
 2.52398E+19 1.45221E+02 6.30656E-01 1.84672E-01 8.14055E-08 1.60373E-09
 2.77711E+19 1.47491E+02 5.99732E-01 2.00134E-01 8.33113E-08 1.66342E-09
 3.23996E+19 1.49795E+02 5.66138E-01 2.16931E-01 8.59156E-08 1.72373E-09
 3.70282E+19 1.53306E+02 5.14939E-01 2.42530E-01 8.99794E-08 1.77758E-09
 4.16567E+19 1.56899E+02 4.70700E-01 2.64650E-01 9.39292E-08 1.80034E-09
 4.62852E+19 1.59351E+02 4.32929E-01 2.83535E-01 9.80899E-08 1.80566E-09
 5.55422E+19 1.63085E+02 3.96679E-01 3.01660E-01 1.02875E-07 1.81788E-09
 6.47993E+19 1.68182E+02 3.41512E-01 3.29244E-01 1.10905E-07 1.78456E-09
 7.40563E+19 1.73437E+02 2.96969E-01 3.51516E-01 1.18879E-07 1.74109E-09
 8.33134E+19 1.78857E+02 2.60344E-01 3.69828E-01 1.26855E-07 1.69876E-09
 9.25704E+19 1.81652E+02 2.30602E-01 3.84699E-01 1.35484E-07 1.66505E-09
 1.01827E+20 1.85909E+02 2.05149E-01 3.97425E-01 1.43879E-07 1.63751E-09
 1.11084E+20 1.88814E+02 1.83852E-01 4.08074E-01 1.52683E-07 1.61892E-09
 1.20342E+20 1.91764E+02 1.65507E-01 4.17246E-01 1.61618E-07 1.60739E-09
 1.29599E+20 1.94761E+02 1.49603E-01 4.25198E-01 1.70705E-07 1.60254E-09
 1.38856E+20 1.96282E+02 1.35965E-01 4.32017E-01 1.80273E-07 1.60434E-09
 1.48113E+20 1.97816E+02 1.23991E-01 4.38004E-01 1.90029E-07 1.61161E-09
 1.57370E+20 1.99361E+02 1.13377E-01 4.43312E-01 1.99993E-07 1.62379E-09
 1.66627E+20 2.00919E+02 1.03948E-01 4.48026E-01 2.10178E-07 1.64069E-09
 1.75884E+20 2.02488E+02 9.55391E-02 4.52230E-01 2.20601E-07 1.66205E-09
 1.85141E+20 2.02488E+02 8.81773E-02 4.55911E-01 2.31576E-07 1.68731E-09
 1.94398E+20 2.05652E+02 8.12137E-02 4.59393E-01 2.42217E-07 1.71723E-09
 2.03655E+20 2.05652E+02 7.52573E-02 4.62371E-01 2.53728E-07 1.75018E-09
 2.12912E+20 2.05652E+02 6.98509E-02 4.65075E-01 2.65525E-07 1.78661E-09
 2.22169E+20 2.07259E+02 6.47998E-02 4.67600E-01 2.77332E-07 1.82742E-09
 2.31426E+20 2.07259E+02 6.03369E-02 4.69832E-01 2.89736E-07 1.87086E-09
 2.40683E+20 2.07259E+02 5.62628E-02 4.71869E-01 3.02460E-07 1.91766E-09
 2.49940E+20 2.07259E+02 5.25336E-02 4.73733E-01 3.15514E-07 1.96783E-09
 2.59197E+20 2.07259E+02 4.91174E-02 4.75441E-01 3.28911E-07 2.02137E-09
 2.68454E+20 2.07259E+02 4.59824E-02 4.77009E-01 3.42660E-07 2.07831E-09
 2.77711E+20 2.07259E+02 4.30977E-02 4.78451E-01 3.56775E-07 2.13867E-09
 2.86968E+20 2.07259E+02 4.04401E-02 4.79780E-01 3.71266E-07 2.20247E-09
 2.96225E+20 2.05640E+02 3.80733E-02 4.80963E-01 3.86388E-07 2.26747E-09
 3.05482E+20 2.05640E+02 3.58084E-02 4.82096E-01 4.01657E-07 2.33809E-09
 3.14739E+20 2.05640E+02 3.37149E-02 4.83143E-01 4.17337E-07 2.41227E-09
 3.23996E+20 2.05640E+02 3.17764E-02 4.84112E-01 4.33439E-07 2.49004E-09
 3.33253E+20 2.04033E+02 3.00463E-02 4.84977E-01 4.50187E-07 2.56851E-09
 3.42511E+20 2.04033E+02 2.83774E-02 4.85811E-01 4.67160E-07 2.65348E-09
 3.51768E+20 2.02439E+02 2.68871E-02 4.86556E-01 4.84784E-07 2.73896E-09
 3.61025E+20 2.02439E+02 2.54424E-02 4.87279E-01 5.02675E-07 2.83140E-09
 3.70282E+20 2.00858E+02 2.41503E-02 4.87925E-01 5.21222E-07 2.92417E-09
 3.79539E+20 2.00858E+02 2.29242E-02 4.88538E-01 5.40074E-07 3.01987E-09
 3.88796E+20 1.99288E+02 2.18259E-02 4.89087E-01 5.59584E-07 3.11520E-09
 3.98053E+20 1.97732E+02 2.07975E-02 4.89601E-01 5.79593E-07 3.21441E-09
 4.07310E+20 1.97732E+02 1.97892E-02 4.90105E-01 5.99983E-07 3.32184E-09
 4.16567E+20 1.96187E+02 1.88872E-02 4.90556E-01 6.21035E-07 3.42925E-09
 4.25824E+20 1.96187E+02 1.80004E-02 4.91000E-01 6.42522E-07 3.54547E-09
 4.35081E+20 1.94654E+02 1.72081E-02 4.91396E-01 6.64667E-07 3.66153E-09
 4.44338E+20 1.94654E+02 1.64270E-02 4.91786E-01 6.87304E-07 3.78703E-09
 4.53595E+20 1.93133E+02 1.57296E-02 4.92135E-01 7.10595E-07 3.91224E-09
 4.62852E+20 1.93133E+02 1.50396E-02 4.92480E-01 7.34441E-07 4.04756E-09
 5.36908E+20 1.84080E+02 1.31771E-02 4.93411E-01 8.57583E-07 5.00963E-09
 5.55422E+20 1.82642E+02 1.04253E-02 4.94787E-01 9.95455E-07 5.62330E-09
 6.29479E+20 1.74081E+02 9.07827E-03 4.95461E-01 1.17345E-06 7.06324E-09
 6.47993E+20 1.74081E+02 7.55338E-03 4.96223E-01 1.34414E-06 7.92021E-09
 7.40563E+20 1.63201E+02 6.63982E-03 4.96680E-01 1.63066E-06 1.05387E-08
 8.33134E+20 1.54276E+02 5.34654E-03 4.97327E-01 2.15691E-06 1.48707E-08
 9.25704E+20 1.44633E+02 4.58775E-03 4.97706E-01 2.81555E-06 2.09013E-08
 1.01827E+21 1.36724E+02 4.11735E-03 4.97941E-01 3.63666E-06 2.93460E-08
 1.11084E+21 1.28179E+02 3.83604E-03 4.98082E-01 4.64628E-06 4.10341E-08
 1.20342E+21 1.21169E+02 3.65116E-03 4.98174E-01 5.88412E-06 5.73228E-08
 1.29599E+21 1.13596E+02 3.54173E-03 4.98229E-01 7.37634E-06 7.97555E-08
 1.38856E+21 1.07383E+02 3.46088E-03 4.98269E-01 9.17014E-06 1.10938E-07
 1.48113E+21 1.02350E+02 3.39247E-03 4.98304E-01 1.13051E-05 1.54361E-07
 1.57370E+21 9.67526E+01 3.34599E-03 4.98327E-01 1.37903E-05 2.14056E-07
 1.66627E+21 9.22173E+01 3.29348E-03 4.98353E-01 1.66702E-05 2.97036E-07
 1.75884E+21 8.78946E+01 3.24009E-03 4.98380E-01 1.99407E-05 4.11600E-07
 1.85141E+21 8.37746E+01 3.18216E-03 4.98409E-01 2.35907E-05 5.69470E-07
 1.94398E+21 7.98476E+01 3.11715E-03 4.98441E-01 2.75862E-05 7.87308E-07
 2.03655E+21 7.67286E+01 3.03349E-03 4.98483E-01 3.18954E-05 1.09156E-06
 2.12912E+21 7.37314E+01 2.94067E-03 4.98530E-01 3.64057E-05 1.51459E-06
 2.22169E+21 7.14273E+01 2.82936E-03 4.98585E-01 4.10262E-05 2.10932E-06
 2.31426E+21 6.86371E+01 2.71952E-03 4.98640E-01 4.55414E-05 2.92919E-06
 2.40683E+21 6.64922E+01 2.59443E-03 4.98703E-01 4.98258E-05 4.07535E-06
 2.49940E+21 6.46741E+01 2.46184E-03 4.98769E-01 5.36464E-05 5.66001E-06
 2.50403E+21 6.51793E+01 2.38877E-03 4.98805E-01 5.48144E-05 6.70371E-06
 2.59197E+21 6.26333E+01 2.33135E-03 4.98834E-01 5.68047E-05 7.82167E-06
 2.68454E+21 6.06760E+01 2.21131E-03 4.98894E-01 5.90461E-05 1.04332E-05
 2.77711E+21 5.85428E+01 2.10134E-03 4.98949E-01 6.04382E-05 1.35804E-05
 2.86968E+21 5.67134E+01 2.00101E-03 4.98999E-01 6.10487E-05 1.70371E-05
 2.87431E+21 5.67134E+01 1.95392E-03 4.99023E-01 6.08228E-05 1.87955E-05
 2.96225E+21 5.44980E+01 1.92216E-03 4.99039E-01 6.12227E-05 2.03715E-05
 3.05482E+21 5.23692E+01 1.86444E-03 4.99068E-01 6.13911E-05 2.29867E-05
 3.14739E+21 5.05281E+01 1.81831E-03 4.99091E-01 6.17766E-05 2.48994E-05
 3.23996E+21 4.85543E+01 1.78993E-03 4.99105E-01 6.26815E-05 2.57879E-05
 3.33253E+21 4.70370E+01 1.76693E-03 4.99116E-01 6.38166E-05 2.61027E-05
 3.42511E+21 4.53834E+01 1.75603E-03 4.99122E-01 6.53301E-05 2.57263E-05
 3.51768E+21 4.37879E+01 1.75193E-03 4.99124E-01 6.69743E-05 2.49982E-05
 3.61025E+21 4.25905E+01 1.74722E-03 4.99126E-01 6.83108E-05 2.44351E-05
 3.70282E+21 4.12596E+01 1.74961E-03 4.99125E-01 6.96286E-05 2.37419E-05
 3.79539E+21 4.01314E+01 1.75245E-03 4.99123E-01 7.05689E-05 2.33299E-05
 3.88796E+21 3.79367E+01 1.77870E-03 4.99110E-01 7.23139E-05 2.19709E-05
 3.98053E+21 3.55657E+01 1.81420E-03 4.99092E-01 7.40089E-05 2.06026E-05
 4.07310E+21 3.30649E+01 1.85991E-03 4.99070E-01 7.55069E-05 1.93931E-05
 4.16567E+21 3.09984E+01 1.90308E-03 4.99048E-01 7.62387E-05 1.89360E-05
 4.25824E+21 2.91821E+01 1.94637E-03 4.99026E-01 7.64131E-05 1.90152E-05
 4.35081E+21 2.74722E+01 1.99278E-03 4.99003E-01 7.61905E-05 1.94696E-05
 4.44338E+21 2.59698E+01 2.03809E-03 4.98981E-01 7.55298E-05 2.03443E-05
 4.53595E+21 2.45496E+01 2.08557E-03 4.98957E-01 7.45601E-05 2.15118E-05
 4.62852E+21 2.32070E+01 2.13497E-03 4.98932E-01 7.33137E-05 2.29429E-05
 4.81366E+21 2.11220E+01 2.21979E-03 4.98890E-01 6.97383E-05 2.68499E-05
 4.99880E+21 1.93068E+01 2.30369E-03 4.98848E-01 6.54343E-05 3.14663E-05
 5.13766E+21 1.79493E+01 2.37509E-03 4.98812E-01 6.19905E-05 3.51271E-05
 5.34594E+21 1.64068E+01 2.46490E-03 4.98767E-01 5.59411E-05 4.14871E-05
 5.55422E+21 1.52532E+01 2.53918E-03 4.98730E-01 4.90806E-05 4.86557E-05
 5.97079E+21 1.38232E+01 2.63771E-03 4.98681E-01 3.35097E-05 6.48502E-05
 6.47993E+21 1.33372E+01 2.72087E-03 4.98639E-01 3.15207E-06 9.64953E-05
 6.48456E+21 1.33372E+01 2.72296E-03 4.98638E-01 3.04160E-06 9.66133E-05
 7.07701E+21 1.28684E+01 2.89678E-03 4.98551E-01 4.45339E-07 9.94420E-05
 7.40563E+21 1.28684E+01 2.91348E-03 4.98542E-01 2.65245E-07 9.96441E-05
 8.33134E+21 1.31700E+01 2.84890E-03 4.98573E-01 1.05130E-07 9.98220E-05
 9.25704E+21 1.35815E+01 2.73684E-03 4.98629E-01 7.23686E-08 9.98551E-05
 1.01827E+22 1.40590E+01 2.65029E-03 4.98672E-01 6.52845E-08 9.98604E-05
 1.11084E+22 1.44434E+01 2.60034E-03 4.98697E-01 6.39429E-08 9.98608E-05
 1.20342E+22 1.47819E+01 2.56592E-03 4.98715E-01 6.40966E-08 9.98602E-05
 1.29599E+22 1.50129E+01 2.54480E-03 4.98725E-01 6.44554E-08 9.98596E-05
 1.38856E+22 1.51888E+01 2.52967E-03 4.98733E-01 6.48202E-08 9.98591E-05
 1.48113E+22 1.53668E+01 2.51491E-03 4.98740E-01 6.52317E-08 9.98586E-05
 1.57370E+22 1.56069E+01 2.49553E-03 4.98750E-01 6.58057E-08 9.98579E-05
 1.66627E+22 1.60337E+01 2.46227E-03 4.98766E-01 6.68330E-08 9.98566E-05
 1.75884E+22 1.64721E+01 2.42951E-03 4.98783E-01 6.78870E-08 9.98552E-05
 1.85141E+22 1.68582E+01 2.40177E-03 4.98797E-01 6.88124E-08 9.98540E-05
 1.85187E+22 1.68582E+01 2.40177E-03 4.98797E-01 6.88124E-08 9.98540E-05
 1.94398E+22 1.72533E+01 2.37439E-03 4.98810E-01 6.97563E-08 9.98528E-05
 2.03655E+22 1.75903E+01 2.35180E-03 4.98822E-01 7.05583E-08 9.98517E-05
 2.12912E+22 1.79338E+01 2.32945E-03 4.98833E-01 7.13729E-08 9.98506E-05
 2.22169E+22 1.82141E+01 2.31172E-03 4.98842E-01 7.20350E-08 9.98497E-05
 2.31426E+22 1.84986E+01 2.29414E-03 4.98850E-01 7.27053E-08 9.98488E-05
 2.40683E+22 1.87154E+01 2.28102E-03 4.98857E-01 7.32145E-08 9.98481E-05
 2.49940E+22 1.90079E+01 2.26371E-03 4.98865E-01 7.38997E-08 9.98472E-05
 2.59197E+22 1.91935E+01 2.25293E-03 4.98871E-01 7.43336E-08 9.98466E-05
 2.68454E+22 1.94184E+01 2.24009E-03 4.98877E-01 7.48585E-08 9.98459E-05
 2.77711E+22 1.95701E+01 2.23156E-03 4.98882E-01 7.52120E-08 9.98454E-05
 2.86968E+22 1.96466E+01 2.22730E-03 4.98884E-01 7.53899E-08 9.98451E-05
 2.96225E+22 1.98000E+01 2.21882E-03 4.98888E-01 7.57471E-08 9.98446E-05
 3.05482E+22 1.98774E+01 2.21459E-03 4.98890E-01 7.59269E-08 9.98444E-05
 3.14739E+22 1.99550E+01 2.21037E-03 4.98892E-01 7.61073E-08 9.98441E-05
 3.23996E+22 1.99550E+01 2.21037E-03 4.98892E-01 7.61073E-08 9.98441E-05
