! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 0.00000E+00 5.84645E+03 9.99995E-01 8.02161E-08 1.93578E-10 1.44493E-13
 1.71000E+19 5.84645E+03 9.99995E-01 8.30288E-08 1.99921E-10 1.54618E-13
 1.11150E+21 5.84645E+03 9.99992E-01 7.72537E-07 1.62535E-09 1.10381E-11
 1.24830E+21 6.12050E+03 9.99980E-01 2.69669E-06 2.45621E-09 4.92977E-11
 1.31670E+21 6.21613E+03 9.99974E-01 3.78540E-06 2.98039E-09 7.83138E-11
 1.38510E+21 6.28898E+03 9.99970E-01 4.83024E-06 3.56600E-09 1.13105E-10
 1.41930E+21 6.36267E+03 9.99966E-01 5.84059E-06 4.00314E-09 1.45244E-10
 1.45350E+21 6.41238E+03 9.99963E-01 6.62743E-06 4.41620E-09 1.75154E-10
 1.46261E+21 6.46248E+03 9.99960E-01 7.17239E-06 4.61261E-09 1.92336E-10
 1.49906E+21 6.46248E+03 9.99958E-01 7.95266E-06 5.08681E-09 2.28002E-10
 1.53551E+21 6.51297E+03 9.99954E-01 9.23666E-06 5.72935E-09 2.82417E-10
 1.57196E+21 6.56385E+03 9.99948E-01 1.07904E-05 6.49917E-09 3.51733E-10
 1.60841E+21 6.61513E+03 9.99943E-01 1.26681E-05 7.42737E-09 4.40078E-10
 1.64486E+21 6.69265E+03 9.99937E-01 1.45812E-05 8.43939E-09 5.38789E-10
 1.68131E+21 6.74494E+03 9.99930E-01 1.71403E-05 9.75078E-09 6.74313E-10
 1.71776E+21 6.79763E+03 9.99922E-01 2.00743E-05 1.13041E-08 8.40397E-10
 1.75421E+21 6.82419E+03 9.99912E-01 2.38778E-05 1.33106E-08 1.06523E-09
 1.79066E+21 6.87750E+03 9.99903E-01 2.74221E-05 1.54005E-08 1.30053E-09
 1.82711E+21 6.90436E+03 9.99893E-01 3.17019E-05 1.79780E-08 1.60094E-09
 1.86356E+21 6.90436E+03 9.99881E-01 3.69243E-05 2.11959E-08 1.98954E-09
