     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 2.00000E+01 1.16160E+04 6.67748E+02 3.89350E-03 3.66021E+02 2.11481E-01 4.55710E-02 8.17573E-03 2.10598E-11 1.45345E-09 6.70129E-30 1.18551E-07 5.79903E-15
 1.89256E+17 2.00000E+01 1.16146E+04 6.67761E+02 3.89505E-03 3.66008E+02 2.11485E-01 4.55731E-02 8.17517E-03 2.10642E-11 1.45348E-09 6.70479E-30 1.18600E-07 5.80381E-15
 2.25257E+17 2.00000E+01 1.16160E+04 6.67750E+02 3.89350E-03 3.66020E+02 2.11481E-01 4.55712E-02 8.17582E-03 2.10603E-11 1.45347E-09 6.70147E-30 1.18551E-07 5.79909E-15
 2.68108E+17 2.00000E+01 1.16146E+04 6.67761E+02 3.89505E-03 3.66008E+02 2.11485E-01 4.55731E-02 8.17520E-03 2.10644E-11 1.45349E-09 6.70486E-30 1.18600E-07 5.80383E-15
 3.19109E+17 2.00000E+01 1.16160E+04 6.67750E+02 3.89350E-03 3.66019E+02 2.11481E-01 4.55712E-02 8.17586E-03 2.10605E-11 1.45348E-09 6.70155E-30 1.18552E-07 5.79912E-15
 3.79813E+17 2.00000E+01 1.16146E+04 6.67762E+02 3.89505E-03 3.66007E+02 2.11485E-01 4.55732E-02 8.17525E-03 2.10646E-11 1.45350E-09 6.70495E-30 1.18601E-07 5.80386E-15
 4.52064E+17 2.00000E+01 1.16160E+04 6.67751E+02 3.89351E-03 3.66018E+02 2.11482E-01 4.55713E-02 8.17591E-03 2.10608E-11 1.45349E-09 6.70166E-30 1.18552E-07 5.79915E-15
 5.38059E+17 2.00000E+01 1.16146E+04 6.67763E+02 3.89505E-03 3.66006E+02 2.11486E-01 4.55733E-02 8.17531E-03 2.10650E-11 1.45351E-09 6.70508E-30 1.18601E-07 5.80390E-15
 6.40413E+17 2.00000E+01 1.16160E+04 6.67752E+02 3.89351E-03 3.66017E+02 2.11482E-01 4.55714E-02 8.17598E-03 2.10612E-11 1.45351E-09 6.70181E-30 1.18553E-07 5.79920E-15
 7.62238E+17 2.00000E+01 1.16146E+04 6.67764E+02 3.89505E-03 3.66005E+02 2.11486E-01 4.55734E-02 8.17540E-03 2.10655E-11 1.45354E-09 6.70526E-30 1.18602E-07 5.80396E-15
 9.07237E+17 2.00000E+01 1.16160E+04 6.67754E+02 3.89351E-03 3.66015E+02 2.11482E-01 4.55716E-02 8.17609E-03 2.10618E-11 1.45354E-09 6.70203E-30 1.18554E-07 5.79927E-15
 1.07982E+18 2.00000E+01 1.16146E+04 6.67766E+02 3.89505E-03 3.66003E+02 2.11487E-01 4.55736E-02 8.17552E-03 2.10662E-11 1.45357E-09 6.70552E-30 1.18603E-07 5.80405E-15
 1.28523E+18 2.00000E+01 1.16160E+04 6.67756E+02 3.89351E-03 3.66013E+02 2.11483E-01 4.55718E-02 8.17624E-03 2.10626E-11 1.45358E-09 6.70234E-30 1.18555E-07 5.79937E-15
 1.52972E+18 2.00000E+01 1.16146E+04 6.67768E+02 3.89505E-03 3.66000E+02 2.11487E-01 4.55739E-02 8.17570E-03 2.10672E-11 1.45361E-09 6.70589E-30 1.18604E-07 5.80416E-15
 1.82071E+18 2.00000E+01 1.16160E+04 6.67759E+02 3.89352E-03 3.66010E+02 2.11484E-01 4.55722E-02 8.17644E-03 2.10638E-11 1.45363E-09 6.70278E-30 1.18556E-07 5.79951E-15
 2.16707E+18 2.00000E+01 1.16146E+04 6.67772E+02 3.89506E-03 3.65996E+02 2.11488E-01 4.55743E-02 8.17595E-03 2.10685E-11 1.45367E-09 6.70642E-30 1.18606E-07 5.80433E-15
 2.57930E+18 2.00000E+01 1.16160E+04 6.67763E+02 3.89352E-03 3.66005E+02 2.11485E-01 4.55726E-02 8.17674E-03 2.10655E-11 1.45370E-09 6.70340E-30 1.18559E-07 5.79971E-15
 3.06996E+18 2.00000E+01 1.16146E+04 6.67777E+02 3.89507E-03 3.65990E+02 2.11490E-01 4.55749E-02 8.17630E-03 2.10705E-11 1.45376E-09 6.70716E-30 1.18609E-07 5.80457E-15
 3.65395E+18 2.00000E+01 1.16160E+04 6.67769E+02 3.89353E-03 3.65998E+02 2.11487E-01 4.55733E-02 8.17716E-03 2.10678E-11 1.45381E-09 6.70429E-30 1.18562E-07 5.79999E-15
 4.34904E+18 2.00000E+01 1.16146E+04 6.67784E+02 3.89507E-03 3.65982E+02 2.11492E-01 4.55757E-02 8.17680E-03 2.10733E-11 1.45388E-09 6.70821E-30 1.18613E-07 5.80490E-15
 5.17635E+18 2.00000E+01 1.16160E+04 6.67778E+02 3.89354E-03 3.65989E+02 2.11490E-01 4.55742E-02 8.17776E-03 2.10711E-11 1.45395E-09 6.70554E-30 1.18567E-07 5.80039E-15
 6.16104E+18 2.00000E+01 1.16146E+04 6.67795E+02 3.89509E-03 3.65971E+02 2.11495E-01 4.55768E-02 8.17751E-03 2.10773E-11 1.45406E-09 6.70970E-30 1.18619E-07 5.80538E-15
 7.33304E+18 2.00000E+01 1.16160E+04 6.67790E+02 3.89355E-03 3.65975E+02 2.11494E-01 4.55756E-02 8.17860E-03 2.10758E-11 1.45416E-09 6.70731E-30 1.18573E-07 5.80095E-15
 8.72799E+18 2.00000E+01 1.16146E+04 6.67809E+02 3.89510E-03 3.65955E+02 2.11500E-01 4.55784E-02 8.17852E-03 2.10829E-11 1.45431E-09 6.71180E-30 1.18627E-07 5.80605E-15
 1.03883E+19 2.00000E+01 1.16160E+04 6.67808E+02 3.89357E-03 3.65956E+02 2.11499E-01 4.55775E-02 8.17980E-03 2.10825E-11 1.45446E-09 6.70981E-30 1.18583E-07 5.80175E-15
 1.23644E+19 2.00000E+01 1.16146E+04 6.67830E+02 3.89513E-03 3.65932E+02 2.11506E-01 4.55806E-02 8.17994E-03 2.10908E-11 1.45466E-09 6.71479E-30 1.18638E-07 5.80700E-15
 1.47165E+19 2.00000E+01 1.16153E+04 6.67844E+02 3.89514E-03 3.65917E+02 2.11510E-01 4.55821E-02 8.18086E-03 2.10959E-11 1.45489E-09 6.71672E-30 1.18645E-07 5.80761E-15
 1.75160E+19 2.00000E+01 1.16138E+04 6.67865E+02 3.89593E-03 3.65893E+02 2.11517E-01 4.55848E-02 8.18164E-03 2.11040E-11 1.45517E-09 6.72071E-30 1.18678E-07 5.81071E-15
 2.08481E+19 2.00000E+01 1.16153E+04 6.67873E+02 3.89441E-03 3.65884E+02 2.11519E-01 4.55849E-02 8.18358E-03 2.11073E-11 1.45548E-09 6.72009E-30 1.18640E-07 5.80685E-15
 2.48139E+19 2.00000E+01 1.16138E+04 6.67907E+02 3.89598E-03 3.65847E+02 2.11529E-01 4.55893E-02 8.18450E-03 2.11200E-11 1.45588E-09 6.72671E-30 1.18701E-07 5.81262E-15
 2.95343E+19 2.00000E+01 1.16153E+04 6.67923E+02 3.89447E-03 3.65829E+02 2.11534E-01 4.55903E-02 8.18698E-03 2.11263E-11 1.45632E-09 6.72723E-30 1.18667E-07 5.80912E-15
 3.51525E+19 2.00000E+01 1.16138E+04 6.67966E+02 3.89604E-03 3.65782E+02 2.11547E-01 4.55957E-02 8.18855E-03 2.11426E-11 1.45688E-09 6.73522E-30 1.18733E-07 5.81533E-15
 4.18395E+19 2.00000E+01 1.16124E+04 6.68015E+02 3.89763E-03 3.65729E+02 2.11562E-01 4.56018E-02 8.19054E-03 2.11612E-11 1.45754E-09 6.74411E-30 1.18803E-07 5.82183E-15
 4.97986E+19 2.00000E+01 1.16138E+04 6.68049E+02 3.89614E-03 3.65690E+02 2.11572E-01 4.56048E-02 8.19429E-03 2.11747E-11 1.45830E-09 6.74730E-30 1.18778E-07 5.81916E-15
 5.92716E+19 2.00000E+01 1.16124E+04 6.68114E+02 3.89774E-03 3.65619E+02 2.11592E-01 4.56125E-02 8.19737E-03 2.11994E-11 1.45923E-09 6.75850E-30 1.18857E-07 5.82639E-15
 7.05468E+19 2.00000E+01 1.16117E+04 6.68179E+02 3.89781E-03 3.65548E+02 2.11612E-01 4.56195E-02 8.20179E-03 2.12242E-11 1.46033E-09 6.76782E-30 1.18892E-07 5.82935E-15
 8.39668E+19 2.00000E+01 1.16109E+04 6.68261E+02 3.89867E-03 3.65457E+02 2.11637E-01 4.56288E-02 8.20674E-03 2.12557E-11 1.46164E-09 6.78063E-30 1.18958E-07 5.83525E-15
 9.99396E+19 2.00000E+01 1.16117E+04 6.68357E+02 3.89955E-03 3.65351E+02 2.11666E-01 4.56396E-02 8.21270E-03 2.12928E-11 1.46321E-09 6.79558E-30 1.19032E-07 5.84182E-15
 1.18951E+20 2.00000E+01 1.16102E+04 6.68471E+02 3.90044E-03 3.65226E+02 2.11700E-01 4.56523E-02 8.21985E-03 2.13368E-11 1.46507E-09 6.81309E-30 1.19116E-07 5.84920E-15
 1.41579E+20 2.00000E+01 1.16088E+04 6.68611E+02 3.90213E-03 3.65072E+02 2.11743E-01 4.56682E-02 8.22811E-03 2.13908E-11 1.46729E-09 6.83538E-30 1.19235E-07 5.85993E-15
 1.68511E+20 2.00000E+01 1.16073E+04 6.68775E+02 3.90385E-03 3.64891E+02 2.11793E-01 4.56867E-02 8.23807E-03 2.14545E-11 1.46993E-09 6.86134E-30 1.19368E-07 5.87182E-15
 2.00567E+20 2.00000E+01 1.16058E+04 6.68969E+02 3.90560E-03 3.64678E+02 2.11852E-01 4.57084E-02 8.25005E-03 2.15297E-11 1.47308E-09 6.89170E-30 1.19517E-07 5.88508E-15
 2.38720E+20 2.00000E+01 1.16044E+04 6.69197E+02 3.90739E-03 3.64427E+02 2.11921E-01 4.57338E-02 8.26445E-03 2.16188E-11 1.47683E-09 6.92734E-30 1.19685E-07 5.89998E-15
 2.84131E+20 2.00000E+01 1.16029E+04 6.69466E+02 3.90923E-03 3.64131E+02 2.12002E-01 4.57637E-02 8.28174E-03 2.17244E-11 1.48131E-09 6.96932E-30 1.19876E-07 5.91685E-15
 3.38181E+20 2.00000E+01 1.16015E+04 6.69783E+02 3.91112E-03 3.63780E+02 2.12098E-01 4.57988E-02 8.30247E-03 2.18500E-11 1.48665E-09 7.01892E-30 1.20094E-07 5.93605E-15
 4.02513E+20 2.00000E+01 1.15971E+04 6.70181E+02 3.91619E-03 3.63343E+02 2.12219E-01 4.58440E-02 8.32602E-03 2.20079E-11 1.49305E-09 7.08482E-30 1.20444E-07 5.96780E-15
 4.79082E+20 2.00000E+01 1.15935E+04 6.70642E+02 3.92056E-03 3.62836E+02 2.12359E-01 4.58957E-02 8.35481E-03 2.21926E-11 1.50068E-09 7.16017E-30 1.20808E-07 6.00054E-15
 5.70217E+20 2.00000E+01 1.15892E+04 6.71190E+02 3.92580E-03 3.62232E+02 2.12525E-01 4.59571E-02 8.38914E-03 2.24144E-11 1.50980E-09 7.25093E-30 1.21244E-07 6.03986E-15
 6.78689E+20 2.00000E+01 1.15848E+04 6.71834E+02 3.93117E-03 3.61522E+02 2.12720E-01 4.60289E-02 8.43050E-03 2.26785E-11 1.52070E-09 7.35823E-30 1.21736E-07 6.08412E-15
 8.07794E+20 2.00000E+01 1.15805E+04 6.72594E+02 3.93666E-03 3.60686E+02 2.12949E-01 4.61131E-02 8.48029E-03 2.29940E-11 1.53376E-09 7.48572E-30 1.22294E-07 6.13432E-15
 9.61460E+20 2.00000E+01 1.15732E+04 6.73510E+02 3.94546E-03 3.59676E+02 2.13227E-01 4.62156E-02 8.53887E-03 2.33809E-11 1.54943E-09 7.64566E-30 1.23034E-07 6.20180E-15
 1.14436E+21 2.00000E+01 1.15660E+04 6.74588E+02 3.95445E-03 3.58489E+02 2.13552E-01 4.63352E-02 8.60957E-03 2.38447E-11 1.56824E-09 7.83642E-30 1.23870E-07 6.27813E-15
 1.36205E+21 2.00000E+01 1.15559E+04 6.75876E+02 3.96683E-03 3.57070E+02 2.13941E-01 4.64789E-02 8.69355E-03 2.44123E-11 1.59087E-09 8.07356E-30 1.24925E-07 6.37557E-15
 1.62114E+21 2.00000E+01 1.15436E+04 6.77404E+02 3.98189E-03 3.55387E+02 2.14402E-01 4.66491E-02 8.79410E-03 2.51044E-11 1.61815E-09 8.36528E-30 1.26198E-07 6.49428E-15
 1.92953E+21 2.00000E+01 1.15306E+04 6.79201E+02 3.99810E-03 3.53407E+02 2.14943E-01 4.68480E-02 8.91555E-03 2.59453E-11 1.65108E-09 8.72038E-30 1.27668E-07 6.63213E-15
 2.29658E+21 2.00000E+01 1.15148E+04 6.81328E+02 4.01794E-03 3.51063E+02 2.15582E-01 4.70830E-02 9.06136E-03 2.69803E-11 1.69096E-09 9.16270E-30 1.29450E-07 6.80132E-15
