     200   number of z grid-points
           5          14   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 3.00000E+00 7.92305E+03 3.07970E+05 8.23678E+00 8.91344E+03 9.27891E+01 5.72228E+00 2.25306E+01 3.32566E-04 2.12896E-05 1.38163E-21 2.28778E-02 8.58063E-08
 1.72423E+18 3.00000E+00 7.92404E+03 3.07970E+05 8.23123E+00 8.91330E+03 9.27891E+01 5.72212E+00 2.25308E+01 3.32488E-04 2.12763E-05 1.37848E-21 2.28714E-02 8.57230E-08
 1.86969E+18 3.00000E+00 7.92305E+03 3.07970E+05 8.23677E+00 8.91293E+03 9.27892E+01 5.72202E+00 2.25309E+01 3.32601E-04 2.12901E-05 1.38180E-21 2.28788E-02 8.58142E-08
 2.02743E+18 3.00000E+00 7.92404E+03 3.07970E+05 8.23122E+00 8.91322E+03 9.27891E+01 5.72208E+00 2.25309E+01 3.32494E-04 2.12764E-05 1.37851E-21 2.28715E-02 8.57243E-08
 2.19848E+18 3.00000E+00 7.92305E+03 3.07970E+05 8.23677E+00 8.91284E+03 9.27892E+01 5.72198E+00 2.25310E+01 3.32607E-04 2.12902E-05 1.38183E-21 2.28790E-02 8.58156E-08
 2.38395E+18 3.00000E+00 7.92404E+03 3.07970E+05 8.23122E+00 8.91312E+03 9.27892E+01 5.72203E+00 2.25309E+01 3.32501E-04 2.12765E-05 1.37855E-21 2.28717E-02 8.57259E-08
 2.58508E+18 3.00000E+00 7.92305E+03 3.07970E+05 8.23677E+00 8.91273E+03 9.27892E+01 5.72192E+00 2.25310E+01 3.32615E-04 2.12903E-05 1.38187E-21 2.28792E-02 8.58173E-08
 2.80317E+18 3.00000E+00 7.92404E+03 3.07970E+05 8.23122E+00 8.91300E+03 9.27892E+01 5.72197E+00 2.25310E+01 3.32509E-04 2.12766E-05 1.37858E-21 2.28719E-02 8.57277E-08
 3.03966E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23677E+00 8.91261E+03 9.27892E+01 5.72186E+00 2.25311E+01 3.32623E-04 2.12904E-05 1.38191E-21 2.28794E-02 8.58192E-08
 3.29611E+18 3.00000E+00 7.92206E+03 3.07971E+05 8.24232E+00 8.91221E+03 9.27893E+01 5.72175E+00 2.25312E+01 3.32738E-04 2.13042E-05 1.38525E-21 2.28869E-02 8.59110E-08
 3.57419E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23676E+00 8.91246E+03 9.27893E+01 5.72179E+00 2.25312E+01 3.32633E-04 2.12905E-05 1.38196E-21 2.28797E-02 8.58215E-08
 3.87573E+18 3.00000E+00 7.92206E+03 3.07971E+05 8.24231E+00 8.91205E+03 9.27893E+01 5.72167E+00 2.25313E+01 3.32749E-04 2.13043E-05 1.38530E-21 2.28872E-02 8.59135E-08
 4.20271E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23676E+00 8.91229E+03 9.27893E+01 5.72170E+00 2.25313E+01 3.32645E-04 2.12906E-05 1.38202E-21 2.28800E-02 8.58242E-08
 4.55727E+18 3.00000E+00 7.92206E+03 3.07971E+05 8.24231E+00 8.91186E+03 9.27894E+01 5.72157E+00 2.25314E+01 3.32762E-04 2.13045E-05 1.38537E-21 2.28875E-02 8.59164E-08
 4.94175E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23676E+00 8.91208E+03 9.27894E+01 5.72159E+00 2.25314E+01 3.32659E-04 2.12908E-05 1.38209E-21 2.28804E-02 8.58273E-08
 5.35866E+18 3.00000E+00 7.92206E+03 3.07971E+05 8.24231E+00 8.91164E+03 9.27894E+01 5.72146E+00 2.25315E+01 3.32777E-04 2.13047E-05 1.38544E-21 2.28879E-02 8.59198E-08
 5.81075E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23675E+00 8.91184E+03 9.27894E+01 5.72147E+00 2.25315E+01 3.32675E-04 2.12910E-05 1.38217E-21 2.28808E-02 8.58310E-08
 6.30098E+18 3.00000E+00 7.92206E+03 3.07972E+05 8.24230E+00 8.91138E+03 9.27895E+01 5.72133E+00 2.25317E+01 3.32795E-04 2.13049E-05 1.38553E-21 2.28884E-02 8.59238E-08
 6.83257E+18 3.00000E+00 7.92305E+03 3.07971E+05 8.23675E+00 8.91156E+03 9.27895E+01 5.72133E+00 2.25317E+01 3.32695E-04 2.12913E-05 1.38226E-21 2.28813E-02 8.58354E-08
 7.40901E+18 3.00000E+00 7.92206E+03 3.07972E+05 8.24230E+00 8.91107E+03 9.27896E+01 5.72118E+00 2.25318E+01 3.32816E-04 2.13052E-05 1.38563E-21 2.28890E-02 8.59285E-08
 8.03408E+18 3.00000E+00 7.92305E+03 3.07972E+05 8.23674E+00 8.91123E+03 9.27895E+01 5.72116E+00 2.25319E+01 3.32717E-04 2.12916E-05 1.38237E-21 2.28819E-02 8.58405E-08
 8.71188E+18 3.00000E+00 7.92206E+03 3.07972E+05 8.24229E+00 8.91072E+03 9.27896E+01 5.72099E+00 2.25320E+01 3.32840E-04 2.13055E-05 1.38575E-21 2.28896E-02 8.59341E-08
 9.44687E+18 3.00000E+00 7.92305E+03 3.07972E+05 8.23674E+00 8.91084E+03 9.27896E+01 5.72097E+00 2.25321E+01 3.32744E-04 2.12919E-05 1.38251E-21 2.28827E-02 8.58465E-08
 1.02439E+19 3.00000E+00 7.92206E+03 3.07973E+05 8.24228E+00 8.91029E+03 9.27897E+01 5.72078E+00 2.25323E+01 3.32869E-04 2.13059E-05 1.38589E-21 2.28904E-02 8.59406E-08
 1.11081E+19 3.00000E+00 7.92305E+03 3.07973E+05 8.23673E+00 8.91039E+03 9.27897E+01 5.72073E+00 2.25323E+01 3.32775E-04 2.12923E-05 1.38266E-21 2.28835E-02 8.58536E-08
 1.20452E+19 3.00000E+00 7.92206E+03 3.07973E+05 8.24227E+00 8.90980E+03 9.27898E+01 5.72053E+00 2.25325E+01 3.32903E-04 2.13063E-05 1.38606E-21 2.28913E-02 8.59483E-08
 1.30614E+19 3.00000E+00 7.92305E+03 3.07973E+05 8.23672E+00 8.90985E+03 9.27898E+01 5.72046E+00 2.25326E+01 3.32812E-04 2.12928E-05 1.38284E-21 2.28845E-02 8.58619E-08
 1.41634E+19 3.00000E+00 7.92206E+03 3.07974E+05 8.24226E+00 8.90921E+03 9.27900E+01 5.72023E+00 2.25329E+01 3.32943E-04 2.13068E-05 1.38626E-21 2.28924E-02 8.59573E-08
 1.53583E+19 3.00000E+00 7.92305E+03 3.07974E+05 8.23671E+00 8.90921E+03 9.27900E+01 5.72014E+00 2.25330E+01 3.32855E-04 2.12933E-05 1.38305E-21 2.28857E-02 8.58717E-08
 1.66540E+19 3.00000E+00 7.92206E+03 3.07974E+05 8.24225E+00 8.90853E+03 9.27901E+01 5.71989E+00 2.25332E+01 3.32990E-04 2.13074E-05 1.38649E-21 2.28937E-02 8.59679E-08
 1.80590E+19 3.00000E+00 7.92305E+03 3.07974E+05 8.23669E+00 8.90847E+03 9.27901E+01 5.71977E+00 2.25334E+01 3.32906E-04 2.12940E-05 1.38330E-21 2.28870E-02 8.58831E-08
 1.95826E+19 3.00000E+00 7.92206E+03 3.07975E+05 8.24223E+00 8.90772E+03 9.27903E+01 5.71948E+00 2.25337E+01 3.33045E-04 2.13081E-05 1.38676E-21 2.28952E-02 8.59804E-08
 2.12347E+19 3.00000E+00 7.92305E+03 3.07975E+05 8.23667E+00 8.90760E+03 9.27903E+01 5.71932E+00 2.25338E+01 3.32966E-04 2.12947E-05 1.38360E-21 2.28887E-02 8.58967E-08
 2.30262E+19 3.00000E+00 7.92206E+03 3.07976E+05 8.24222E+00 8.90677E+03 9.27905E+01 5.71900E+00 2.25342E+01 3.33110E-04 2.13089E-05 1.38708E-21 2.28969E-02 8.59950E-08
 2.49688E+19 3.00000E+00 7.92305E+03 3.07976E+05 8.23665E+00 8.90657E+03 9.27906E+01 5.71880E+00 2.25344E+01 3.33036E-04 2.12956E-05 1.38394E-21 2.28906E-02 8.59125E-08
 2.70754E+19 3.00000E+00 7.92206E+03 3.07977E+05 8.24219E+00 8.90566E+03 9.27907E+01 5.71843E+00 2.25348E+01 3.33186E-04 2.13099E-05 1.38746E-21 2.28990E-02 8.60123E-08
 2.93596E+19 3.00000E+00 7.92107E+03 3.07978E+05 8.24774E+00 8.90470E+03 9.27909E+01 5.71804E+00 2.25352E+01 3.33340E-04 2.13242E-05 1.39100E-21 2.29075E-02 8.61129E-08
 3.18365E+19 3.00000E+00 7.92206E+03 3.07978E+05 8.24217E+00 8.90435E+03 9.27910E+01 5.71777E+00 2.25355E+01 3.33276E-04 2.13110E-05 1.38790E-21 2.29014E-02 8.60325E-08
 3.45225E+19 3.00000E+00 7.92107E+03 3.07979E+05 8.24771E+00 8.90328E+03 9.27912E+01 5.71732E+00 2.25360E+01 3.33437E-04 2.13254E-05 1.39148E-21 2.29102E-02 8.61349E-08
 3.74350E+19 3.00000E+00 7.92206E+03 3.07979E+05 8.24214E+00 8.90281E+03 9.27914E+01 5.71699E+00 2.25363E+01 3.33382E-04 2.13124E-05 1.38842E-21 2.29043E-02 8.60564E-08
 4.05932E+19 3.00000E+00 7.92107E+03 3.07980E+05 8.24768E+00 8.90161E+03 9.27916E+01 5.71648E+00 2.25369E+01 3.33552E-04 2.13269E-05 1.39204E-21 2.29132E-02 8.61608E-08
 4.40179E+19 3.00000E+00 7.92206E+03 3.07981E+05 8.24210E+00 8.90100E+03 9.27918E+01 5.71607E+00 2.25373E+01 3.33506E-04 2.13139E-05 1.38903E-21 2.29076E-02 8.60844E-08
 4.77315E+19 3.00000E+00 7.92107E+03 3.07982E+05 8.24764E+00 8.89965E+03 9.27920E+01 5.71548E+00 2.25380E+01 3.33686E-04 2.13286E-05 1.39270E-21 2.29169E-02 8.61912E-08
 5.17584E+19 3.00000E+00 7.92008E+03 3.07983E+05 8.25318E+00 8.89821E+03 9.27923E+01 5.71484E+00 2.25386E+01 3.33873E-04 2.13433E-05 1.39642E-21 2.29263E-02 8.62995E-08
 5.61251E+19 3.00000E+00 7.92107E+03 3.07984E+05 8.24759E+00 8.89734E+03 9.27925E+01 5.71431E+00 2.25392E+01 3.33845E-04 2.13306E-05 1.39348E-21 2.29212E-02 8.62270E-08
 6.08601E+19 3.00000E+00 7.92008E+03 3.07986E+05 8.25313E+00 8.89571E+03 9.27929E+01 5.71358E+00 2.25400E+01 3.34045E-04 2.13455E-05 1.39727E-21 2.29309E-02 8.63384E-08
 6.59947E+19 3.00000E+00 7.92107E+03 3.07987E+05 8.24754E+00 8.89463E+03 9.27931E+01 5.71294E+00 2.25407E+01 3.34031E-04 2.13330E-05 1.39440E-21 2.29262E-02 8.62691E-08
 7.15624E+19 3.00000E+00 7.92008E+03 3.07988E+05 8.25307E+00 8.89277E+03 9.27935E+01 5.71209E+00 2.25416E+01 3.34247E-04 2.13481E-05 1.39827E-21 2.29364E-02 8.63841E-08
 7.75998E+19 3.00000E+00 7.91909E+03 3.07990E+05 8.25860E+00 8.89078E+03 9.27939E+01 5.71117E+00 2.25426E+01 3.34472E-04 2.13633E-05 1.40219E-21 2.29469E-02 8.65012E-08
 8.41466E+19 3.00000E+00 7.92008E+03 3.07991E+05 8.25300E+00 8.88931E+03 9.27943E+01 5.71034E+00 2.25435E+01 3.34485E-04 2.13511E-05 1.39944E-21 2.29428E-02 8.64379E-08
 9.12457E+19 3.00000E+00 7.91909E+03 3.07993E+05 8.25852E+00 8.88704E+03 9.27948E+01 5.70927E+00 2.25446E+01 3.34730E-04 2.13666E-05 1.40347E-21 2.29538E-02 8.65597E-08
 9.89437E+19 3.00000E+00 7.91810E+03 3.07996E+05 8.26405E+00 8.88459E+03 9.27953E+01 5.70813E+00 2.25459E+01 3.34987E-04 2.13822E-05 1.40756E-21 2.29651E-02 8.66842E-08
 1.07291E+20 3.00000E+00 7.91909E+03 3.07997E+05 8.25844E+00 8.88263E+03 9.27957E+01 5.70704E+00 2.25470E+01 3.35034E-04 2.13704E-05 1.40497E-21 2.29620E-02 8.66284E-08
 1.16343E+20 3.00000E+00 7.91810E+03 3.08000E+05 8.26395E+00 8.87982E+03 9.27963E+01 5.70571E+00 2.25485E+01 3.35316E-04 2.13864E-05 1.40919E-21 2.29740E-02 8.67588E-08
 1.26158E+20 3.00000E+00 7.91711E+03 3.08003E+05 8.26947E+00 8.87680E+03 9.27970E+01 5.70427E+00 2.25500E+01 3.35613E-04 2.14026E-05 1.41350E-21 2.29864E-02 8.68927E-08
 1.36802E+20 3.00000E+00 7.91810E+03 3.08005E+05 8.26384E+00 8.87421E+03 9.27976E+01 5.70287E+00 2.25515E+01 3.35704E-04 2.13913E-05 1.41112E-21 2.29845E-02 8.68466E-08
 1.48343E+20 3.00000E+00 7.91711E+03 3.08008E+05 8.26935E+00 8.87072E+03 9.27983E+01 5.70119E+00 2.25533E+01 3.36034E-04 2.14079E-05 1.41559E-21 2.29977E-02 8.69881E-08
 1.60858E+20 3.00000E+00 7.91612E+03 3.08011E+05 8.27486E+00 8.86696E+03 9.27991E+01 5.69937E+00 2.25553E+01 3.36383E-04 2.14247E-05 1.42018E-21 2.30115E-02 8.71340E-08
