# J	flux 
           1  5.0671429E-07
           2  3.2717626E-06
           3  7.4479162E-06
           4  9.4894040E-06
           5  6.6334214E-06
           6  2.2524364E-06
           7  5.1294495E-07
           8  1.1713484E-07
           9  3.1109831E-08
          10  9.8292894E-09
          11  3.5381698E-09
          12  1.3645486E-09
          13  5.6658434E-10
          14  2.2473792E-10
          15  8.2937109E-11
          16  3.5152860E-11
          17  1.5357026E-11
          18  8.2470281E-12
          19  5.8522375E-12
          20  5.1679078E-12
          21  5.0854785E-12
          22  5.2138931E-12
          23  5.4141171E-12
          24  5.6380035E-12
          25  5.8695067E-12
          26  6.1033431E-12
          27  6.3379297E-12
          28  6.5727532E-12
          29  6.8076152E-12
          30  7.0424612E-12
          31  7.2773220E-12
          32  7.5121871E-12
          33  7.7470513E-12
          34  7.9819207E-12
          35  8.2167944E-12
          36  8.4516916E-12
          37  8.6866165E-12

