# NH	T	H	H2	C	CO 
  5.699E+13  5.362E+03  9.997E-01  9.108E-08  1.336E-09  3.157E-13
  7.643E+13  5.362E+03  9.997E-01  9.108E-08  1.336E-09  3.118E-13
  1.025E+14  5.362E+03  9.997E-01  9.108E-08  1.336E-09  3.118E-13
  1.375E+14  5.362E+03  9.997E-01  9.106E-08  1.336E-09  3.117E-13
  1.844E+14  5.362E+03  9.997E-01  9.106E-08  1.336E-09  3.117E-13
  2.473E+14  5.365E+03  9.997E-01  9.101E-08  1.336E-09  3.115E-13
  3.317E+14  5.364E+03  9.997E-01  9.102E-08  1.336E-09  3.115E-13
  4.449E+14  5.364E+03  9.997E-01  9.102E-08  1.336E-09  3.115E-13
  5.968E+14  5.360E+03  9.997E-01  9.111E-08  1.336E-09  3.119E-13
  8.004E+14  5.362E+03  9.997E-01  9.108E-08  1.336E-09  3.118E-13
  1.074E+15  5.364E+03  9.997E-01  9.102E-08  1.336E-09  3.115E-13
  1.440E+15  5.364E+03  9.997E-01  9.103E-08  1.336E-09  3.116E-13
  1.931E+15  5.360E+03  9.997E-01  9.112E-08  1.336E-09  3.119E-13
  2.590E+15  5.361E+03  9.997E-01  9.109E-08  1.336E-09  3.118E-13
  3.474E+15  5.363E+03  9.997E-01  9.104E-08  1.336E-09  3.116E-13
  4.660E+15  5.363E+03  9.997E-01  9.104E-08  1.336E-09  3.116E-13
  6.250E+15  5.365E+03  9.997E-01  9.101E-08  1.336E-09  3.115E-13
  8.382E+15  5.363E+03  9.997E-01  9.104E-08  1.336E-09  3.116E-13
  1.124E+16  5.364E+03  9.997E-01  9.102E-08  1.336E-09  3.118E-13
  1.508E+16  5.364E+03  9.997E-01  9.103E-08  1.336E-09  3.130E-13
  2.023E+16  5.366E+03  9.997E-01  9.098E-08  1.335E-09  3.141E-13
  2.713E+16  5.362E+03  9.997E-01  9.108E-08  1.335E-09  3.158E-13
  3.638E+16  5.362E+03  9.997E-01  9.108E-08  1.335E-09  3.172E-13
  4.880E+16  5.363E+03  9.997E-01  9.105E-08  1.335E-09  3.184E-13
  6.545E+16  5.362E+03  9.997E-01  9.109E-08  1.335E-09  3.200E-13
  8.779E+16  5.362E+03  9.997E-01  9.109E-08  1.335E-09  3.213E-13
  1.177E+17  5.362E+03  9.997E-01  9.110E-08  1.335E-09  3.227E-13
  1.579E+17  5.362E+03  9.997E-01  9.111E-08  1.335E-09  3.240E-13
  2.118E+17  5.358E+03  9.997E-01  9.121E-08  1.335E-09  3.257E-13
  2.841E+17  5.358E+03  9.997E-01  9.122E-08  1.334E-09  3.270E-13
  3.810E+17  5.353E+03  9.997E-01  9.133E-08  1.334E-09  3.285E-13
  5.110E+17  5.353E+03  9.997E-01  9.136E-08  1.333E-09  3.297E-13
  6.854E+17  5.349E+03  9.997E-01  9.149E-08  1.333E-09  3.312E-13
  9.193E+17  5.345E+03  9.997E-01  9.162E-08  1.332E-09  3.327E-13
  1.233E+18  5.341E+03  9.997E-01  9.178E-08  1.331E-09  3.341E-13
  1.654E+18  5.332E+03  9.997E-01  9.206E-08  1.330E-09  3.359E-13
  2.218E+18  5.324E+03  9.997E-01  9.235E-08  1.329E-09  3.377E-13
  2.975E+18  5.316E+03  9.997E-01  9.269E-08  1.327E-09  3.396E-13
  3.990E+18  5.303E+03  9.997E-01  9.316E-08  1.325E-09  3.420E-13
  5.352E+18  5.282E+03  9.997E-01  9.391E-08  1.323E-09  3.454E-13
  7.178E+18  5.261E+03  9.998E-01  9.474E-08  1.321E-09  3.492E-13
  9.628E+18  5.232E+03  9.998E-01  9.590E-08  1.318E-09  3.544E-13
  1.291E+19  5.199E+03  9.998E-01  9.733E-08  1.315E-09  3.607E-13
  1.732E+19  5.154E+03  9.998E-01  9.929E-08  1.312E-09  3.694E-13
  2.323E+19  5.098E+03  9.998E-01  1.019E-07  1.310E-09  3.812E-13
  3.116E+19  5.025E+03  9.998E-01  1.054E-07  1.309E-09  3.973E-13
  4.179E+19  4.938E+03  9.998E-01  1.100E-07  1.309E-09  4.191E-13
  5.605E+19  4.826E+03  9.998E-01  1.164E-07  1.313E-09  4.499E-13
  7.334E+19  4.700E+03  9.998E-01  1.243E-07  1.321E-09  4.889E-13
  9.062E+19  4.582E+03  9.998E-01  1.328E-07  1.332E-09  5.304E-13
  1.079E+20  4.474E+03  9.998E-01  1.415E-07  1.346E-09  5.742E-13
  1.252E+20  4.368E+03  9.998E-01  1.508E-07  1.362E-09  6.215E-13
  1.425E+20  4.265E+03  9.999E-01  1.607E-07  1.381E-09  6.723E-13
  1.598E+20  4.167E+03  9.999E-01  1.711E-07  1.401E-09  7.264E-13
  1.771E+20  4.076E+03  9.999E-01  1.821E-07  1.424E-09  7.858E-13
  1.943E+20  3.986E+03  9.999E-01  1.938E-07  1.449E-09  8.506E-13
  2.116E+20  3.901E+03  9.999E-01  2.061E-07  1.475E-09  9.196E-13
  2.289E+20  3.818E+03  9.999E-01  2.193E-07  1.504E-09  9.936E-13
  2.462E+20  3.740E+03  9.999E-01  2.332E-07  1.534E-09  1.072E-12
  2.635E+20  3.663E+03  9.999E-01  2.481E-07  1.567E-09  1.157E-12
  2.808E+20  3.591E+03  9.999E-01  2.639E-07  1.602E-09  1.247E-12
  2.981E+20  3.521E+03  9.999E-01  2.809E-07  1.639E-09  1.344E-12
  3.154E+20  3.454E+03  9.999E-01  2.989E-07  1.678E-09  1.447E-12
  3.327E+20  3.392E+03  9.999E-01  3.180E-07  1.719E-09  1.557E-12
