# NH	T	H	H2	C	CO 
  5.736E+13  1.126E+02  6.930E-01  1.523E-01  2.797E-06  9.714E-05
  7.676E+13  8.089E+01  6.964E-01  1.504E-01  2.989E-06  9.694E-05
  1.028E+14  8.070E+01  6.948E-01  1.513E-01  2.990E-06  9.694E-05
  1.377E+14  8.045E+01  6.925E-01  1.524E-01  2.990E-06  9.694E-05
  1.845E+14  8.007E+01  6.895E-01  1.539E-01  2.991E-06  9.694E-05
  2.473E+14  7.956E+01  6.853E-01  1.560E-01  2.993E-06  9.694E-05
  3.314E+14  7.888E+01  6.796E-01  1.589E-01  2.994E-06  9.693E-05
  4.444E+14  7.794E+01  6.716E-01  1.629E-01  2.997E-06  9.693E-05
  5.958E+14  7.672E+01  6.604E-01  1.685E-01  3.000E-06  9.693E-05
  7.990E+14  7.503E+01  6.445E-01  1.764E-01  3.006E-06  9.692E-05
  1.071E+15  7.266E+01  6.214E-01  1.880E-01  3.014E-06  9.691E-05
  1.437E+15  6.963E+01  5.875E-01  2.050E-01  3.025E-06  9.689E-05
  1.927E+15  6.585E+01  5.367E-01  2.304E-01  3.041E-06  9.687E-05
  2.585E+15  6.097E+01  4.640E-01  2.668E-01  3.066E-06  9.684E-05
  3.467E+15  5.467E+01  3.709E-01  3.134E-01  3.117E-06  9.677E-05
  4.650E+15  4.689E+01  2.677E-01  3.651E-01  3.209E-06  9.665E-05
  6.238E+15  3.804E+01  1.741E-01  4.121E-01  3.336E-06  9.648E-05
  8.369E+15  2.961E+01  1.059E-01  4.464E-01  3.567E-06  9.618E-05
  1.123E+16  2.252E+01  6.291E-02  4.680E-01  3.900E-06  9.576E-05
  1.506E+16  1.743E+01  3.871E-02  4.803E-01  4.278E-06  9.531E-05
  2.021E+16  1.410E+01  2.586E-02  4.868E-01  4.649E-06  9.488E-05
  2.711E+16  1.210E+01  1.873E-02  4.904E-01  4.959E-06  9.454E-05
  3.636E+16  1.081E+01  1.447E-02  4.926E-01  5.235E-06  9.426E-05
  4.878E+16  1.002E+01  1.169E-02  4.940E-01  5.458E-06  9.404E-05
  6.543E+16  9.555E+00  9.762E-03  4.950E-01  5.625E-06  9.389E-05
  8.776E+16  9.262E+00  8.321E-03  4.957E-01  5.767E-06  9.376E-05
  1.177E+17  9.116E+00  7.223E-03  4.963E-01  5.860E-06  9.369E-05
  1.579E+17  9.059E+00  6.348E-03  4.967E-01  5.930E-06  9.364E-05
  2.118E+17  9.098E+00  5.667E-03  4.971E-01  5.934E-06  9.366E-05
  2.841E+17  9.202E+00  5.099E-03  4.974E-01  5.919E-06  9.371E-05
  3.810E+17  9.386E+00  4.632E-03  4.976E-01  5.861E-06  9.379E-05
  5.111E+17  9.800E+00  2.227E-03  4.989E-01  8.859E-06  9.029E-05
  6.855E+17  1.001E+01  1.984E-03  4.990E-01  8.529E-06  9.067E-05
  9.195E+17  1.051E+01  1.751E-03  4.991E-01  8.222E-06  9.102E-05
  1.233E+18  1.167E+01  1.544E-03  4.992E-01  7.908E-06  9.139E-05
  1.654E+18  1.309E+01  1.363E-03  4.993E-01  7.589E-06  9.175E-05
  2.219E+18  3.124E+01  1.090E-03  4.994E-01  7.041E-06  9.234E-05
  2.976E+18  3.060E+01  1.036E-03  4.995E-01  6.938E-06  9.251E-05
  3.991E+18  3.002E+01  9.128E-04  4.995E-01  6.583E-06  9.291E-05
