# J	flux 
           1  1.1995659E-06
           2  1.5320938E-05
           3  6.2389277E-05
           4  1.6170062E-04
           5  3.2532326E-04
           6  5.5286865E-04
           7  8.2697987E-04
           8  1.1130607E-03
           9  1.3552663E-03
          10  1.4925514E-03
          11  1.4972490E-03
          12  1.3796095E-03
          13  1.2085065E-03
          14  1.0213020E-03
          15  8.3956582E-04
          16  6.7457120E-04
          17  5.2262115E-04
          18  3.9147207E-04
          19  2.8642779E-04
          20  2.0331582E-04
          21  1.4057559E-04
          22  9.5043491E-05
          23  6.2934836E-05
          24  4.0906118E-05
          25  2.6101397E-05
          26  1.6357775E-05
          27  1.0103532E-05
          28  6.1486066E-06
          29  3.6999543E-06
          30  2.1947476E-06
          31  1.2796048E-06
          32  7.3454146E-07
          33  4.1154573E-07
          34  2.2350864E-07
          35  1.1407509E-07
          36  4.8919954E-08
          37  1.2623130E-08
