# NH	T	H	H2	C	CO 
  5.696E+13  7.365E+03  9.992E-01  1.041E-07  1.784E-09  3.974E-13
  7.639E+13  7.391E+03  9.992E-01  1.040E-07  1.797E-09  3.721E-13
  1.025E+14  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  1.374E+14  7.389E+03  9.992E-01  1.040E-07  1.797E-09  3.730E-13
  1.843E+14  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  2.472E+14  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  3.316E+14  7.395E+03  9.992E-01  1.040E-07  1.797E-09  3.727E-13
  4.447E+14  7.395E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  5.965E+14  7.395E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  8.000E+14  7.389E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  1.073E+15  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  1.439E+15  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  1.930E+15  7.392E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  2.589E+15  7.393E+03  9.992E-01  1.040E-07  1.797E-09  3.728E-13
  3.472E+15  7.390E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  4.657E+15  7.391E+03  9.992E-01  1.040E-07  1.797E-09  3.729E-13
  6.247E+15  7.394E+03  9.992E-01  1.040E-07  1.797E-09  3.727E-13
  8.378E+15  7.394E+03  9.992E-01  1.040E-07  1.797E-09  3.741E-13
  1.124E+16  7.394E+03  9.992E-01  1.040E-07  1.797E-09  3.756E-13
  1.507E+16  7.394E+03  9.992E-01  1.040E-07  1.796E-09  3.772E-13
  2.021E+16  7.394E+03  9.992E-01  1.040E-07  1.796E-09  3.788E-13
  2.711E+16  7.394E+03  9.992E-01  1.040E-07  1.796E-09  3.805E-13
  3.636E+16  7.394E+03  9.992E-01  1.040E-07  1.796E-09  3.822E-13
  4.877E+16  7.394E+03  9.992E-01  1.040E-07  1.796E-09  3.840E-13
  6.542E+16  7.394E+03  9.992E-01  1.041E-07  1.796E-09  3.857E-13
  8.774E+16  7.388E+03  9.992E-01  1.040E-07  1.796E-09  3.874E-13
  1.177E+17  7.391E+03  9.992E-01  1.040E-07  1.796E-09  3.890E-13
  1.578E+17  7.391E+03  9.992E-01  1.041E-07  1.795E-09  3.908E-13
  2.117E+17  7.391E+03  9.992E-01  1.041E-07  1.795E-09  3.924E-13
  2.839E+17  7.391E+03  9.992E-01  1.042E-07  1.794E-09  3.940E-13
  3.808E+17  7.391E+03  9.992E-01  1.042E-07  1.794E-09  3.955E-13
  5.108E+17  7.385E+03  9.992E-01  1.043E-07  1.793E-09  3.970E-13
  6.851E+17  7.386E+03  9.992E-01  1.044E-07  1.792E-09  3.984E-13
  9.189E+17  7.383E+03  9.992E-01  1.046E-07  1.791E-09  4.000E-13
  1.232E+18  7.383E+03  9.992E-01  1.047E-07  1.789E-09  4.014E-13
  1.653E+18  7.378E+03  9.992E-01  1.049E-07  1.787E-09  4.030E-13
  2.217E+18  7.378E+03  9.992E-01  1.053E-07  1.785E-09  4.047E-13
  2.974E+18  7.372E+03  9.992E-01  1.057E-07  1.782E-09  4.065E-13
  3.988E+18  7.366E+03  9.992E-01  1.063E-07  1.779E-09  4.089E-13
  5.349E+18  7.354E+03  9.992E-01  1.071E-07  1.775E-09  4.120E-13
  7.175E+18  7.349E+03  9.992E-01  1.081E-07  1.770E-09  4.154E-13
  9.623E+18  7.337E+03  9.993E-01  1.095E-07  1.765E-09  4.204E-13
  1.291E+19  7.320E+03  9.993E-01  1.113E-07  1.758E-09  4.268E-13
  1.731E+19  7.297E+03  9.993E-01  1.138E-07  1.752E-09  4.357E-13
  2.322E+19  7.274E+03  9.993E-01  1.171E-07  1.745E-09  4.475E-13
  3.114E+19  7.234E+03  9.993E-01  1.215E-07  1.738E-09  4.640E-13
  4.177E+19  7.194E+03  9.993E-01  1.273E-07  1.731E-09  4.864E-13
  5.602E+19  7.131E+03  9.994E-01  1.352E-07  1.727E-09  5.180E-13
  7.330E+19  7.064E+03  9.994E-01  1.447E-07  1.727E-09  5.577E-13
  9.058E+19  6.997E+03  9.994E-01  1.544E-07  1.730E-09  5.988E-13
  1.079E+20  6.931E+03  9.995E-01  1.642E-07  1.736E-09  6.424E-13
  1.251E+20  6.866E+03  9.995E-01  1.743E-07  1.745E-09  6.887E-13
  1.424E+20  6.795E+03  9.995E-01  1.847E-07  1.756E-09  7.379E-13
  1.597E+20  6.731E+03  9.995E-01  1.956E-07  1.769E-09  7.905E-13
  1.770E+20  6.668E+03  9.996E-01  2.068E-07  1.784E-09  8.462E-13
  1.943E+20  6.599E+03  9.996E-01  2.185E-07  1.801E-09  9.074E-13
  2.116E+20  6.532E+03  9.996E-01  2.309E-07  1.819E-09  9.742E-13
  2.288E+20  6.470E+03  9.996E-01  2.439E-07  1.839E-09  1.045E-12
  2.461E+20  6.404E+03  9.996E-01  2.573E-07  1.860E-09  1.121E-12
  2.634E+20  6.339E+03  9.997E-01  2.716E-07  1.883E-09  1.202E-12
  2.807E+20  6.274E+03  9.997E-01  2.865E-07  1.908E-09  1.289E-12
  2.980E+20  6.209E+03  9.997E-01  3.023E-07  1.934E-09  1.382E-12
  3.153E+20  6.146E+03  9.997E-01  3.188E-07  1.962E-09  1.481E-12
  3.325E+20  6.078E+03  9.997E-01  3.364E-07  1.992E-09  1.588E-12
  3.498E+20  6.016E+03  9.997E-01  3.545E-07  2.023E-09  1.700E-12
  3.671E+20  5.954E+03  9.997E-01  3.737E-07  2.055E-09  1.821E-12
  3.844E+20  5.889E+03  9.997E-01  3.942E-07  2.090E-09  1.951E-12
  4.017E+20  5.829E+03  9.998E-01  4.153E-07  2.126E-09  2.088E-12
  4.190E+20  5.764E+03  9.998E-01  4.380E-07  2.164E-09  2.236E-12
  4.363E+20  5.701E+03  9.998E-01  4.616E-07  2.204E-09  2.394E-12
  4.535E+20  5.642E+03  9.998E-01  4.861E-07  2.245E-09  2.561E-12
  4.708E+20  5.580E+03  9.998E-01  5.125E-07  2.289E-09  2.741E-12
  4.881E+20  5.519E+03  9.998E-01  5.401E-07  2.335E-09  2.933E-12
  5.054E+20  5.462E+03  9.998E-01  5.686E-07  2.383E-09  3.136E-12
  5.227E+20  5.402E+03  9.998E-01  5.994E-07  2.433E-09  3.355E-12
  5.400E+20  5.343E+03  9.998E-01  6.314E-07  2.485E-09  3.588E-12
  5.573E+20  5.288E+03  9.998E-01  6.646E-07  2.540E-09  3.834E-12
  5.746E+20  5.230E+03  9.998E-01  7.004E-07  2.598E-09  4.100E-12
  5.918E+20  5.172E+03  9.998E-01  7.377E-07  2.658E-09  4.382E-12
  6.091E+20  5.115E+03  9.999E-01  7.770E-07  2.721E-09  4.683E-12
  6.264E+20  5.063E+03  9.999E-01  8.176E-07  2.786E-09  5.002E-12
  6.437E+20  5.007E+03  9.999E-01  8.614E-07  2.855E-09  5.345E-12
  6.610E+20  4.956E+03  9.999E-01  9.063E-07  2.927E-09  5.707E-12
  6.783E+20  4.901E+03  9.999E-01  9.549E-07  3.002E-09  6.097E-12
  6.956E+20  4.851E+03  9.999E-01  1.005E-06  3.080E-09  6.508E-12
  7.129E+20  4.797E+03  9.999E-01  1.058E-06  3.163E-09  6.951E-12
  7.301E+20  4.748E+03  9.999E-01  1.113E-06  3.249E-09  7.418E-12
  7.474E+20  4.700E+03  9.999E-01  1.172E-06  3.339E-09  7.917E-12
  7.647E+20  4.652E+03  9.999E-01  1.233E-06  3.433E-09  8.449E-12
  7.820E+20  4.604E+03  9.999E-01  1.298E-06  3.531E-09  9.016E-12
  7.993E+20  4.557E+03  9.999E-01  1.366E-06  3.634E-09  9.620E-12
  8.166E+20  4.514E+03  9.999E-01  1.438E-06  3.742E-09  1.027E-11
  8.339E+20  4.468E+03  9.999E-01  1.512E-06  3.855E-09  1.095E-11
  8.512E+20  4.425E+03  9.999E-01  1.592E-06  3.973E-09  1.168E-11
  8.685E+20  4.380E+03  9.999E-01  1.674E-06  4.097E-09  1.245E-11
  8.857E+20  4.342E+03  9.999E-01  1.761E-06  4.226E-09  1.328E-11
  9.030E+20  4.298E+03  9.999E-01  1.854E-06  4.362E-09  1.416E-11
  9.203E+20  4.261E+03  9.999E-01  1.950E-06  4.503E-09  1.510E-11
  9.376E+20  4.220E+03  9.999E-01  2.053E-06  4.652E-09  1.611E-11
  9.549E+20  4.184E+03  9.999E-01  2.158E-06  4.808E-09  1.718E-11
  9.722E+20  4.148E+03  9.999E-01  2.271E-06  4.970E-09  1.832E-11
  9.895E+20  4.112E+03  9.999E-01  2.389E-06  5.141E-09  1.953E-11
  1.007E+21  4.076E+03  9.999E-01  2.514E-06  5.320E-09  2.083E-11
  1.024E+21  4.041E+03  9.999E-01  2.646E-06  5.508E-09  2.221E-11
  1.041E+21  4.009E+03  9.999E-01  2.785E-06  5.704E-09  2.370E-11
  1.059E+21  3.977E+03  1.000E+00  2.931E-06  5.909E-09  2.528E-11
  1.076E+21  3.946E+03  1.000E+00  3.085E-06  6.124E-09  2.696E-11
  1.093E+21  3.915E+03  1.000E+00  3.247E-06  6.350E-09  2.877E-11
  1.111E+21  3.884E+03  1.000E+00  3.418E-06  6.587E-09  3.069E-11
  1.128E+21  3.863E+03  1.000E+00  3.593E-06  6.832E-09  3.275E-11
  1.145E+21  3.829E+03  1.000E+00  3.785E-06  7.093E-09  3.494E-11
  1.162E+21  3.808E+03  1.000E+00  3.983E-06  7.363E-09  3.731E-11
  1.180E+21  3.778E+03  1.000E+00  4.200E-06  7.649E-09  3.984E-11
  1.197E+21  3.758E+03  1.000E+00  4.418E-06  7.946E-09  4.255E-11
  1.214E+21  3.728E+03  1.000E+00  4.660E-06  8.260E-09  4.545E-11
  1.232E+21  3.707E+03  1.000E+00  4.905E-06  8.586E-09  4.855E-11
  1.249E+21  3.687E+03  1.000E+00  5.167E-06  8.928E-09  5.190E-11
  1.266E+21  3.658E+03  1.000E+00  5.456E-06  9.290E-09  5.549E-11
  1.283E+21  3.638E+03  1.000E+00  5.747E-06  9.665E-09  5.932E-11
  1.301E+21  3.618E+03  1.000E+00  6.060E-06  1.006E-08  6.346E-11
  1.318E+21  3.598E+03  1.000E+00  6.392E-06  1.047E-08  6.792E-11
  1.335E+21  3.578E+03  1.000E+00  6.745E-06  1.090E-08  7.271E-11
  1.353E+21  3.558E+03  1.000E+00  7.120E-06  1.136E-08  7.787E-11
  1.370E+21  3.541E+03  1.000E+00  7.521E-06  1.183E-08  8.348E-11
  1.387E+21  3.522E+03  1.000E+00  7.940E-06  1.233E-08  8.943E-11
  1.404E+21  3.508E+03  1.000E+00  8.385E-06  1.284E-08  9.594E-11
  1.422E+21  3.489E+03  1.000E+00  8.864E-06  1.339E-08  1.029E-10
  1.439E+21  3.475E+03  1.000E+00  9.369E-06  1.396E-08  1.105E-10
  1.456E+21  3.459E+03  1.000E+00  9.915E-06  1.456E-08  1.187E-10
  1.474E+21  3.445E+03  1.000E+00  1.048E-05  1.518E-08  1.275E-10
  1.491E+21  3.431E+03  1.000E+00  1.109E-05  1.583E-08  1.371E-10
  1.508E+21  3.415E+03  1.000E+00  1.175E-05  1.652E-08  1.476E-10
  1.525E+21  3.402E+03  1.000E+00  1.244E-05  1.723E-08  1.588E-10
  1.543E+21  3.388E+03  1.000E+00  1.318E-05  1.798E-08  1.711E-10
  1.560E+21  3.375E+03  1.000E+00  1.397E-05  1.877E-08  1.844E-10
  1.577E+21  3.362E+03  1.000E+00  1.482E-05  1.959E-08  1.988E-10
  1.595E+21  3.354E+03  1.000E+00  1.570E-05  2.045E-08  2.145E-10
  1.612E+21  3.335E+03  1.000E+00  1.669E-05  2.136E-08  2.316E-10
  1.629E+21  3.328E+03  1.000E+00  1.769E-05  2.229E-08  2.502E-10
  1.646E+21  3.312E+03  9.999E-01  1.883E-05  2.329E-08  2.707E-10
  1.664E+21  3.304E+03  9.999E-01  1.997E-05  2.432E-08  2.926E-10
  1.681E+21  3.286E+03  9.999E-01  2.127E-05  2.541E-08  3.167E-10
  1.698E+21  3.278E+03  9.999E-01  2.258E-05  2.654E-08  3.431E-10
  1.716E+21  3.263E+03  9.999E-01  2.408E-05  2.773E-08  3.721E-10
  1.733E+21  3.255E+03  9.999E-01  2.556E-05  2.897E-08  4.032E-10
  1.750E+21  3.237E+03  9.999E-01  2.728E-05  3.028E-08  4.375E-10
  1.768E+21  3.229E+03  9.999E-01  2.901E-05  3.164E-08  4.751E-10
  1.785E+21  3.211E+03  9.999E-01  3.099E-05  3.307E-08  5.164E-10
  1.802E+21  3.204E+03  9.999E-01  3.298E-05  3.456E-08  5.614E-10
  1.819E+21  3.186E+03  9.999E-01  3.526E-05  3.614E-08  6.109E-10
  1.837E+21  3.179E+03  9.999E-01  3.755E-05  3.777E-08  6.650E-10
  1.854E+21  3.161E+03  9.999E-01  4.019E-05  3.951E-08  7.248E-10
  1.871E+21  3.144E+03  9.999E-01  4.304E-05  4.132E-08  7.906E-10
  1.889E+21  3.131E+03  9.999E-01  4.603E-05  4.322E-08  8.630E-10
  1.906E+21  3.114E+03  9.999E-01  4.935E-05  4.521E-08  9.444E-10
  2.286E+21  2.176E+03  9.982E-01  8.857E-04  1.511E-07  1.583E-08
  2.666E+21  9.908E+02  8.357E-01  8.214E-02  1.268E-06  2.118E-07
  3.046E+21  7.286E+02  5.455E-01  2.272E-01  3.713E-06  4.565E-07
  3.426E+21  6.578E+02  3.628E-01  3.186E-01  8.504E-06  1.219E-06
  3.806E+21  5.939E+02  2.109E-01  3.946E-01  1.496E-05  2.930E-06
  4.186E+21  5.306E+02  9.830E-02  4.508E-01  2.234E-05  6.323E-06
  4.566E+21  4.652E+02  3.551E-02  4.822E-01  3.277E-05  1.030E-05
  4.946E+21  3.989E+02  1.207E-02  4.940E-01  5.135E-05  1.086E-05
  5.326E+21  3.289E+02  4.625E-03  4.977E-01  7.304E-05  9.183E-06
  5.706E+21  2.672E+02  1.836E-03  4.991E-01  8.283E-05  1.186E-05
  6.086E+21  2.228E+02  7.803E-04  4.996E-01  8.088E-05  1.793E-05
  6.466E+21  1.880E+02  3.648E-04  4.998E-01  7.560E-05  2.415E-05
  6.846E+21  1.610E+02  1.951E-04  4.999E-01  7.407E-05  2.587E-05
  7.226E+21  1.400E+02  1.221E-04  4.999E-01  7.617E-05  2.381E-05
  7.606E+21  1.232E+02  8.892E-05  5.000E-01  7.679E-05  2.321E-05
  7.986E+21  1.093E+02  7.378E-05  5.000E-01  7.352E-05  2.648E-05
  8.366E+21  9.775E+01  6.708E-05  5.000E-01  6.640E-05  3.360E-05
  8.746E+21  8.840E+01  6.418E-05  5.000E-01  5.678E-05  4.321E-05
  9.126E+21  8.097E+01  6.284E-05  5.000E-01  4.678E-05  5.322E-05
  9.506E+21  7.533E+01  6.208E-05  5.000E-01  3.787E-05  6.212E-05
  9.886E+21  7.096E+01  6.153E-05  5.000E-01  3.046E-05  6.954E-05
  1.027E+22  6.744E+01  6.126E-05  5.000E-01  2.405E-05  7.595E-05
  1.065E+22  6.478E+01  6.076E-05  5.000E-01  1.921E-05  8.079E-05
  1.103E+22  6.269E+01  6.020E-05  5.000E-01  1.528E-05  8.472E-05
  1.141E+22  6.106E+01  5.966E-05  5.000E-01  1.199E-05  8.801E-05
  1.179E+22  5.986E+01  5.901E-05  5.000E-01  9.318E-06  9.068E-05
  1.217E+22  5.901E+01  5.863E-05  5.000E-01  7.049E-06  9.295E-05
  1.255E+22  5.841E+01  5.834E-05  5.000E-01  5.244E-06  9.475E-05
  1.293E+22  5.804E+01  5.813E-05  5.000E-01  3.843E-06  9.616E-05
  1.331E+22  5.777E+01  5.799E-05  5.000E-01  2.781E-06  9.722E-05
  1.369E+22  5.758E+01  5.793E-05  5.000E-01  1.993E-06  9.800E-05
  1.407E+22  5.749E+01  5.791E-05  5.000E-01  1.420E-06  9.858E-05
  1.445E+22  5.736E+01  5.792E-05  5.000E-01  1.009E-06  9.899E-05
  1.483E+22  5.713E+01  5.795E-05  5.000E-01  7.184E-07  9.928E-05
  1.521E+22  5.682E+01  5.797E-05  5.000E-01  5.119E-07  9.948E-05
  1.559E+22  5.641E+01  5.796E-05  5.000E-01  3.638E-07  9.963E-05
  1.597E+22  5.597E+01  5.790E-05  5.000E-01  2.568E-07  9.973E-05
  1.635E+22  5.544E+01  5.779E-05  5.000E-01  1.794E-07  9.981E-05
  1.673E+22  5.501E+01  5.761E-05  5.000E-01  1.240E-07  9.986E-05
  1.711E+22  5.466E+01  5.738E-05  5.000E-01  8.462E-08  9.990E-05
  1.749E+22  5.453E+01  5.702E-05  5.000E-01  5.728E-08  9.993E-05
  1.787E+22  5.468E+01  5.649E-05  5.000E-01  3.857E-08  9.994E-05
  1.825E+22  5.513E+01  5.569E-05  5.000E-01  2.609E-08  9.996E-05
  1.863E+22  5.589E+01  5.462E-05  5.000E-01  1.787E-08  9.996E-05
  1.901E+22  5.697E+01  5.319E-05  5.000E-01  1.262E-08  9.996E-05
